"Date","Subject","AfterGame","Text"
2016-06-12,"Mike Sullivan",TRUE,"COACH SULLIVAN: Well, you learn a lot. You learn a lot through the process. I think there's so many good people in this business, whether it's in coaching, players, management, scouting, there's so many good people that work extremely hard to be at their best. I'm grateful for the people that I've worked with throughout the years that have helped me become a better coach. I'm grateful for the opportunity to coach this group of players. COACH SULLIVAN: I think it places him up there with the greats of the game of all time. He's that good in my mind. I've said all along here through the course of the playoffs, he's deserving of the Conn Smythe. His numbers don't indicate the impact he had on helping this team win, or the impact he had on a game-to-game basis. He was a great leader for our team. It started by example with his performance and how he played. He's a complete player. He plays at both ends of the rink. He's a great faceoff guy. He kills penalties when we need him to. He plays in all the key situations. COACH SULLIVAN: I haven't had the opportunity to reflect on it, to be honest. I'm trying to enjoy the moment. I think when our guys were carrying the Stanley Cup around out there, what was going through my mind was, first and foremost, how proud I am of them for the sacrifices that they've made for us to win this championship. Then how grateful I am for the opportunity that I've been given to coach this team. When you ultimately win the championship, you reflect for a short period on the ice with the players, the one thing that jumps out at me is how hard it is to win. The San Jose Sharks are a great team. We have so much respect for how good they are. It's hard to win this. So couldn't be more proud of our players for the effort that they put in, the sacrifices that they made, the resilience and resolve they showed throughout the course of the second half of this season and throughout the post-season to win this championship. COACH SULLIVAN: Well, these guys have been receptive to our message from day one. As I've said to them all along, I know our team is going to score goals. In order to win championships, you got to keep it out of your net. You have to become a team that is stingy defensively. Everybody has to buy in to that idea for us to get to where we want to go. To their credit, they did, down to a man. When we started to get some traction towards the end of the post-season, we won a lot of games down the stretch, I think they really started to believe. That was the hard evidence that, Hey, if we play a certain way, we can be a good team and beat anybody in this league. I think that really helped us when we started this post-season as far as a belief in our identity and how we had to play, and also a certain belief in the group, that we have what it takes. That was the process we went through. We challenged these guys every day. I'm grateful that they responded the right way to how we challenged them. COACH SULLIVAN: The one thing we tried to do was create an identity and establish an identity. I thought as the head coach, it was my responsibility to direct that. So we look at our personnel. When we looked at the type of players we have, our core guys, we think we've got players that want to play fast. They can all really skate, when you look at Crosby and Malkin and Kessel and Letang, Hagelin we acquired down the stretch. Our core guys, they can all really skate. They want to play fast. They want to come through the neutral zone with speed. We tried to implement a game plan that allowed them to play to their strengths. So we tried to create an identity. When we go in and play a team, their coaches have a meeting before the game, what are they saying about the Pittsburgh Penguins? If 29 teams are saying the same thing, then we've created an identity. That's what we tried to do. And our players bought in. We felt as though, if we were a team that could play fast in every aspect of the game, that could be our competitive advantage on some of our opponents. I thought Jim Rutherford did a tremendous job in acquiring some guys along the way that enhanced that speed for us. So when we started to gain some traction down the stretch, that was the evidence that the players needed to get them to believe. Once we established that, I think they felt as though we had what it takes in our room. COACH SULLIVAN: Thank you."
2016-06-12,"Mike Sullivan",FALSE,"COACH SULLIVAN: No, I don't think so. I think, listen, the stakes are high. This team really wants to win. When that happens, we're all human and we all have emotions. When I say the team was unsettled, by no means do I think we were flat. We certainly didn't have the start we wanted as far as controlling momentum right from the drop of the puck. Give San Jose credit, they were opportunistic on a couple of the chances they got and it ended up on the back of our net. I think we can play with more purpose in those first few shifts to get us off on the right foot in the first period. I know that our team is well aware that we need to have a better start to make sure that we don't get down in the game as early as we did. It's tough to win when you do that. I give our guys a lot of credit for fighting back right away and scoring two goals to get ourselves right back in the hockey game. COACH SULLIVAN: I think it's exciting. I think our guys are having fun with this whole journey that we've had. They're a close-knit group. They enjoy playing for each other. I think they're having fun with this. I think they're embracing the challenges we've been faced with to this point. We've got another great opportunity tonight. I think that's how we're all looking at it. We're excited to play. You know, it's hard to get to this point. The league is a very competitive league. There's a lot of really good teams. We beat some good teams to get here. COACH SULLIVAN: We're not worried about it, quite honestly. Both teams have to play on the same sheet. Depending on how it is, sometimes we have to simplify our game. COACH SULLIVAN: Well, Tanger is invaluable. He just plays so many important minutes for us, and so many minutes for us, in so many situations. He's an elite defenseman. I think he's one of the top defensemen in the league. He helps us get out of our end zone. He joins the rush. He runs our power play. He's in the penalty kill situations. I think his defensive play is underrated. His offensive play I think speaks for itself. You can see it in his numbers, in his performance. His play away from the puck, how he helps us defend in our end zone, kill penalties, play those kind of minutes for us, those are underrated by a lot of people. Certainly not by his coaching staff. But certainly he's a very important player for us. He's an elite defenseman. COACH SULLIVAN: Thank you."
2016-06-12,"Brian Dumoulin Ben Lovejoy",FALSE,"BEN LOVEJOY: Way better. I played two games in November that season. I was happy to be there. We lost them both. I had no impact on the Cup. I had a great seat to watch that team do it. BRIAN DUMOULIN: I think they started the game shooting the puck, whether it's from the point or off the wings. They dropped pucks from that area on, and that's what happens. A couple of them went in. It's a different game when that happens. BRIAN DUMOULIN: Can't share that with you now. Yeah, I play the same music pretty much. Come up with a playlist after you start winning. Guys start knowing the songs and the words. BRIAN DUMOULIN: I mean, a little bit. You can get caught up in the outside noise, especially in a game like that. I mean, they're a good team, too. They came out, pressured us hard. They had some good chances in the zone. They capitalized on them. I think they had five shots and scored on three of them. BEN LOVEJOY: I think the biggest part is staying out of the penalty box. They're lethal on that power play. They have so many guys that can beat you. We have to do our best to play an incredibly disciplined game. That's a game changer for them. BRIAN DUMOULIN: Not really, not yet. You're always thinking about it, kind of where you've come. You have to learn from the ups and downs of the season as you go on. BEN LOVEJOY: I think they'll deal (laughter). I grew up a sports fan. Brian grew up a sports fan. I couldn't tell you where the Patriots have won their last four. Nobody cares. Everybody is about getting it done. We would have loved to do it in Game5. But the Sharks are a good team. They're trying, too. We need to come out and play our best hockey tonight if we have any chance."
2016-06-12,"Peter DeBoer",TRUE,"COACH DeBOER: Well, I think first off, you have to give full credit to Pittsburgh. I thought they came out and played a hell of a series. They played their game for much longer stretches than we were able to. They dictated the play. They started quicker than us. That's the reason they're holding the Cup. COACH DeBOER: Their speed, the pressure they put on with their speed. It's not just their speed, they have good sticks, too. They force you into quicker decisions. They really challenge your execution. COACH DeBOER: I thought we had a shot. The first period, we had a couple two-on-ones, a couple guys in alone. Second period, I thought we had some really good stretches. That was our opportunity to maybe grab the lead. When we didn't, that was probably the difference in the game tonight. COACH DeBOER: Well, just raw. The end is like hitting a wall. You've been going since September. 106 games. How many hundreds of thousands of miles in the air. A special group. But only one team can win. That doesn't take anything away from what those guys accomplished. I don't think anyone should ever question the leadership or the character or the will of the group of men in there. I think it's been misplaced for a decade. I would hope they answered some questions. Let's be honest. Not many people have us making the playoffs. Not many people had us beating L.A. On and on. COACH DeBOER: Well, I don't know. I mean, obviously you'd like a Stanley Cup to show for it, but you don't have that. COACH DeBOER: You got all kinds of injuries, all kinds of things. I'm not going to give you the laundry list of that today. Trust me, there's a lot of guys playing in there with injuries. COACH DeBOER: Pavelski. Like I said, there's a laundry list of guys that have had things. We can talk about that at a later date. COACH DeBOER: Thank you."
2016-06-12,"Peter DeBoer",FALSE,"COACH DeBOER: No more pressure. It was in the building last game. We can't win it tonight. It doesn't put any more pressure on us than we've had throughout the playoff. COACH DeBOER: Yeah, I mean, he is just one of the guys. You wouldn't know. There's no quirkiness to him. He doesn't seem to have any rituals, really highs and lows. He comes in, got a smile on his face. He does his job. You wouldn't know the bad days from the good days. I think that's the beauty of him. COACH DeBOER: I think being at home helped part of it. But I think it was more our mindset. We got away from it last game. We allowed them to funnel pucks to the net. That's what they do. I thought we did a great job, probably the best game of the series where we've done a good job of denying them funneling those pucks to the net. We've got to get back to that. We have to help Jonesy out. Even if those aren't quality shots, it creates action in our net, it creates some chaos. COACH DeBOER: As far as the forecheck and offensive zone time, I think it's been spurts, it hasn't been consistent enough for where we want it to be, expect it to be. You have to give them some credit for that. But we can also do a better job. I'm assuming tonight will be our best game in that department. As far as experience for the young guys, again, I think as a coach you don't really look at birth certificates. You look at guys that you think can help you win the game. COACH DeBOER: I think it's a couple things. I think obviously if you have the puck more, if you're attacking more, you're creating more of those opportunities. I don't think there's any doubt, too, that this time of year the teams get to play a little bit more. I think that's historically been the mindset. It's a little bit of both. Thank you."
2016-06-12,"Matt Cullen Patric Hornqvist",FALSE,"MATT CULLEN: I think it's been pretty consistent for us throughout the playoffs, really throughout the last stretch of the season. Our group is pretty consistent. We've done a pretty good job of pressuring teams, making life difficult as far as taking away time and space and using our feet to close on people. MATT CULLEN: Yeah, a little bit. It's come up quite a bit here throughout the playoffs. It's pretty amazing how things work out sometimes. Obviously this would have been the hope when I decided to come here. Realistically it's a very difficult road to climb. I feel really fortunate to be here, I really do. It's funny how things work out. MATT CULLEN: They have a lot of different weapons. I don't even know so much they adjustment as far as they move the puck around really well. They move it quick. They shoot it quick. It seems to me they put more pucks at the net, keep bodies closer to the net. I mean, that's kind of the fun part of the playoffs. There's a little bit of back and forth on adjustments. We look at a lot of what they're doing, study it pretty hard. But they're good, they have good personnel. It's a challenge for us each game. There's subtle little adjustments even from power play to power play."
2016-06-12,"Sidney Crosby",TRUE,"SIDNEY CROSBY: I wasn't really thinking about '09 that much. I was just thinking about how hard it was to get to this point, just trying to enjoy every second of it. It's not easy to get here. Having won seven years ago at a young age, you probably take it for granted a little bit. You don't think you do at the time, but it's not easy to get to this point. SIDNEY CROSBY: Well, obviously after a coaching change, I think everyone takes that personal, puts the responsibility on their shoulders to be better. I think individually and as a group we had high expectations, we knew we needed to be better. I thought we just slowly got better and better. Mike came in and made it pretty clear how he wanted us to play, what he expected from each individual guy. I think guys just welcomed the opportunity, welcomed the challenge, tried to get back on track. It took some time. Didn't happen overnight. But March was a big month for us. We knew we had to get a big push to get in the playoffs. We knew once you get in the playoffs, anything can happen. We were playing good at the right time. We had to go through some really good teams. Every team we played. New York was playing good down the stretch. Washington obviously, top team. Tampa had us on the brink of elimination. Then obviously San Jose, with the way they play, they're physical, fast. Jones was unbelievable through the whole series. SIDNEY CROSBY: I don't know. There are so many guys who contributed, to be honest. I look at this as a total team effort. I tried to work hard every night, do my job just like everyone else. SIDNEY CROSBY: When you have so much turnover the last couple years like we had, it's not easy to throw a bunch of guys together and develop that chemistry, that trust. It doesn't happen overnight. When you look at the group, how many new players we brought in, it was pretty special what we were able to do. We had a core that played together for a while, there was some trust there. When you look at all the guys we added, the young guys, the guys we added through trades, I think it takes a special group to be able to come together that quickly and build that trust basically along the way. SIDNEY CROSBY: There's so many different things that motivate you obviously to win, but there's other things. Daley had played for such a long time. Hadn't really even had a chance. He had been through some different playoffs, but getting hurt at the time he did, knowing how important it was, he had told me that he went and seen his mom in between series and stuff, she wasn't doing well, she wanted to see him with the Cup. That was important to her. I think that kind of stuck with me after he told me that. We were motivated to get it for him, even though he had to watch. Duper, obviously what he's been through the last couple years, the type of teammate he's been, just the way he's approached everything. I think he would have loved to have been playing. This is as good as we could have done without him playing. That was special. And Flower, the teammate he's been, it hasn't been easy getting hurt like he did. Having come in and played the way he did, he just handled it better than you'd expect. SIDNEY CROSBY: I don't know. I think the best way I can describe it is, like I said, I have a greater appreciation this time around. At a young age, going back-to-back like we did, you just think it's going to be an annual thing. With the core we have, you think everyone's going to stay together, the team's not going to change. But it does. That's kind of the reality of playing hockey. There's turnover, things change, guys move on, different coaches. There's so much change. SIDNEY CROSBY: It didn't really change. I felt like every night as a line we wanted to produce and create things offensively. In the playoffs, it's tight. There's not a lot of chances to be had. When there isn't, you can't be one-dimensional. You have to make sure you're contributing other ways. Whether that is creating momentum, drawing penalties, winning faceoffs, everything that it takes, all those little details go a long way. There's more to just winning games than scoring goals. It feels great, it's important. That's what our job is. But there's a lot of other things that go into it. SIDNEY CROSBY: I think with Cully, he brings a lot of leadership, a lot of experience. To play the role he did at his age, I think everyone is tired at this point, he was playing a lot of important minutes for us, defensive zone faceoffs, penalty kill. He was doing a lot of things for us. He was scoring some big goals. He had some huge goals throughout the playoffs. He just brought a lot of leadership. With so many new guys, it's nice to have someone come in like that that takes it upon himself right away. He didn't kind of wait to feel comfortable. You could tell he was comfortable right away. That goes a long way. With Jim, I think the biggest thing I can say is he had an idea of what he wanted us to play like, what he saw our team as, our identity, if we wanted to win. He put the guys in place to be able to play that way. SIDNEY CROSBY: I think March. We needed to win some big games in March against some really good teams. It wasn't like we had one of those games, then a week where we didn't have big ones. I mean, it felt like every single game was huge and against a team we're competing for in a playoff spot. When you beat good teams, you do it consistently over the course of a month, at that time of the year when you know everybody is at their best, that builds a lot of confidence in your group. You're playing the right way. You're playing desperate at a time when you need to be. Going into the playoffs, there was no letdown. We just carried that mentality right into the playoffs. That's probably the best thing that could have happened to us. SIDNEY CROSBY: Thanks, guys."
2016-06-11,"Mike Sullivan",FALSE,"COACH SULLIVAN: We really liked a lot of our game. We carried the play for long stretches. Our power play was good. A lot of the aspects of our game we really liked. COACH SULLIVAN: I think we respond the right way to adversity, the ebbs and flows. Obviously we didn't get the result the last game. This is as high stakes as it gets. Our players are well aware of the situation. I think throughout the course of this post-season, this group of players has shown an ability to respond the right way. COACH SULLIVAN: Well, I think he has a quiet confidence about him. I think he believes in himself. He knows he's a good goalie. He has shown a maturity level beyond his years in a lot of ways. But probably the most impressive way is just his ability to deal with any of the adversity that he faces along the way. If one goes in that he thinks he should have had, he has the ability to stay in the moment, try to make the next save. He's a real competitor. We love that about him. We love his makeup. For him to show that type of an attribute at such a young age, it usually takes players a few years to acquire that type of mental toughness where your confidence doesn't get shaken or your performance doesn't get influenced by some of the adversity that you go through throughout the course of a game or from game to game. COACH SULLIVAN: Certainly with Matt, he's a pretty composed kid. What I've really grown to admire about him is just his professionalism. He comes to the rink, he controls what he can, he works hard every day, he prepares the right way. There isn't a whole lot of drama surrounding him. He just comes to the rink and works. When you have players like that, that come to the rink and just work to get better each and every day, as a coaching staff I think it makes our jobs a lot easier because of the approach that they take, players like Matt. We've got a fair amount of them on our team. I have to say this group of players has been a privilege to coach because of their professionalism and their work ethic and how they approach their jobs every day. Matt is one of those guys. He comes to the rink every day, tries to get better. Doesn't really get on an emotional rollercoaster, so to speak. He just controls what he can. I think that's one of the reasons why he has the ability to endure some of the challenges that this league presents. I think one of the things that young players have to learn when they establish themselves in this league is how to handle the emotions associated with wins and losses, highs and lows, when you're feeling really confident, when maybe your confidence gets shaken and how do you get it back. Those are all human emotions that players, athletes, have to deal with. COACH SULLIVAN: Well, we'd like to win the next game, regardless of where it's being played. I think being on the road, it's just the team. There are less distractions for sure. But having said that, I thought our guys did a really good job of handling it the right way. It was unfortunate that we didn't get the result we were looking for. But we're playing a very good opponent and we know that. We know this is the most difficult win to get. Our players are well aware of the expectations and the heightened intensity that we need to have in order to get this next win. So regardless of where it is, our focus is on that. Thank you."
2016-06-11,"Jim Rutherford",FALSE,"JIM RUTHERFORD: That was an exciting time. Of course, your first year in the league is exciting enough. When you enter that room with such a great player like him, it was special. But he was a guy that in some ways was hard to describe. He just had a special way about him. As a teammate, you looked around the room, if somebody was struggling with something, in his own way he'd go by and say something to them. Might not be long. Might not say, Hey, do you want to go somewhere and talk? He'd walk by and kind of catch you from behind, give you a little poke, a little elbow, say a few words, which meant a lot. JIM RUTHERFORD: Yeah, he wasn't still there in Hartford when I got there. I mean, when you're the player that he is, one of the top players of all time, he obviously did so many things for the game. But he played the game in a way like really no other superstar played it. He could play in all situations, in all types of games, whether it was the physical game or finesse game. He could win games in so many different ways. JIM RUTHERFORD: I don't think there is one. He was a guy that could win a scoring race. He was a guy who could win the fight. He could do everything. Some of the power forwards now can do some of those things, but not at the level he did. JIM RUTHERFORD: I don't know. I guess the one that I remember the most, my grandfather had passed away when I was playing for the Wings. It was after he had finished playing there, but he was still in the organization. The organization didn't want to give me the time off to go home to the funeral. I made my own decision that I was going to go. He was the first one there to tell me. He come up to me, like I was saying before, comes from the side or behind, gives you a little elbow, Hey, kid, good for you, that's exactly what you should have done. He was right there to support me. But I can tell you there were other situations where times were tough with the team. My first game in Maple Leaf Gardens, I grew up north of Toronto, so that's what a kid looks forward to. I got pulled after the first period. Gave up three goals. We were losing 3-0. Again, he was the first guy in between periods to come over and say, It's okay. JIM RUTHERFORD: Well, it wasn't fun. I didn't like practice to start with. Certainly didn't like it with the guys that could really shoot it. In those days, we used wrist shots probably as much as we use slapshots now. He had a very, very heavy shot. He practiced the way he played games. He played for keeps. He was trying to score all the time. It was a hard, heavy shot. JIM RUTHERFORD: I'm hoping to. We'll have to see how the schedule plays out. Thank you."
2016-06-11,"Peter DeBoer",FALSE,"COACH DeBOER: Well, huge. I think when he went down, we were 4-0. We had a great start to the season. We felt guys were slotted in the right spot. It was a catastrophic injury, it really was. There was talk at some points there he might miss up to six months. I think it was a blessing in disguise looking back at it now because it forced me to get to know the organization top to bottom. We tried a lot of young guys in different spots. Hertl played some center. We brought guys in. Tierney had a chance to play. It was a quick learn for me on the depth of the organization. Got to know the young guys, know what they could do, what they couldn't do. COACH DeBOER: Inspirational speeches? Been a long time. We've got a veteran group. I don't see my job as going in there. These guys don't need to be inspired to play. They're in the Stanley Cup Finals. Some of them have waited 18 years. There's no speech I'm going to give Patty Marleau and understand the situation and make him play harder. That's for movies and Sunday football, for sure, when you're playing 11 or 12 games a year. COACH DeBOER: I think special teams. It goes in waves. I think we haven't had as many opportunities as we have some other series. You don't get in that rhythm when you go long stretches without one and then get one. It's hard to get in that mindset. We got to keep moving our feet, keep trying to draw penalties. I think there's penalties out there. They're letting the teams play. So we've got to attack more holes, you know, find a way to draw some more penalties to get in our rhythm. Just feeling confident in creating offense. I think with some of the injuries we've dealt with, he's playing higher in the lineup. He gets maybe some more offensive looks. COACH DeBOER: He was a big part of it. We really liked our team coming out of training camp. We went into L.A., won the first game of the season. Went into Anaheim, won. With the guys slotted in the spots they were in to start the season, I thought we had the potential to be 105- to 110-point team. When he goes down, definitely that changes. That's not the only thing. He comes back. We got a real good handle on the depth of the organization, which allowed Doug to make some real good acquisitions to fill some of the holes that we realized we had. I think if that doesn't happen, like I told Pierre, sometimes you go into the deadline and you say, We've got this young guy here, he can do that job. Well, we tried every young guy in every spot the first half of the year because of that injury. We had a real good handle on who could do what. I think that led to the acquisitions. COACH DeBOER: I think he definitely has embraced it. I think he's earned it. I think when I got here, probably the toughest job I had was sorting out the leadership. There's so many quality people here. The guys not wearing letters right now are Vlasic, Marleau, Burns. You got guys, Joel Ward. We've been inclusive in making sure that every leadership meeting we have, that group is much bigger than guys that wear the letters. COACH DeBOER: Well, sure, I mean, you look at the record, it's hard to explain. I don't know. Part of the explanation is those Western Division teams, Conference teams you're talking about are pretty good teams. They might beat teams even worse if they didn't travel as much. I don't know the answer to that. I can tell you, if you ask me if I want to fly back and forth across the country as much as we have, or if we can sit at home and play in a division like Pittsburgh plays in, I think everyone would line up for the Pittsburgh schedule. The one thing is, we have a resilient group. We're comfortable on the road. The amazing part to me is the group has never used that as an excuse. Never once have I heard about travel or weariness or, We don't want to practice today. It's been the opposite. I've had to stop them from working. COACH DeBOER: I mean, coaching in the east, not watching them play, you fall victim to what you guys write and say about them, which is they can't get it done, there's not enough character, there's not enough leadership. That's what people think. It's so far off base. There's just no substance to that at all. I think these guys have proven it this year. But I saw that in training camp. You can't help but come in with some of those preconceived notions that you've been reading for a decade. They quickly put that to rest. It's some of the best leadership and some of the most honest people I've ever worked with. So while it hasn't surprised me, it's definitely something that I've learned. COACH DeBOER: One of the greatest leaders I've been around, hands down. I'm not talking just teams I've coached in the regular season in the NHL. I've coached World Championships and World Junior teams. He's an unbelievable combination of professionalism, work ethic, and a great casual, relaxed way around the dressing room where he makes everybody feel included. This guy is a fantastic leader. Thank you."
2016-06-10,"Mike Sullivan",FALSE,"COACH SULLIVAN: Well, I'm sure Matt will respond fine. He's done it all year long. He's a real good goalie. One of the things we love about him is his demeanor. He really has a calming influence on the group. COACH SULLIVAN: Yeah, I thought last night was one of our best nights as far as the impact the power play had. Even when it didn't score, it certainly had a lot of zone time, a lot of scoring chances. I thought the execution was really sharp. What I really liked about it was the puck movement was quick, it was sharp, it was on the tape. When they move the puck like that, they're very difficult to defend against because it turns the penalty kill unit into a reactive mode. COACH SULLIVAN: Well, I think it wasn't like they stormed us by any stretch. For long stretches of the game, I really liked our team, I really liked our performance. I thought the beginning of the game, they were opportunistic on the few opportunities they got a few minutes into the game. But I thought our team responded the right way. We scored two quick goals to get right back in the hockey game. So we settled into it fairly quickly. I don't think it was a case we got caught off guard. We knew exactly what to expect going into it. Obviously from a goal-scoring standpoint, it wasn't what we hoped for in the start of the game, but certainly I loved the way our guys responded to get right back into the hockey game and make it 2-2 right away with so much hockey to play. COACH SULLIVAN: Well, he's such an important player for us. I think he did have a strong game last night. I think he's had a strong series. Horny is a guy that plays extremely hard. He plays in the battle areas. He goes to the net. He makes it really difficult for his opponents. He's an invaluable player for us. He plays in front of the net on the power play. Obviously he's played with Sid here for quite some time now. That's been such a great line for us. He's a real important player for us. The thing I love the most about him is I love his energy, I love the passion he brings to the game. He wears his emotions right on his sleeve. I think his energy is contagious on our bench."
2016-06-10,"Peter DeBoer",FALSE,"COACH DeBOER: Yeah, I think great players have that ability. I put him in that category, just like Joe Pavelski has a knack for game-winning goals. I think Logan has the ability to raise his level of play when the chips are down. I think he's done that for us the entire playoffs. COACH DeBOER: I thought that was our best line last night. Melker has been excellent the entire playoff, but particularly in the Final, I think he's really found another level for us here. He's disruptive on the forecheck, has tenacity on the puck, he's turning a lot of pucks over. COACH DeBOER: Well, I think the one thing is we're 105 games into this season. You got to win all kinds of different ways. Some nights it's your special teams, some nights is five-on-five, some nights is your goalie. We make no apology for how a game looks. COACH DeBOER: I think the nice thing is we're at home. The fact we have two days to prepare I think helps us, especially with the travel we've done as a team this year. COACH DeBOER: Tragic day. To think that we lost Muhammad Ali and Gordie Howe in the same week or 10-day span is incredible. You talk about two guys that were torchbearers for their sport over the last century, that would be the name for hockey and the name for boxing. COACH DeBOER: I think so, for sure. I think goal-scorers, a lot of it's confidence and feeling good about yourself. I think a lot of times it's a bounce or one to go in off your shin pad or an empty netter that gets you going in the right direction. COACH DeBOER: Well, they've got a good power play like we've got a good power play. I think our penalty killing has to be a little tighter. We were very good early in the series. I thought last night we were a little off, a lot like our defensive game in our own end a little bit. We have to tighten both those things up. COACH DeBOER: Yeah, if he doesn't have that performance, we're not playing another game. I think he recognized the importance of the situation, you know, stood up and was our best player. COACH DeBOER: Well, no. I think it goes to show what the shot stat significance is, at least in our minds. I've said this before earlier in the series: I don't think it's always an accurate reflection of the game. COACH DeBOER: Tomas Hertl is day-to-day. I haven't been to the rink yet today. I don't know if he was on the ice or not. I don't have that report yet."
2016-06-09,"Mike Sullivan",TRUE,"COACH SULLIVAN: No, I thought we did all of the above. I thought we had traffic at the net. We had pucks to the net. There were people there. We had rebound opportunities. We couldn't seem to find that third goal. COACH SULLIVAN: No. I thought our team as a whole was a little bit unsettled at the first part of the game, but we settled in fast. Obviously we didn't have the start that we would have liked. But I really liked the fact that we battled back as quick as we did, making it a 2-2 game right away. The reality is there's a lot of hockey left at that point to be played. COACH SULLIVAN: I thought they handled it fine. When you look at how the game was played, there's a lot of things to like about how we played. I loved our energy. I thought we were on the puck. I thought we were fast. I thought we controlled territory. I thought we controlled the scoring chances, the shot clock. There are a lot of things that I think we can build on. We knew it wasn't going to be easy. These are two really good teams playing against one another. The elimination game is always the most difficult. We knew it going in. We knew we were going to have to bring our best. COACH SULLIVAN: That's how they generate their offense. They have big, strong bodies. I thought for the most part we did a pretty good job. It's not like we gave up a lot of scoring chances. They're a very good team. They have good players. I think that's one of their strengths, that's where they have the opportunity to use their size and their skill level. COACH SULLIVAN: No, Burns is in the rush all the time. That's part of what he brings to their team. He's a very good player. He has the ability to generate offense from the blueline. I just think that's part of their identity. That's part of his identity as a player. We certainly have to be aware of him when he's on the ice. Like I said, I thought as a group, for the most part, there's a lot of this game that we really liked. Thanks."
2016-06-09,"Mike Sullivan",FALSE,"COACH SULLIVAN: I think our players have this game in perspective. We spoke about it the last couple of days. I trust our leadership, as I said yesterday. I think we're at our best when we play with emotion and play with energy, but it certainly has to be controlled emotion and it has to be channeled the right way. COACH SULLIVAN: I think Sid has been a force every game. He may not have scored, but he certainly is a handful out there regardless of who they put out on the ice against him. We'll look for certain matchups. It's easier to get at home. From the standpoint of a defense pair, it's usually easier to get a defense pair match than it is to get a forward line match. COACH SULLIVAN: I think Sergei, he's been terrific. He has a nice demeanor about him. He has a great relationship with our defense core. I think he offers them a lot of subtle insights into how to be a more effective player. He's certainly a guy they have a tremendous amount of respect for because of what he's accomplished in the game. I think the fact that he's so close to having played with a lot of these guys, they can certainly relate to him because it hasn't been too long since he hasn't been in the heat of the battle himself. COACH SULLIVAN: No, I'm not really a superstitious guy. I believe in controlling what we can, making sure that we channel our thoughts the right way, and leaving it all out there. COACH SULLIVAN: Well, as I just said, obviously the stakes are high. They have been for a long time now for our team. I think the challenge is the discipline of staying in the moment and just not getting ahead of yourself. We've talked a lot about that with our team over the course of this post-season. I think our guys have done a terrific job in that regard. Just focusing on the one task at hand. We know we have work ahead of us here to accomplish what we set out to do. The best way, the most effective way to do it, is to rely on your daily routine, your game day routine, you make sure you stay in the moment and you don't get ahead of yourself. COACH SULLIVAN: Geno is an elite player. When he plays like he did in the last game, I think it just makes us that much more difficult to play against. It's one more real threat out there that our opponents have to be concerned about. As I've said all along here, Geno scored for us the last game, which is great for him and great for our team. We're a better team when he does, for sure. But he certainly has had an impact on this series other than just the score sheet. The first few games, I see his game getting better and better at both ends of the rink. That's our expectation. That's our expectation of him. That's our expectation of our top people, that they have that kind of an impact on the game. COACH SULLIVAN: I think Matt's game on the ice speaks for itself, the impact he has there. He's a terrific player. We use him in so many important situations. I don't think I have to speak to his performance on the ice because everybody sees it. I have a tremendous amount of respect for Matt as a person, how he's able to have an impact on our locker room and on the bench. He's a guy that's played a long time. He's accomplished a lot in this game. I think he brings a certain experience level, a certain perspective having gone through so many different experiences as a player. Just his ability to share that with the players in the locker room I think has been invaluable for our team. COACH SULLIVAN: I think if that's something he'd like to do, for sure."
