"Round","Pick","NHLTeam","Name","Position","Team","League"
"1","1","Edmonton","Nail Yakupov","R","Sarnia Sting","OHL"
"1","2","Columbus","Ryan Murray","D","Everett Silvertips","WHL"
"1","3","Montreal","Alex Galchenyuk","C","Sarnia Sting","OHL"
"1","4","NY Islanders","Griffin Reinhart","D","Edmonton Oil Kings","WHL"
"1","5","Toronto","Morgan Rielly","D","Moose Jaw Warriors","WHL"
"1","6","Anaheim","Hampus Lindholm","D","Rogle BK","Swe1"
"1","7","Minnesota","Mathew Dumba","D","Red Deer Rebels","WHL"
"1","8","Pittsburgh","Derrick Pouliot","D","Portland Winterhawks","WHL"
"1","9","Winnipeg","Jacob Trouba","D","US National Development Team","USHL"
"1","10","Tampa Bay","Slater Koekkoek","D","Peterborough Petes","OHL"
"1","11","Washington","Filip Forsberg","C","Leksands IF","Swe1"
"1","12","Buffalo","Mikhail Grigorenko","C","Quebec Remparts","QMJHL"
"1","13","Dallas","Radek Faksa","C","Kitchener Rangers","OHL"
"1","14","Buffalo","Zemgus Girgensons","C","Dubuque Fighting Saints","USHL"
"1","15","Ottawa","Cody Ceci","D","Ottawa 67s","OHL"
"1","16","Washington","Tom Wilson","R","Plymouth Whalers","OHL"
"1","17","San Jose","Tomas Hertl","C","Slavia Praha HC","Czech"
"1","18","Chicago","Teuvo Teravainen","F","Jokerit Helsinki","SMliiga"
"1","19","Tampa Bay","Andrei Vasilevskiy","G","Ufa Tolpar","Russia"
"1","20","Philadelphia","Scott Laughton","C","Oshawa Generals","OHL"
"1","21","Calgary","Mark Jankowski","C","Stanstead College","Quebec"
"1","22","Pittsburgh","Olli Maatta","D","London Knights","OHL"
"1","23","Florida","Michael Matheson","D","Dubuque Fighting Saints","USHL"
"1","24","Boston","Malcolm Subban","G","Belleville Bulls","OHL"
"1","25","St. Louis","Jordan Schmaltz","D","Green Bay Gamblers","USHL"
"1","26","Vancouver","Brendan Gaunce","C","Belleville Bulls","OHL"
"1","27","Phoenix","Henrik Samuelsson","C","Edmonton Oil Kings","WHL"
"1","28","NY Rangers","Brady Skjei","D","US National Development Team","USHL"
"1","29","New Jersey","Stefan Matteau","F","US National Development Team","USHL"
"1","30","Los Angeles","Tanner Pearson","L","Barrie Colts","OHL"
"2","31","Columbus","Oscar Dansk","G","Brynas IF Gavle","SEL"
"2","32","Edmonton","Mitch Moroz","L","Edmonton Oil Kings","WHL"
"2","33","Montreal","Sebastian Collberg","R","Frolunda HC","SEL"
"2","34","NY Islanders","Ville Pokka","D","Karpat","SMliiga"
"2","35","Toronto","Matt Finn","D","Guelph Storm","OHL"
"2","36","Anaheim","Nicolas Kerdiles","L","US National Development Team","USHL"
"2","37","Nashville","Pontus Aberg","R","Djurgardens IF Stockholm","SEL"
