"Round","Pick","NHLTeam","Name","Position","Team","League"
"1","1","Florida","Aaron Ekblad","D","Barrie Colts","OHL"
"1","2","Buffalo","Sam Reinhart","C","Kootenay Ice","WHL"
"1","3","Edmonton","Leon Draisaitl","C","Prince Albert Raiders","WHL"
"1","4","Calgary","Sam Bennett","C","Kingston Frontenacs","OHL"
"1","5","NY Islanders","Michael Dal Colle","L","Oshawa Generals","OHL"
"1","6","Vancouver","Jake Virtanen","R","Calgary Hitmen","WHL"
"1","7","Carolina","Haydn Fleury","D","Red Deer Rebels","WHL"
"1","8","Toronto","William Nylander","C","MODO Hockey Ornskoldsvik","SweHL"
"1","9","Winnipeg","Nikolaj Ehlers","L","Halifax Mooseheads","QMJHL"
"1","10","Anaheim","Nick Ritchie","L","Peterborough Petes","OHL"
"1","11","Nashville","Kevin Fiala","L","HV71 Jonkoping","SweHL"
"1","12","Arizona","Brendan Perlini","L","Niagara IceDogs","OHL"
"1","13","Washington","Jakub Vrana","C","Linkopings HC","SweHL"
"1","14","Dallas","Julius Honka","D","Swift Current Broncos","WHL"
"1","15","Detroit","Dylan Larkin","C","US National Under18 Team","USHL"
"1","16","Columbus","Sonny Milano","L","US National Under18 Team","USHL"
"1","17","Philadelphia","Travis Sanheim","D","Calgary Hitmen","WHL"
"1","18","Minnesota","Alex Tuch","R","US National Under18 Team","USHL"
"1","19","Tampa Bay","Anthony DeAngelo","D","Sarnia Sting","OHL"
"1","20","Chicago","Nick Schmaltz","C","Green Bay Gamblers","USHL"
"1","21","St. Louis","Robby Fabbri","C","Guelph Storm","OHL"
"1","22","Pittsburgh","Kasperi Kapanen","F","KalPa Kuopio","SMliiga"
"1","23","Colorado","Conner Bleackley","C","Red Deer Rebels","WHL"
"1","24","Vancouver","Jared McCann","C","Sault Ste Marie Greyhounds","OHL"
"1","25","Boston","David Pastrnak","L","Sodertalje SK","Swe1"
"1","26","Montreal","Nikita Scherbak","R","Saskatoon Blades","WHL"
"1","27","San Jose","Nikolay Goldobin","L","Sarnia Sting","OHL"
"1","28","NY Islanders","Josh Ho-Sang","R","Windsor Spitfires","OHL"
"1","29","Los Angeles","Adrian Kempe","L","MODO Hockey Ornskoldsvik","SweHL"
"1","30","New Jersey","John Quenneville","C","Brandon Wheat Kings","WHL"
"2","31","Buffalo","Brendan Lemieux","L","Barrie Colts","OHL"
"2","32","Florida","Jayce Hawryluk","C","Brandon Wheat Kings","WHL"
"2","33","St. Louis","Ivan Barbashev","C","Moncton Wildcats","QMJHL"
"2","34","Calgary","Mason McDonald","G","Charlottetown Islanders","QMJHL"
"2","35","Tampa Bay","Dominik Masin","D","Slavia","Czech Jrs"
"2","36","Vancouver","Thatcher Demko","G","Boston College","HEast"
"2","37","Carolina","Alex Nedeljkovic","G","Plymouth Whalers","OHL"
"2","38","Anaheim","Marcus Pettersson","D","Skelleftea","Sweden Jrs"
"2","39","Washington","Vitek Vanecek","G","Czech",""
"2","40","Ottawa","Andreas Englund","D","Djurgardens","Sweden Jrs"
"2","41","New Jersey","Joshua Jacobs","D","Indiana Ice","USHL"
"2","42","Nashville","Vladislav Kamenev","L","Magnitigorsk2","Russia Jrs"
"2","43","Arizona","Ryan MacInnis","C","Kitchener Rangers","OHL"
"2","44","Buffalo","Eric Cornel","R","Peterborough Petes","OHL"
"2","45","Dallas","Brett Pollock","C","Edmonton Oil Kings","WHL"
"2","46","San Jose","Julius Bergman","D","Frolunda","Sweden Jrs"
"2","47","Columbus","Ryan Collins","D","US National Under18 Team","USHL"
"2","48","Philadelphia","Nicolas Aube-Kubel","R","Val dOr Foreurs","QMJHL"
"2","49","Buffalo","Vaclav Karabacek","R","Gatineau Olympiques","QMJHL"
"2","50","Los Angeles","Roland McKeown","D","Kingston Frontenacs","OHL"
"2","51","Nashville","Jack Dougherty","D","US National Under18 Team","USHL"
"2","52","St. Louis","Maxim Letunov","F","Youngstown Phantoms","USHL"
"2","53","San Jose","Noah Rod","F","Geneve Servette","SwissA"
"2","54","Calgary","Hunter Smith","R","Oshawa Generals","OHL"
"2","55","Anaheim","Brandon Montour","D","Waterloo Black Hawks","USHL"
"2","56","Boston","Ryan Donato","C","Dexter School","Mass HS"
"2","57","Tampa Bay","Johnathan MacLeod","D","US National Under18 Team","USHL"
"2","58","Arizona","Christian Dvorak","C","London Knights","OHL"
"2","59","NY Rangers","Brandon Halverson","G","Sault Ste Marie Greyhounds","OHL"
"2","60","Los Angeles","Alex Lintuniemi","D","Ottawa 67s","OHL"
"3","61","Buffalo","Jonas Johansson","G","Brynas","Sweden Jrs"
"3","62","Nashville","Justin Kirkland","L","Kelowna Rockets","WHL"
"3","63","Detroit","Dominic Turgeon","C","Portland Winterhawks","WHL"
"3","64","Calgary","Brandon Hickey","D","Spruce Grove Saints","AJHL"
"3","65","Florida","Juho Lammikko","C","Assat","Finland Jrs"
"3","66","Vancouver","Nikita Tryamkin","D","Yekaterinburg Automobilist","KHL"
"3","67","Carolina","Warren Foegele","C","St Andrews","Ont HS"
"3","68","Toronto","Rinat Valiev","D","Kootenay Ice","WHL"
"3","69","Winnipeg","Jack Glover","D","US National Under18 Team","USHL"
