"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","W","L","Ties","OTL"
20022003,"David Aebischer","Aebischer","David","COL","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,7,12,0,5
20032004,"David Aebischer","Aebischer","David","COL","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,32,19,9,3
20052006,"David Aebischer","Aebischer","David","COL, MTL","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,29,17,0,2
20062007,"David Aebischer","Aebischer","David","MTL","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,13,12,0,3
20072008,"David Aebischer","Aebischer","David","PHX","G","L","1978-02-07","Fribourg","CHE",NA,"CHE",73,187,1997,6,161,0,1,0,0
20022003,"Ari Ahonen","Ahonen","Ari","NJD","G","L","1981-02-06","Jyv√skyl√","FIN",NA,"FIN",73,190,1999,1,27,0,0,0,0
20122013,"Sami Aittokallio","Aittokallio","Sami","COL","G","L","1992-08-06","Tampere","FIN",NA,"FIN",73,185,2010,4,107,0,0,0,0
20132014,"Sami Aittokallio","Aittokallio","Sami","COL","G","L","1992-08-06","Tampere","FIN",NA,"FIN",73,185,2010,4,107,0,1,0,0
20122013,"Jake Allen","Allen","Jake","STL","G","L","1990-08-07","Fredericton","CAN","NB","CAN",74,203,2008,2,34,9,4,0,0
20142015,"Jake Allen","Allen","Jake","STL","G","L","1990-08-07","Fredericton","CAN","NB","CAN",74,203,2008,2,34,22,7,0,4
20152016,"Jake Allen","Allen","Jake","STL","G","L","1990-08-07","Fredericton","CAN","NB","CAN",74,203,2008,2,34,26,15,0,3
20132014,"Frederik Andersen","Andersen","Frederik","ANA","G","L","1989-10-02","Herning","DNK",NA,"DNK",76,230,2012,3,87,20,5,0,0
20142015,"Frederik Andersen","Andersen","Frederik","ANA","G","L","1989-10-02","Herning","DNK",NA,"DNK",76,230,2012,3,87,35,12,0,5
20152016,"Frederik Andersen","Andersen","Frederik","ANA","G","L","1989-10-02","Herning","DNK",NA,"DNK",76,230,2012,3,87,22,9,0,7
20022003,"Craig Anderson","Anderson","Craig","CHI","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,0,3,2,0
20032004,"Craig Anderson","Anderson","Craig","CHI","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,6,14,0,2
20052006,"Craig Anderson","Anderson","Craig","CHI, CHI","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,6,12,0,4
20062007,"Craig Anderson","Anderson","Craig","FLA","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,1,1,0,1
20072008,"Craig Anderson","Anderson","Craig","FLA","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,8,6,0,1
20082009,"Craig Anderson","Anderson","Craig","FLA","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,15,7,0,5
20092010,"Craig Anderson","Anderson","Craig","COL","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,38,25,0,7
20102011,"Craig Anderson","Anderson","Craig","COL, OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,24,20,0,4
20112012,"Craig Anderson","Anderson","Craig","OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,33,22,0,6
20122013,"Craig Anderson","Anderson","Craig","OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,12,9,0,2
20132014,"Craig Anderson","Anderson","Craig","OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,25,16,0,8
20142015,"Craig Anderson","Anderson","Craig","OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,14,13,0,8
20152016,"Craig Anderson","Anderson","Craig","OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,31,23,0,5
20022003,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien","PIT","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,6,13,0,2
20032004,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien","PIT","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,7,9,0,0
20052006,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien","TOR","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,9,0,0,2
20062007,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien","TOR","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,3,5,0,2
20072008,"Jean-Sebastien Aubin","Aubin","Jean-Sebastien","LAK","G","R","1977-07-19","Montreal","CAN","QC","CAN",71,180,1995,3,76,5,6,0,1
20022003,"Alex Auld","Auld","Alex","VAN","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,3,3,0,1
20032004,"Alex Auld","Auld","Alex","VAN","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,2,2,2,1
20052006,"Alex Auld","Auld","Alex","VAN","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,33,26,0,6
20062007,"Alex Auld","Auld","Alex","FLA","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,7,13,0,5
20072008,"Alex Auld","Auld","Alex","PHX, BOS","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,12,13,0,5
20082009,"Alex Auld","Auld","Alex","OTT","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,16,18,0,7
20092010,"Alex Auld","Auld","Alex","DAL, NYR","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,9,7,0,3
20102011,"Alex Auld","Auld","Alex","MTL","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,6,2,0,2
20112012,"Alex Auld","Auld","Alex","OTT","G","L","1981-01-07","ColdLake","CAN","AB","CAN",76,215,1999,2,40,2,4,0,2
20022003,"Jason Bacashihua","Bacashihua","Jason","DAL","G","L","1982-09-20","GardenCity","USA","MI","USA",71,177,2001,1,26,0,0,0,0
20052006,"Jason Bacashihua","Bacashihua","Jason","STL","G","L","1982-09-20","GardenCity","USA","MI","USA",71,177,2001,1,26,4,10,0,1
20062007,"Jason Bacashihua","Bacashihua","Jason","STL","G","L","1982-09-20","GardenCity","USA","MI","USA",71,177,2001,1,26,3,7,0,3
20102011,"Richard Bachman","Bachman","Richard","DAL","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,0,0,0,0
20112012,"Richard Bachman","Bachman","Richard","DAL","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,8,5,0,1
20122013,"Richard Bachman","Bachman","Richard","DAL","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,6,5,0,0
20132014,"Richard Bachman","Bachman","Richard","EDM","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,0,2,0,1
20142015,"Richard Bachman","Bachman","Richard","EDM","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,3,2,0,0
20152016,"Richard Bachman","Bachman","Richard","VAN","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,1,0,0,0
20092010,"Johan Backlund","Backlund","Johan","PHI","G","L","1981-07-24","Skellefte√","SWE",NA,"SWE",74,198,NA,NA,NA,0,1,0,0
20062007,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,23,8,0,6
20072008,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,33,13,0,8
20082009,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,37,24,0,8
20092010,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,26,23,0,8
20102011,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,22,23,0,5
20112012,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,19,18,0,7
20122013,"Niklas Backstrom","Backstrom","Niklas","MIN","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,24,15,0,3
