"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","GP","G","A","P"
20132014,"Spencer Abbott","Abbott","Spencer","TOR","L","R","1988-04-30","Hamilton","CAN","ON","CAN",69,170,NA,NA,NA,1,0,0,0
20162017,"Spencer Abbott","Abbott","Spencer","CHI","L","R","1988-04-30","Hamilton","CAN","ON","CAN",69,170,NA,NA,NA,1,0,0,0
20072008,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,2,0,0,0
20082009,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,2,0,0,0
20092010,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,50,3,3,6
20102011,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,74,7,12,19
20112012,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,81,8,14,22
20122013,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,48,10,3,13
20132014,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,70,10,18,28
20142015,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,71,23,21,44
20152016,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,82,19,23,42
20162017,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,42,4,9,13
20162017,"Pontus Aberg","Aberg","Pontus","NSH","L","R","1993-09-23","Stockholm","SWE",NA,"SWE",71,196,2012,2,37,15,1,1,2
20022003,"Ramzi Abid","Abid","Ramzi","PHX, PIT","L","L","1980-03-24","Montreal","CAN","QC","CAN",74,210,2000,3,85,33,10,8,18
20032004,"Ramzi Abid","Abid","Ramzi","PIT","L","L","1980-03-24","Montreal","CAN","QC","CAN",74,210,2000,3,85,16,3,2,5
20052006,"Ramzi Abid","Abid","Ramzi","ATL","L","L","1980-03-24","Montreal","CAN","QC","CAN",74,210,2000,3,85,6,0,2,2
20062007,"Ramzi Abid","Abid","Ramzi","NSH","L","L","1980-03-24","Montreal","CAN","QC","CAN",74,210,2000,3,85,13,1,4,5
20152016,"Noel Acciari","Acciari","Noel","BOS","C","R","1991-12-01","Johnston","USA","RI","USA",70,208,NA,NA,NA,19,0,1,1
20162017,"Noel Acciari","Acciari","Noel","BOS","C","R","1991-12-01","Johnston","USA","RI","USA",70,208,NA,NA,NA,19,0,2,2
20132014,"Will Acton","Acton","Will","EDM","C","L","1987-07-16","Edina","USA","MN","USA",75,202,NA,NA,NA,30,3,2,5
20142015,"Will Acton","Acton","Will","EDM","C","L","1987-07-16","Edina","USA","MN","USA",75,202,NA,NA,NA,3,0,0,0
20102011,"Luke Adam","Adam","Luke","BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,19,3,1,4
20112012,"Luke Adam","Adam","Luke","BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,52,10,10,20
20122013,"Luke Adam","Adam","Luke","BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,4,1,0,1
20132014,"Luke Adam","Adam","Luke","BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,12,1,0,1
20142015,"Luke Adam","Adam","Luke","CBJ","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,3,0,0,0
20022003,"Craig Adams","Adams","Craig","CAR","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,81,6,12,18
20032004,"Craig Adams","Adams","Craig","CAR","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,80,7,10,17
20052006,"Craig Adams","Adams","Craig","CAR","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,67,10,11,21
20062007,"Craig Adams","Adams","Craig","CAR","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,82,7,7,14
20072008,"Craig Adams","Adams","Craig","CAR, CHI","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,75,4,7,11
20082009,"Craig Adams","Adams","Craig","CHI, PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,45,2,5,7
20092010,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,82,0,10,10
20102011,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,80,4,11,15
20112012,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,82,5,13,18
20122013,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,48,3,6,9
20132014,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,82,5,6,11
20142015,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,70,1,6,7
20022003,"Kevyn Adams","Adams","Kevyn","CAR","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,77,9,9,18
20032004,"Kevyn Adams","Adams","Kevyn","CAR","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,73,10,12,22
20052006,"Kevyn Adams","Adams","Kevyn","CAR","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,82,15,8,23
20062007,"Kevyn Adams","Adams","Kevyn","CAR, PHX","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,68,3,9,12
20072008,"Kevyn Adams","Adams","Kevyn","CHI","C","R","1974-10-08","Washington","USA","DC","USA",73,200,1993,1,25,27,0,2,2
20032004,"Dimitri Afanasenkov","Afanasenkov","Dimitri","TBL","L","R","1980-05-12","Arkhangelsk","RUS",NA,"RUS",74,209,1998,3,72,71,6,10,16
20052006,"Dimitri Afanasenkov","Afanasenkov","Dimitri","TBL","L","R","1980-05-12","Arkhangelsk","RUS",NA,"RUS",74,209,1998,3,72,68,9,6,15
20062007,"Dimitri Afanasenkov","Afanasenkov","Dimitri","TBL, PHI","L","R","1980-05-12","Arkhangelsk","RUS",NA,"RUS",74,209,1998,3,72,74,11,10,21
20022003,"Maxim Afinogenov","Afinogenov","Maxim","BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,35,5,6,11
20032004,"Maxim Afinogenov","Afinogenov","Maxim","BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,73,17,14,31
20052006,"Maxim Afinogenov","Afinogenov","Maxim","BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,77,22,51,73
20062007,"Maxim Afinogenov","Afinogenov","Maxim","BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,56,23,38,61
20072008,"Maxim Afinogenov","Afinogenov","Maxim","BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,56,10,18,28
20082009,"Maxim Afinogenov","Afinogenov","Maxim","BUF","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,48,6,14,20
20092010,"Maxim Afinogenov","Afinogenov","Maxim","ATL","R","L","1979-09-04","Moscow","RUS",NA,"RUS",72,190,1997,3,69,82,24,37,61
20132014,"Kenny Agostino","Agostino","Kenny","CGY","L","L","1992-04-30","Morristown","USA","NJ","USA",72,202,2010,5,140,8,1,1,2
20152016,"Kenny Agostino","Agostino","Kenny","CGY","L","L","1992-04-30","Morristown","USA","NJ","USA",72,202,2010,5,140,2,0,0,0
20162017,"Kenny Agostino","Agostino","Kenny","STL","L","L","1992-04-30","Morristown","USA","NJ","USA",72,202,2010,5,140,7,1,2,3
20142015,"Andrew Agozzino","Agozzino","Andrew","COL","L","L","1991-01-03","Kleinburg","CAN","ON","CAN",70,187,NA,NA,NA,1,0,1,1
20152016,"Andrew Agozzino","Agozzino","Andrew","COL","L","L","1991-01-03","Kleinburg","CAN","ON","CAN",70,187,NA,NA,NA,9,0,2,2
20162017,"Sebastian Aho","Aho","Sebastian","CAR","R","L","1997-07-26","Rauma","FIN",NA,"FIN",71,172,2015,2,35,56,17,15,32
20032004,"Johnathan Aitken","Aitken","Johnathan","CHI","D","L","1978-05-24","Edmonton","CAN","AB","CAN",76,211,1996,1,8,41,0,1,1
20122013,"Jason Akeson","Akeson","Jason","PHI","R","R","1990-06-03","Ottawa","CAN","ON","CAN",70,185,NA,NA,NA,1,1,0,1
20132014,"Jason Akeson","Akeson","Jason","PHI","R","R","1990-06-03","Ottawa","CAN","ON","CAN",70,185,NA,NA,NA,1,0,1,1
20142015,"Jason Akeson","Akeson","Jason","PHI","R","R","1990-06-03","Ottawa","CAN","ON","CAN",70,185,NA,NA,NA,13,0,0,0
20022003,"Tommy Albelin","Albelin","Tommy","NJD","D","L","1964-05-21","Stockholm","SWE",NA,"SWE",74,195,1983,8,152,37,1,6,7
20032004,"Tommy Albelin","Albelin","Tommy","NJD","D","L","1964-05-21","Stockholm","SWE",NA,"SWE",74,195,1983,8,152,45,1,3,4
20052006,"Tommy Albelin","Albelin","Tommy","NJD","D","L","1964-05-21","Stockholm","SWE",NA,"SWE",74,195,1983,8,152,36,0,6,6
20132014,"John Albert","Albert","John","WPG","C","L","1989-01-19","Cleveland","USA","OH","USA",71,190,2007,6,175,9,1,0,1
20052006,"Andrew Alberts","Alberts","Andrew","BOS","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,73,1,6,7
20062007,"Andrew Alberts","Alberts","Andrew","BOS","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,76,0,10,10
20072008,"Andrew Alberts","Alberts","Andrew","BOS","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,35,0,2,2
20082009,"Andrew Alberts","Alberts","Andrew","PHI","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,79,1,12,13
20092010,"Andrew Alberts","Alberts","Andrew","CAR, VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,76,3,9,12
20102011,"Andrew Alberts","Alberts","Andrew","VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,42,1,6,7
20112012,"Andrew Alberts","Alberts","Andrew","VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,44,2,1,3
20122013,"Andrew Alberts","Alberts","Andrew","VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,24,0,1,1
20132014,"Andrew Alberts","Alberts","Andrew","VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,10,0,0,0
20022003,"Nikita Alexeev","Alexeev","Nikita","TBL","R","L","1981-12-27","Murmansk","RUS",NA,"RUS",78,227,2000,1,8,37,4,2,6
20062007,"Nikita Alexeev","Alexeev","Nikita","TBL, CHI","R","L","1981-12-27","Murmansk","RUS",NA,"RUS",78,227,2000,1,8,78,12,11,23
20022003,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,78,27,51,78
20032004,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,77,32,48,80
20052006,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,77,43,60,103
20062007,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,77,29,58,87
20072008,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,70,40,49,89
20082009,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,79,24,50,74
20092010,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,70,20,51,71
20102011,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,54,14,17,31
20112012,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,75,27,32,59
20122013,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,47,10,16,26
20132014,"Daniel Alfredsson","Alfredsson","Daniel","DET","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,68,18,31,49
20112012,"Akim Aliu","Aliu","Akim","CGY","R","R","1989-04-24","Okene","NGA",NA,"NGA",76,225,2007,2,56,2,2,1,3
20122013,"Akim Aliu","Aliu","Akim","CGY","R","R","1989-04-24","Okene","NGA",NA,"NGA",76,225,2007,2,56,5,0,0,0
20022003,"Bobby Allen","Allen","Bobby","EDM","D","L","1978-11-14","Weymouth","USA","MA","USA",72,201,1998,2,52,1,0,0,0
20062007,"Bobby Allen","Allen","Bobby","BOS","D","L","1978-11-14","Weymouth","USA","MA","USA",72,201,1998,2,52,31,0,3,3
20072008,"Bobby Allen","Allen","Bobby","BOS","D","L","1978-11-14","Weymouth","USA","MA","USA",72,201,1998,2,52,19,0,0,0
20022003,"Bryan Allen","Allen","Bryan","VAN","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,48,5,3,8
20032004,"Bryan Allen","Allen","Bryan","VAN","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,74,2,5,7
20052006,"Bryan Allen","Allen","Bryan","VAN","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,77,7,10,17
20062007,"Bryan Allen","Allen","Bryan","FLA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,82,4,21,25
20072008,"Bryan Allen","Allen","Bryan","FLA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,73,2,14,16
20082009,"Bryan Allen","Allen","Bryan","FLA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,2,0,1,1
20092010,"Bryan Allen","Allen","Bryan","FLA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,74,4,9,13
20102011,"Bryan Allen","Allen","Bryan","FLA, CAR","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,72,4,13,17
20112012,"Bryan Allen","Allen","Bryan","CAR","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,82,1,13,14
20122013,"Bryan Allen","Allen","Bryan","ANA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,41,0,6,6
20132014,"Bryan Allen","Allen","Bryan","ANA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,68,0,10,10
20142015,"Bryan Allen","Allen","Bryan","ANA, MTL","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,11,0,2,2
20132014,"Conor Allen","Allen","Conor","NYR","D","L","1990-01-31","Chicago","USA","IL","USA",73,210,NA,NA,NA,3,0,0,0
20142015,"Conor Allen","Allen","Conor","NYR","D","L","1990-01-31","Chicago","USA","IL","USA",73,210,NA,NA,NA,4,0,0,0
20022003,"Jamie Allison","Allison","Jamie","CBJ","D","L","1975-05-13","Lindsay","CAN","ON","CAN",73,210,1993,2,44,48,0,1,1
20032004,"Jamie Allison","Allison","Jamie","NSH","D","L","1975-05-13","Lindsay","CAN","ON","CAN",73,210,1993,2,44,47,0,3,3
20052006,"Jamie Allison","Allison","Jamie","NSH, FLA","D","L","1975-05-13","Lindsay","CAN","ON","CAN",73,210,1993,2,44,27,0,1,1
20022003,"Jason Allison","Allison","Jason","LAK","C","R","1975-05-29","NorthYork","CAN","ON","CAN",75,215,1993,1,17,26,6,22,28
20052006,"Jason Allison","Allison","Jason","TOR","C","R","1975-05-29","NorthYork","CAN","ON","CAN",75,215,1993,1,17,66,17,43,60
20092010,"Cody Almond","Almond","Cody","MIN","C","L","1989-07-24","Calgary","CAN","AB","CAN",74,199,2007,5,140,7,1,0,1
20102011,"Cody Almond","Almond","Cody","MIN","C","L","1989-07-24","Calgary","CAN","AB","CAN",74,199,2007,5,140,8,0,0,0
20112012,"Cody Almond","Almond","Cody","MIN","C","L","1989-07-24","Calgary","CAN","AB","CAN",74,199,2007,5,140,10,1,0,1
20132014,"Adam Almquist","Almquist","Adam","DET","D","L","1991-02-27","J√nk√ping","SWE",NA,"SWE",71,174,2009,7,210,2,1,0,1
20142015,"Mark Alt","Alt","Mark","PHI","D","R","1991-10-18","KansasCity","USA","MO","USA",76,201,2010,2,53,1,0,0,0
20082009,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,30,1,4,5
20092010,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,21,0,5,5
20102011,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,82,2,10,12
20112012,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,82,1,16,17
20122013,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,48,1,4,5
20132014,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,82,2,16,18
20142015,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,82,5,16,21
20152016,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,82,4,17,21
20162017,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,58,3,8,11
20022003,"Tony Amonte","Amonte","Tony","PHX, PHI","R","L","1970-08-02","Hingham","USA","MA","USA",72,202,1988,4,68,72,20,31,51
20032004,"Tony Amonte","Amonte","Tony","PHI","R","L","1970-08-02","Hingham","USA","MA","USA",72,202,1988,4,68,80,20,33,53
20052006,"Tony Amonte","Amonte","Tony","CGY","R","L","1970-08-02","Hingham","USA","MA","USA",72,202,1988,4,68,80,14,28,42
20062007,"Tony Amonte","Amonte","Tony","CGY","R","L","1970-08-02","Hingham","USA","MA","USA",72,202,1988,4,68,81,10,20,30
20142015,"Josh Anderson","Anderson","Josh","CBJ","R","R","1994-05-07","Burlington","CAN","ON","CAN",75,221,2012,4,95,6,0,1,1
20152016,"Josh Anderson","Anderson","Josh","CBJ","R","R","1994-05-07","Burlington","CAN","ON","CAN",75,221,2012,4,95,12,1,3,4
20162017,"Josh Anderson","Anderson","Josh","CBJ","R","R","1994-05-07","Burlington","CAN","ON","CAN",75,221,2012,4,95,57,11,10,21
20122013,"Matt Anderson","Anderson","Matt","NJD","R","R","1982-10-31","WestIslip","USA","NY","USA",71,195,NA,NA,NA,2,0,1,1
20112012,"Joakim Andersson","Andersson","Joakim","DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,5,0,0,0
20122013,"Joakim Andersson","Andersson","Joakim","DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,38,3,5,8
20132014,"Joakim Andersson","Andersson","Joakim","DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,65,8,9,17
20142015,"Joakim Andersson","Andersson","Joakim","DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,68,3,5,8
20152016,"Joakim Andersson","Andersson","Joakim","DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,29,1,2,3
20102011,"Jonas Andersson","Andersson","Jonas","VAN","R","L","1981-02-24","Lidingo","SWE",NA,"SWE",75,204,1999,2,33,4,0,0,0
20142015,"Andy Andreoff","Andreoff","Andy","LAK","L","L","1991-05-17","Pickering","CAN","ON","CAN",73,210,2011,3,80,18,2,1,3
20152016,"Andy Andreoff","Andreoff","Andy","LAK","L","L","1991-05-17","Pickering","CAN","ON","CAN",73,210,2011,3,80,60,8,2,10
20162017,"Andy Andreoff","Andreoff","Andy","LAK","L","L","1991-05-17","Pickering","CAN","ON","CAN",73,210,2011,3,80,24,0,2,2
20022003,"Dave Andreychuk","Andreychuk","Dave","TBL","L","R","1963-09-29","Hamilton","CAN","ON","CAN",76,225,1982,1,16,72,20,14,34
20032004,"Dave Andreychuk","Andreychuk","Dave","TBL","L","R","1963-09-29","Hamilton","CAN","ON","CAN",76,225,1982,1,16,82,21,18,39
20052006,"Dave Andreychuk","Andreychuk","Dave","TBL","L","R","1963-09-29","Hamilton","CAN","ON","CAN",76,225,1982,1,16,42,6,12,18
20142015,"Sven Andrighetto","Andrighetto","Sven","MTL","R","L","1993-03-21","Zurich","CHE",NA,"CHE",70,188,2013,3,86,12,2,1,3
20152016,"Sven Andrighetto","Andrighetto","Sven","MTL","R","L","1993-03-21","Zurich","CHE",NA,"CHE",70,188,2013,3,86,44,7,10,17
20162017,"Sven Andrighetto","Andrighetto","Sven","MTL","R","L","1993-03-21","Zurich","CHE",NA,"CHE",70,188,2013,3,86,25,2,6,8
20112012,"Mike Angelidis","Angelidis","Mike","TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,6,1,0,1
20122013,"Mike Angelidis","Angelidis","Mike","TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,1,0,0,0
20142015,"Mike Angelidis","Angelidis","Mike","TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,3,0,0,0
20152016,"Mike Angelidis","Angelidis","Mike","TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,4,1,0,1
20032004,"Melvin Angelstad","Angelstad","Melvin","WSH","L","L","1971-10-31","Saskatoon","CAN","SK","CAN",75,210,NA,NA,NA,2,0,0,0
20082009,"Artem Anisimov","Anisimov","Artem","NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,1,0,0,0
20092010,"Artem Anisimov","Anisimov","Artem","NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,82,12,16,28
20102011,"Artem Anisimov","Anisimov","Artem","NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,82,18,26,44
20112012,"Artem Anisimov","Anisimov","Artem","NYR","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,79,16,20,36
20122013,"Artem Anisimov","Anisimov","Artem","CBJ","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,35,11,7,18
