"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","W","L","Ties","OTL"
20152016,"Jake Allen","Allen","Jake","STL","G","L","1990-08-07","Fredericton","CAN","NB","CAN",74,203,2008,2,34,0,26,15,0,3
20152016,"Frederik Andersen","Andersen","Frederik","ANA","G","L","1989-10-02","Herning","DNK",NA,"DNK",76,230,2012,3,87,0,22,9,0,7
20152016,"Craig Anderson","Anderson","Craig","OTT","G","L","1981-05-21","ParkRidge","USA","IL","USA",74,187,2001,3,73,0,31,23,0,5
20152016,"Richard Bachman","Bachman","Richard","VAN","G","L","1987-07-25","SaltLakeCity","USA","UT","USA",70,183,2006,4,120,0,1,0,0,0
20152016,"Niklas Backstrom","Backstrom","Niklas","CGY","G","L","1978-02-13","Helsinki","FIN",NA,"FIN",74,192,NA,NA,NA,0,2,2,0,0
20152016,"Jonathan Bernier","Bernier","Jonathan","TOR","G","L","1988-08-07","Laval","CAN","QC","CAN",72,184,2006,1,11,0,12,21,0,3
20152016,"Reto Berra","Berra","Reto","COL","G","L","1987-01-03","Bulach","CHE",NA,"CHE",76,210,2006,4,106,0,5,8,0,0
20152016,"Jean-Francois Berube","Berube","Jean-Francois","NYI","G","L","1991-07-13","Repentigny","CAN","QC","CAN",73,177,2009,4,95,0,3,2,0,1
20152016,"Jordan Binnington","Binnington","Jordan","STL","G","L","1993-07-11","RichmondHill","CAN","ON","CAN",73,167,2011,3,88,0,0,0,0,0
20152016,"Ben Bishop","Bishop","Ben","TBL","G","L","1986-11-21","Denver","USA","CO","USA",79,216,2005,3,85,0,35,21,0,4
20152016,"Sergei Bobrovsky","Bobrovsky","Sergei","CBJ","G","L","1988-09-20","Novokuznetsk","RUS",NA,"RUS",74,182,NA,NA,NA,0,15,19,0,1
20152016,"Laurent Brossoit","Brossoit","Laurent","EDM","G","L","1993-03-23","PortAlberni","CAN","BC","CAN",75,204,2011,6,164,0,0,4,0,1
20152016,"Peter Budaj","Budaj","Peter","LAK","G","L","1982-09-18","Bansk√Bystrica","SVK",NA,"SVK",73,196,2001,2,63,0,1,0,0,0
20152016,"Mike Condon","Condon","Mike","MTL","G","L","1990-04-27","Holliston","USA","MA","USA",74,197,NA,NA,NA,0,21,25,0,6
20152016,"Pheonix Copley","Copley","Pheonix","STL","G","L","1992-01-18","NorthPole","USA","AK","USA",76,196,NA,NA,NA,0,0,0,0,0
20152016,"Corey Crawford","Crawford","Corey","CHI","G","L","1984-12-31","Montreal","CAN","QC","CAN",74,216,2003,2,52,0,35,18,0,5
20152016,"Yann Danis","Danis","Yann","NJD","G","L","1981-06-21","Lafontaine","CAN","QC","CAN",71,180,NA,NA,NA,0,0,1,0,0
20152016,"Scott Darling","Darling","Scott","CHI","G","L","1988-12-22","NewportNews","USA","VA","USA",78,232,2007,6,153,0,12,8,0,4
20152016,"Louis Domingue","Domingue","Louis","ARI","G","R","1992-03-06","StHyacinthe","CAN","QC","CAN",75,210,2010,5,138,0,15,18,0,5
20152016,"Chris Driedger","Driedger","Chris","OTT","G","L","1994-05-18","Winnipeg","CAN","MB","CAN",76,205,2012,3,76,0,0,0,0,0
20152016,"Devan Dubnyk","Dubnyk","Devan","MIN","G","L","1986-05-04","Regina","CAN","SK","CAN",78,213,2004,1,14,0,32,26,0,6
20152016,"Brian Elliott","Elliott","Brian","STL","G","L","1985-04-09","Newmarket","CAN","ON","CAN",74,209,2003,9,291,0,23,8,0,6
20152016,"Jhonas Enroth","Enroth","Jhonas","LAK","G","L","1988-06-25","Stockholm","SWE",NA,"SWE",70,175,2006,2,46,0,7,5,0,1
20152016,"Marc-Andre Fleury","Fleury","Marc-Andre","PIT","G","L","1984-11-28","Sorel","CAN","QC","CAN",74,180,2003,1,1,0,35,17,0,6
20152016,"Anton Forsberg","Forsberg","Anton","CBJ","G","L","1992-11-27","H√rn√sand","SWE",NA,"SWE",75,192,2011,7,188,0,1,3,0,0
20152016,"Christopher Gibson","Gibson","Christopher","NYI","G","L","1992-12-27","Karkkila","FIN",NA,"FIN",73,188,2011,2,49,0,1,1,0,1
20152016,"John Gibson","Gibson","John","ANA","G","L","1993-07-14","Pittsburgh","USA","PA","USA",75,226,2011,2,39,0,21,13,0,4
20152016,"Thomas Greiss","Greiss","Thomas","NYI","G","L","1986-01-29","Fussen","DEU",NA,"DEU",73,228,2004,3,94,0,23,11,0,4
20152016,"Philipp Grubauer","Grubauer","Philipp","WSH","G","L","1991-11-25","Rosenheim","DEU",NA,"DEU",73,182,2010,4,112,0,8,9,0,1
20152016,"Kristers Gudlevskis","Gudlevskis","Kristers","TBL","G","L","1992-07-31","Aizkraukle","LVA",NA,"LVA",75,223,2013,5,124,0,0,0,0,1
20152016,"Jonas Gustavsson","Gustavsson","Jonas","BOS","G","L","1984-10-24","Danderyd","SWE",NA,"SWE",76,201,NA,NA,NA,0,11,9,0,1
20152016,"Jaroslav Halak","Halak","Jaroslav","NYI","G","L","1985-05-13","Bratislava","SVK",NA,"SVK",71,181,2003,9,271,0,18,13,0,4
20152016,"Andrew Hammond","Hammond","Andrew","OTT","G","L","1988-02-11","Surrey","CAN","BC","CAN",74,215,NA,NA,NA,0,7,11,0,4
20152016,"Magnus Hellberg","Hellberg","Magnus","NYR","G","L","1991-04-04","Uppsala","SWE",NA,"SWE",78,209,2011,2,38,0,0,0,0,0
20152016,"Connor Hellebuyck","Hellebuyck","Connor","WPG","G","L","1993-05-19","Commerce","USA","MI","USA",76,207,2012,5,130,0,13,11,0,1
20152016,"Jonas Hiller","Hiller","Jonas","CGY","G","R","1982-02-12","FelbenWellhausen","CHE",NA,"CHE",74,191,NA,NA,NA,0,9,11,0,1
20152016,"Braden Holtby","Holtby","Braden","WSH","G","L","1989-09-16","Lloydminster","CAN","SK","CAN",74,217,2008,4,93,0,48,9,0,7
20152016,"Jimmy Howard","Howard","Jimmy","DET","G","L","1984-03-26","Syracuse","USA","NY","USA",73,218,2003,2,64,0,14,14,0,5
20152016,"Michael Hutchinson","Hutchinson","Michael","WPG","G","R","1990-03-02","Barrie","CAN","ON","CAN",75,202,2008,3,77,0,9,15,0,3
20152016,"Carter Hutton","Hutton","Carter","NSH","G","L","1985-12-19","ThunderBay","CAN","ON","CAN",73,195,NA,NA,NA,0,7,5,0,4
20152016,"Chad Johnson","Johnson","Chad","BUF","G","L","1986-06-10","Saskatoon","CAN","SK","CAN",75,196,2006,5,125,0,22,16,0,4
20152016,"Martin Jones","Jones","Martin","SJS","G","L","1990-01-10","NorthVancouver","CAN","BC","CAN",76,190,NA,NA,NA,0,37,23,0,4
20152016,"Jason Kasdorf","Kasdorf","Jason","BUF","G","L","1992-05-18","Winnipeg","CAN","MB","CAN",76,194,2011,6,157,0,0,1,0,0
20152016,"Anton Khudobin","Khudobin","Anton","ANA","G","L","1986-05-07","UstKamenogorsk","KAZ",NA,"RUS",71,195,2004,7,206,0,3,3,0,0
20152016,"Keith Kinkaid","Kinkaid","Keith","NJD","G","L","1989-07-04","Farmingville","USA","NY","USA",75,195,NA,NA,NA,0,9,9,0,1
20152016,"Joonas Korpisalo","Korpisalo","Joonas","CBJ","G","L","1994-04-28","Pori","FIN",NA,"FIN",75,190,2012,3,62,0,16,11,0,4
20152016,"Darcy Kuemper","Kuemper","Darcy","MIN","G","L","1990-05-05","Saskatoon","CAN","SK","CAN",77,215,2009,6,161,0,6,7,0,5
20152016,"Eddie Lack","Lack","Eddie","CAR","G","L","1988-01-05","Norrt√lje","SWE",NA,"SWE",76,187,NA,NA,NA,0,12,14,0,6
20152016,"Robin Lehner","Lehner","Robin","BUF","G","L","1991-07-24","Gothenburg","SWE",NA,"SWE",76,239,2009,2,46,0,5,9,0,5
20152016,"Kari Lehtonen","Lehtonen","Kari","DAL","G","L","1983-11-16","Helsinki","FIN",NA,"FIN",76,190,2002,1,2,0,25,10,0,2
20152016,"Michael Leighton","Leighton","Michael","CHI","G","L","1981-05-19","Petrolia","CAN","ON","CAN",75,186,1999,6,165,0,0,0,0,0
20152016,"Anders Lindback","Lindback","Anders","ARI","G","L","1988-05-03","G√vle","SWE",NA,"SWE",78,215,2008,7,207,0,5,7,0,1
20152016,"Charlie Lindgren","Lindgren","Charlie","MTL","G","R","1993-12-18","Lakeville","USA","MN","USA",74,190,NA,NA,NA,0,1,0,0,0
20152016,"Henrik Lundqvist","Lundqvist","Henrik","NYR","G","L","1982-03-02","Are","SWE",NA,"SWE",73,188,2000,7,205,0,35,21,0,7
20152016,"Roberto Luongo","Luongo","Roberto","FLA","G","L","1979-04-04","Montreal","CAN","QC","CAN",75,217,1997,1,4,0,35,19,0,6
20152016,"Jacob Markstrom","Markstrom","Jacob","VAN","G","L","1990-01-31","G√vle","SWE",NA,"SWE",78,196,2008,2,31,0,13,14,0,4
20152016,"Steve Mason","Mason","Steve","PHI","G","R","1988-05-29","Oakville","CAN","ON","CAN",76,210,2006,3,69,0,23,19,0,10
20152016,"Curtis McElhinney","McElhinney","Curtis","CBJ","G","L","1983-05-23","London","CAN","ON","CAN",75,200,2002,6,176,0,2,7,0,3
20152016,"Ryan Miller","Miller","Ryan","VAN","G","L","1980-07-17","EastLansing","USA","MI","USA",74,168,1999,5,138,0,17,24,0,9
20152016,"Al Montoya","Montoya","Al","FLA","G","L","1985-02-13","Chicago","USA","IL","USA",74,209,2004,1,6,0,12,7,0,3
20152016,"Petr Mrazek","Mrazek","Petr","DET","G","L","1992-02-14","Ostrava","CZE",NA,"CZE",74,183,2010,5,141,0,27,16,0,6
20152016,"Matt Murray","Murray","Matt","PIT","G","L","1994-05-25","ThunderBay","CAN","ON","CAN",76,178,2012,3,83,0,9,2,0,1
20152016,"Michal Neuvirth","Neuvirth","Michal","PHI","G","L","1988-03-23","√öst√nadLabem","CZE",NA,"CZE",73,209,2006,2,34,0,18,8,0,4
20152016,"Antti Niemi","Niemi","Antti","DAL","G","L","1983-08-29","Vantaa","FIN",NA,"FIN",74,215,NA,NA,NA,0,25,13,0,7
20152016,"Anders Nilsson","Nilsson","Anders","EDM, STL","G","L","1990-03-19","Lulea","SWE",NA,"SWE",78,229,2009,3,62,0,10,13,0,2
20152016,"Matthew O'Connor","O'Connor","Matthew","OTT","G","L","1992-02-14","SaultSteMarie","CAN","ON","CAN",78,205,NA,NA,NA,0,0,1,0,0
20152016,"Joni Ortio","Ortio","Joni","CGY","G","L","1991-04-16","Turku","FIN",NA,"FIN",73,190,2009,6,171,0,7,9,0,5
20152016,"Ondrej Pavelec","Pavelec","Ondrej","WPG","G","L","1987-08-31","Kladno","CZE",NA,"CZE",75,215,2005,2,41,0,13,13,0,4
20152016,"Calvin Pickard","Pickard","Calvin","COL","G","L","1992-04-15","Moncton","CAN","NB","CAN",73,200,2010,2,49,0,7,6,0,1
20152016,"Carey Price","Price","Carey","MTL","G","L","1987-08-16","AnahimLake","CAN","BC","CAN",75,226,2005,1,5,0,10,2,0,0
20152016,"Jonathan Quick","Quick","Jonathan","LAK","G","L","1986-01-21","Milford","USA","CT","USA",73,218,2005,3,72,0,40,23,0,5
20152016,"Antti Raanta","Raanta","Antti","NYR","G","L","1989-05-12","Rauma","FIN",NA,"FIN",72,195,NA,NA,NA,0,11,6,0,2
20152016,"Karri Ramo","Ramo","Karri","CGY","G","L","1986-07-01","Asikkala","FIN",NA,"FIN",74,206,2004,6,191,0,17,18,0,1
20152016,"Tuukka Rask","Rask","Tuukka","BOS","G","L","1987-03-10","Savonlinna","FIN",NA,"FIN",75,176,2005,1,21,0,31,22,0,8
