"Name","Height","Weight","Season"
"Al Montoya",74,201,2013
"Alex Stalock",72,191,2013
"Anders Lindback",78,215,2013
"Anton Khudobin",71,195,2013
"Antti Niemi",74,215,2013
"Ben Bishop",79,225,2013
"Ben Scrivens",74,181,2013
"Braden Holtby",74,211,2013
"Brian Boucher",74,200,2013
"Brian Elliott",74,209,2013
"Cam Ward",73,185,2013
"Carey Price",75,215,2013
"Carter Hutton",73,202,2013
"Cedrick Desjardins",72,192,2013
"Chad Johnson",75,197,2013
"Chris Mason",72,198,2013
"Corey Crawford",74,216,2013
"Cory Schneider",75,200,2013
"Craig Anderson",74,185,2013
"Cristopher Nilstorp",75,190,2013
"Dan Ellis",73,195,2013
"Daniel Taylor",72,198,2013
"Darcy Kuemper",77,215,2013
"Devan Dubnyk",78,218,2013
"Evgeni Nabokov",72,202,2013
"Henrik Lundqvist",73,180,2013
"Ilya Bryzgalov",75,213,2013
"Jacob Markstrom",78,196,2013
"Jake Allen",74,203,2013
"James Reimer",74,217,2013
"Jaroslav Halak",71,183,2013
"Jason LaBarbera",75,232,2013
"Jean-Sebastien Giguere",73,202,2013
"Jeff Frazee",72,195,2013
"Jhonas Enroth",70,175,2013
"Jimmy Howard",73,218,2013
"Joey MacDonald",72,197,2013
"Johan Hedberg",72,190,2013
"Jonas Gustavsson",76,201,2013
"Jonas Hiller",74,191,2013
"Jonathan Bernier",72,184,2013
"Jonathan Quick",73,218,2013
"Jose Theodore",71,172,2013
"Josh Harding",74,194,2013
"Jussi Rynnas",77,210,2013
"Justin Peters",73,210,2013
"Kari Lehtonen",76,209,2013
"Keith Kinkaid",75,195,2013
"Kevin Poulin",74,206,2013
"Leland Irving",72,177,2013
"Marc-Andre Fleury",74,180,2013
"Martin Biron",74,186,2013
"Martin Brodeur",74,220,2013
"Mathieu Garon",73,198,2013
"Matt Hackett",74,179,2013
"Michael Leighton",75,186,2013
"Michal Neuvirth",73,209,2013
"Miikka Kiprusoff",73,185,2013
"Mike Smith",76,215,2013
"Niklas Backstrom",74,192,2013
"Nikolai Khabibulin",73,208,2013
"Ondrej Pavelec",75,212,2013
"Pekka Rinne",77,217,2013
"Peter Budaj",73,196,2013
"Petr Mrazek",74,181,2013
"Philipp Grubauer",73,191,2013
"Ray Emery",74,196,2013
"Richard Bachman",70,183,2013
"Rick DiPietro",72,185,2013
"Roberto Luongo",75,217,2013
"Robin Lehner",76,245,2013
"Ryan Miller",75,173,2013
"Sami Aittokallio",73,185,2013
"Scott Clemmensen",74,200,2013
"Semyon Varlamov",74,209,2013
"Sergei Bobrovsky",74,182,2013
"Steve Mason",76,210,2013
"Thomas Greiss",73,227,2013
"Tomas Vokoun",73,210,2013
"Tuukka Rask",75,176,2013
"Viktor Fasth",72,181,2013
"Yann Danis",71,180,2013
