"Season","Name","LastName","FirstName","Teams","Position","ShootsCatches","Birthdate","CityOfBirth","CountryOfBirth","StateProvince","Nationality","Height","Weight","DraftYear","DraftRound","DraftNumber","HHOF","GP","G","A","P"
20122013,"Justin Abdelkader","Abdelkader","Justin","DET","L","L","1987-02-25","Muskegon","USA","MI","USA",74,218,2005,2,42,0,48,10,3,13
20122013,"Luke Adam","Adam","Luke","BUF","C","L","1990-06-18","StJohns","CAN","NL","CAN",74,207,2008,2,44,0,4,1,0,1
20122013,"Craig Adams","Adams","Craig","PIT","R","R","1977-04-26","Seria","BRN",NA,"CAN",72,200,1996,9,223,0,48,3,6,9
20122013,"Jason Akeson","Akeson","Jason","PHI","R","R","1990-06-03","Ottawa","CAN","ON","CAN",70,185,NA,NA,NA,0,1,1,0,1
20122013,"Andrew Alberts","Alberts","Andrew","VAN","D","L","1981-06-30","Minneapolis","USA","MN","USA",77,218,2001,6,179,0,24,0,1,1
20122013,"Daniel Alfredsson","Alfredsson","Daniel","OTT","R","R","1972-12-11","Gothenburg","SWE",NA,"SWE",71,203,1994,6,133,0,47,10,16,26
20122013,"Akim Aliu","Aliu","Akim","CGY","R","R","1989-04-24","Okene","NGA",NA,"NGA",76,225,2007,2,56,0,5,0,0,0
20122013,"Bryan Allen","Allen","Bryan","ANA","D","L","1980-08-21","Kingston","CAN","ON","CAN",77,223,1998,1,4,0,41,0,6,6
20122013,"Karl Alzner","Alzner","Karl","WSH","D","L","1988-09-24","Burnaby","CAN","BC","CAN",75,219,2007,1,5,0,48,1,4,5
20122013,"Matt Anderson","Anderson","Matt","NJD","R","R","1982-10-31","WestIslip","USA","NY","USA",71,195,NA,NA,NA,0,2,0,1,1
20122013,"Joakim Andersson","Andersson","Joakim","DET","C","L","1989-02-05","Munkedal","SWE",NA,"SWE",74,211,2007,3,88,0,38,3,5,8
20122013,"Mike Angelidis","Angelidis","Mike","TBL","L","L","1985-06-27","Woodbridge","CAN","ON","CAN",73,214,NA,NA,NA,0,1,0,0,0
20122013,"Artem Anisimov","Anisimov","Artem","CBJ","C","L","1988-05-24","Yaroslavl","RUS",NA,"RUS",76,198,2006,2,54,0,35,11,7,18
20122013,"Nik Antropov","Antropov","Nik","WPG","C","L","1980-02-18","UstKamenogorsk","KAZ",NA,"KAZ",78,245,1998,1,10,0,40,6,12,18
20122013,"Mark Arcobello","Arcobello","Mark","EDM","R","R","1988-08-12","Milford","USA","CT","USA",68,174,NA,NA,NA,0,1,0,0,0
20122013,"Colby Armstrong","Armstrong","Colby","MTL","R","R","1982-11-23","Lloydminster","CAN","SK","CAN",74,185,2001,1,21,0,37,2,3,5
20122013,"Arron Asham","Asham","Arron","NYR","R","R","1978-04-13","PortageLaPrairie","CAN","MB","CAN",71,210,1996,3,71,0,27,2,0,2
20122013,"Cam Atkinson","Atkinson","Cam","CBJ","R","R","1989-06-05","Riverside","USA","CT","USA",68,182,2008,6,157,0,35,9,9,18
20122013,"Adrian Aucoin","Aucoin","Adrian","CBJ","D","R","1973-07-03","Ottawa","CAN","ON","CAN",74,215,1992,5,117,0,36,0,4,4
20122013,"Keith Aucoin","Aucoin","Keith","NYI","C","L","1978-11-06","Waltham","USA","MA","USA",68,171,NA,NA,NA,0,41,6,6,12
20122013,"Keith Aulie","Aulie","Keith","TBL","D","L","1989-06-11","Rouleau","CAN","SK","CAN",78,222,2007,4,116,0,45,2,5,7
20122013,"Anton Babchuk","Babchuk","Anton","CGY","D","R","1984-05-06","Kiev","UKR",NA,"UKR",77,200,2002,1,21,0,7,0,1,1
20122013,"David Backes","Backes","David","STL","R","R","1984-05-01","Minneapolis","USA","MN","USA",75,221,2003,2,62,0,48,6,22,28
20122013,"Mikael Backlund","Backlund","Mikael","CGY","C","L","1989-03-17","Vasteras","SWE",NA,"SWE",73,199,2007,1,24,0,32,8,8,16
20122013,"Nicklas Backstrom","Backstrom","Nicklas","WSH","C","L","1987-11-23","G√vle","SWE",NA,"SWE",73,213,2006,1,4,0,48,8,40,48
