"Name","Height","Weight","Position","Season"
"A.J. Greer",75,204,"L",2018
"Aaron Ekblad",76,216,"D",2018
"Aaron Ness",70,184,"D",2018
"Adam Clendening",72,196,"D",2018
"Adam Cracknell",74,218,"R",2018
"Adam Erne",73,214,"L",2018
"Adam Gaudette",73,170,"C",2018
"Adam Henrique",72,195,"C",2018
"Adam Larsson",75,210,"D",2018
"Adam Lowry",77,210,"C",2018
"Adam McQuaid",76,212,"D",2018
"Adam Pelech",75,217,"D",2018
"Adrian Kempe",74,195,"L",2018
"Alan Quine",72,203,"C",2018
"Alec Martinez",73,208,"D",2018
"Aleksander Barkov",75,213,"C",2018
"Ales Hemsky",72,177,"R",2018
"Alex Biega",70,193,"D",2018
"Alex Broadhurst",72,178,"C",2018
"Alex Chiasson",76,208,"R",2018
"Alex DeBrincat",67,165,"R",2018
"Alex Formenton",74,165,"L",2018
"Alex Galchenyuk",73,207,"L",2018
"Alex Goligoski",71,185,"D",2018
"Alex Iafallo",72,185,"C",2018
"Alex Killorn",73,196,"L",2018
"Alex Ovechkin",75,235,"L",2018
"Alex Pietrangelo",75,210,"D",2018
"Alex Tuch",76,222,"R",2018
"Alexander Burmistrov",73,180,"C",2018
"Alexander Edler",75,214,"D",2018
"Alexander Kerfoot",70,175,"C",2018
"Alexander Nylander",73,192,"R",2018
"Alexander Petrovic",76,206,"D",2018
"Alexander Radulov",73,201,"R",2018
"Alexander Steen",72,211,"L",2018
"Alexander Wennberg",74,196,"C",2018
"Alexandre Burrows",73,197,"R",2018
"Alexei Emelin",74,218,"D",2018
"Anders Bjork",72,186,"L",2018
"Anders Lee",75,231,"L",2018
"Andre Burakovsky",75,201,"L",2018
"Andreas Athanasiou",74,188,"L",2018
"Andreas Borgman",72,212,"D",2018
"Andreas Englund",75,189,"D",2018
"Andreas Johnsson",70,180,"L",2018
"Andreas Martinsen",75,229,"L",2018
"Andrei Mironov",75,194,"D",2018
"Andrej Sekera",72,200,"D",2018
"Andrej Sustr",79,220,"D",2018
"Andrew Cogliano",70,177,"L",2018
"Andrew Copp",73,206,"C",2018
"Andrew Crescenzi",77,207,"C",2018
"Andrew Ladd",75,192,"L",2018
"Andrew MacDonald",73,204,"D",2018
"Andrew Mangiapane",70,184,"L",2018
"Andrew Shaw",71,182,"R",2018
"Andy Andreoff",73,203,"L",2018
"Andy Greene",71,190,"D",2018
"Andy Welinski",73,206,"D",2018
"Anthony Beauvillier",71,182,"C",2018
"Anthony Bitetto",73,210,"D",2018
"Anthony Cirelli",72,180,"C",2018
"Anthony Duclair",71,191,"L",2018
"Anthony Mantha",77,225,"R",2018
"Anthony Peluso",75,225,"R",2018
"Antoine Roussel",71,195,"L",2018
"Antoine Vermette",73,197,"C",2018
"Anton Blidh",72,201,"L",2018
"Anton Lindholm",71,191,"D",2018
"Anton Slepyshev",74,221,"L",2018
"Anton Stralman",71,190,"D",2018
"Anze Kopitar",75,224,"C",2018
"Artem Anisimov",76,198,"C",2018
"Artemi Panarin",71,168,"L",2018
"Artturi Lehkonen",72,183,"L",2018
"Ashton Sautner",73,195,"D",2018
"Austin Czarnik",69,160,"C",2018
"Austin Watson",76,204,"L",2018
"Auston Matthews",75,216,"C",2018
"Barclay Goodrow",74,210,"R",2018
"Beau Bennett",74,195,"R",2018
"Ben Chiarot",75,219,"D",2018
"Ben Harpur",78,222,"D",2018
"Ben Hutton",74,207,"D",2018
"Ben Lovejoy",73,205,"D",2018
"Ben Sexton",71,196,"C",2018
"Benoit Pouliot",75,200,"L",2018
"Blake Coleman",71,200,"C",2018
"Blake Comeau",73,202,"L",2018
"Blake Hillman",73,180,"D",2018
"Blake Pietila",71,200,"L",2018
"Blake Wheeler",77,225,"R",2018
"Bo Horvat",72,223,"C",2018
"Bobby Ryan",74,209,"R",2018
"Boo Nieves",75,212,"C",2018
"Boone Jenner",74,206,"C",2018
"Brad Hunt",69,187,"D",2018
"Brad Malone",73,213,"C",2018
"Brad Marchand",69,181,"L",2018
"Brad Richardson",72,190,"C",2018
"Brady Skjei",75,211,"D",2018
"Brandon Carlo",77,208,"D",2018
"Brandon Davidson",74,208,"D",2018
"Brandon Dubinsky",74,205,"C",2018
"Brandon Manning",73,205,"D",2018
"Brandon Montour",72,192,"D",2018
"Brandon Pirri",72,186,"C",2018
"Brandon Saad",73,206,"L",2018
"Brandon Sutter",75,191,"C",2018
"Brandon Tanev",72,180,"L",2018
"Brayden McNabb",76,212,"D",2018
"Brayden Point",70,166,"C",2018
"Brayden Schenn",73,200,"C",2018
"Braydon Coburn",77,223,"D",2018
"Brendan Gallagher",69,181,"R",2018
"Brendan Gaunce",74,217,"C",2018
"Brendan Guhle",74,196,"D",2018
"Brendan Leipsic",70,180,"L",2018
"Brendan Lemieux",73,210,"L",2018
"Brendan Perlini",75,211,"L",2018
"Brendan Smith",74,211,"D",2018
"Brenden Dillon",76,225,"D",2018
"Brent Burns",77,230,"D",2018
"Brent Seabrook",75,220,"D",2018
"Brett Connolly",75,195,"R",2018
"Brett Kulak",74,187,"D",2018
"Brett Lernout",76,214,"D",2018
"Brett Pesce",75,200,"D",2018
"Brett Ritchie",75,217,"R",2018
"Brian Boyle",78,245,"C",2018
"Brian Dumoulin",76,207,"D",2018
"Brian Gibbons",68,175,"L",2018
"Brian Gionta",67,178,"R",2018
"Brian Lashoff",75,219,"D",2018
"Brock Boeser",73,191,"R",2018
"Brock McGinn",72,185,"L",2018
"Brock Nelson",75,212,"C",2018
"Brooks Laich",74,200,"C",2018
"Brooks Orpik",75,217,"D",2018
"Bryan Little",72,191,"C",2018
"Bryan Rust",71,192,"R",2018
"Byron Froese",73,202,"C",2018
"Cal Clutterbuck",71,216,"R",2018
"Cal O'Reilly",72,188,"C",2018
"Calle Jarnkrok",71,186,"C",2018
"Calle Rosen",73,195,"D",2018
"Calvin de Haan",73,198,"D",2018
"Cam Atkinson",68,179,"R",2018
"Cam Fowler",73,215,"D",2018
"Carl Dahlstrom",76,231,"D",2018
"Carl Gunnarsson",74,198,"D",2018
"Carl Hagelin",71,186,"L",2018
