"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType","HomeWin","AwayWin","Tournament","ConfTournament","NCAA","HomeConference","AwayConference"
20122013,"Quinnipiac",2,"@","Maine",1,"","",2012-10-06,"NC","Loss","Win","No","No","No","Hockey East","ECAC"
20122013,"Bowling Green",2,"@","Niagara",2,"OT","",2012-10-06,"NC","Tie","Tie","No","No","No","Atlantic Hockey","CCHA"
20122013,"Merrimack",4,"@","Union",1,"","",2012-10-06,"NC","Loss","Win","No","No","No","ECAC","Hockey East"
20122013,"Niagara",2,"@","Colgate",10,"","",2012-10-09,"NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
20122013,"Merrimack",2,"@","Northeastern",4,"","",2012-10-10,"HE","Win","Loss","No","No","No","Hockey East","Hockey East"
20122013,"Michigan Tech",2,"@","Lake Superior",4,"","",2012-10-11,"NC","Win","Loss","No","No","No","CCHA","WCHA"
20122013,"RIT",5,"@","Michigan",4,"OT","",2012-10-11,"NC","Loss","Win","No","No","No","CCHA","Atlantic Hockey"
20122013,"Vermont",1,"@","Massachusetts-Lowell",1,"OT","",2012-10-12,"HE","Tie","Tie","No","No","No","Hockey East","Hockey East"
20122013,"Union",5,"@","Bowling Green",3,"","",2012-10-12,"NC","Loss","Win","No","No","No","CCHA","ECAC"
20122013,"Clarkson",4,"@","Colorado College",5,"","",2012-10-12,"NC","Win","Loss","No","No","No","WCHA","ECAC"
20122013,"Colgate",0,"@","Miami",3,"","",2012-10-12,"NC","Win","Loss","No","No","No","CCHA","ECAC"
20122013,"Wisconsin",1,"vs.","Northern Michigan",2,"","",2012-10-12,"NC","Win","Loss","No","No","No","CCHA","WCHA"
20122013,"Sacred Heart",2,"@","Providence",8,"","",2012-10-12,"NC","Win","Loss","No","No","No","Hockey East","Atlantic Hockey"
20122013,"American International",3,"@","Penn State",2,"OT","",2012-10-12,"NC","Loss","Win","No","No","No","Independent","Atlantic Hockey"
20122013,"Ferris State",1,"@","Rensselaer",3,"","",2012-10-12,"NC","Win","Loss","No","No","No","ECAC","CCHA"
20122013,"Minnesota State",4,"@","Alabama-Huntsville",1,"","",2012-10-12,"NC","Loss","Win","No","No","No","Independent","WCHA"
20122013,"RIT",2,"@","Michigan",7,"","",2012-10-12,"NC","Win","Loss","No","No","No","CCHA","Atlantic Hockey"
20122013,"Connecticut",1,"@","Massachusetts",4,"","",2012-10-12,"NC","Win","Loss","No","No","No","Hockey East","Atlantic Hockey"
20122013,"Ohio State",2,"@","Minnesota-Duluth",6,"","",2012-10-12,"NC","Win","Loss","No","No","No","WCHA","CCHA"
20122013,"Michigan State",1,"@","Minnesota",5,"","",2012-10-12,"NC","Win","Loss","No","No","No","WCHA","CCHA"
20122013,"St. Cloud State",3,"@","New Hampshire",5,"","",2012-10-12,"NC","Win","Loss","No","No","No","Hockey East","WCHA"
20122013,"St. Lawrence",4,"@","Western Michigan",3,"OT","",2012-10-12,"NC","Loss","Win","No","No","No","CCHA","ECAC"
20122013,"Notre Dame",1,"vs.","Maine",0,"","IceBreaker",2012-10-12,"NC","Loss","Win","Yes","No","No","Hockey East","CCHA"
20122013,"Army",1,"vs.","Nebraska-Omaha",5,"","IceBreaker",2012-10-12,"NC","Win","Loss","Yes","No","No","WCHA","Atlantic Hockey"
20122013,"Canisius",0,"@","Alaska-Anchorage",2,"","Kendall Hockey Classic",2012-10-12,"NC","Win","Loss","Yes","No","No","WCHA","Atlantic Hockey"
20122013,"Air Force",3,"vs.","Alaska",3,"OT","Kendall Hockey Classic",2012-10-12,"NC","Tie","Tie","Yes","No","No","CCHA","Atlantic Hockey"
20122013,"Mercyhurst",1,"@","Niagara",2,"","",2012-10-13,"AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20122013,"Providence",2,"@","Boston University",4,"","",2012-10-13,"HE","Win","Loss","No","No","No","Hockey East","Hockey East"
20122013,"Boston College",1,"@","Northeastern",3,"","",2012-10-13,"HE","Win","Loss","No","No","No","Hockey East","Hockey East"
20122013,"Union",4,"@","Bowling Green",1,"","",2012-10-13,"NC","Loss","Win","No","No","No","CCHA","ECAC"
20122013,"Clarkson",4,"@","Colorado College",5,"","",2012-10-13,"NC","Win","Loss","No","No","No","WCHA","ECAC"
20122013,"Lake Superior",4,"@","Michigan Tech",8,"","",2012-10-13,"NC","Win","Loss","No","No","No","WCHA","CCHA"
20122013,"Colgate",1,"@","Miami",5,"","",2012-10-13,"NC","Win","Loss","No","No","No","CCHA","ECAC"
20122013,"Wisconsin",2,"vs.","Northern Michigan",4,"","",2012-10-13,"NC","Win","Loss","No","No","No","CCHA","WCHA"
20122013,"American International",3,"@","Penn State",4,"OT","",2012-10-13,"NC","Win","Loss","No","No","No","Independent","Atlantic Hockey"
20122013,"Robert Morris",0,"@","Quinnipiac",4,"","",2012-10-13,"NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
20122013,"Ferris State",2,"@","Rensselaer",2,"OT","",2012-10-13,"NC","Tie","Tie","No","No","No","ECAC","CCHA"
20122013,"Minnesota State",2,"@","Alabama-Huntsville",2,"OT","",2012-10-13,"NC","Tie","Tie","No","No","No","Independent","WCHA"
20122013,"Ohio State",3,"@","Minnesota-Duluth",2,"","",2012-10-13,"NC","Loss","Win","No","No","No","WCHA","CCHA"
20122013,"Michigan State",1,"@","Minnesota",7,"","",2012-10-13,"NC","Win","Loss","No","No","No","WCHA","CCHA"
20122013,"St. Cloud State",2,"@","New Hampshire",4,"","",2012-10-13,"NC","Win","Loss","No","No","No","Hockey East","WCHA"
20122013,"St. Lawrence",2,"@","Western Michigan",3,"","",2012-10-13,"NC","Win","Loss","No","No","No","CCHA","ECAC"
20122013,"Maine",4,"vs.","Army",3,"","IceBreaker",2012-10-13,"NC","Loss","Win","Yes","No","No","Atlantic Hockey","Hockey East"
20122013,"Notre Dame",3,"vs.","Nebraska-Omaha",2,"","IceBreaker",2012-10-13,"NC","Loss","Win","Yes","No","No","WCHA","CCHA"
20122013,"Air Force",3,"@","Alaska-Anchorage",3,"OT","Kendall Hockey Classic",2012-10-13,"NC","Tie","Tie","Yes","No","No","WCHA","Atlantic Hockey"
20122013,"Canisius",3,"vs.","Alaska",1,"","Kendall Hockey Classic",2012-10-13,"NC","Loss","Win","Yes","No","No","CCHA","Atlantic Hockey"
20122013,"Robert Morris",4,"@","Quinnipiac",0,"","",2012-10-14,"NC","Loss","Win","No","No","No","ECAC","Atlantic Hockey"
20122013,"Holy Cross",6,"@","American International",2,"","",2012-10-16,"AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
20122013,"Sacred Heart",1,"@","Bentley",7,"","",2012-10-16,"AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20122013,"Minnesota-Duluth",3,"@","Notre Dame",1,"","",2012-10-18,"NC","Loss","Win","No","No","No","CCHA","WCHA"
20122013,"Sacred Heart",2,"@","Army",5,"","",2012-10-19,"AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20122013,"Boston College",5,"@","Massachusetts",4,"OT","",2012-10-19,"HE","Loss","Win","No","No","No","Hockey East","Hockey East"
20122013,"Minnesota",3,"@","Michigan Tech",5,"","",2012-10-19,"WC","Win","Loss","No","No","No","WCHA","WCHA"
20122013,"Colorado College",6,"@","Air Force",2,"","",2012-10-19,"NC","Loss","Win","No","No","No","Atlantic Hockey","WCHA"
20122013,"Lake Superior",2,"@","Bemidji State",0,"","",2012-10-19,"NC","Loss","Win","No","No","No","WCHA","CCHA"
20122013,"Bowling Green",3,"@","Colgate",1,"","",2012-10-19,"NC","Loss","Win","No","No","No","ECAC","CCHA"
20122013,"Massachusetts-Lowell",1,"@","Denver",5,"","",2012-10-19,"NC","Win","Loss","No","No","No","WCHA","Hockey East"
20122013,"Mercyhurst",3,"@","Ferris State",7,"","",2012-10-19,"NC","Win","Loss","No","No","No","CCHA","Atlantic Hockey"
20122013,"St. Lawrence",5,"@","Maine",0,"","",2012-10-19,"NC","Loss","Win","No","No","No","Hockey East","ECAC"
20122013,"Rensselaer",3,"@","Minnesota State",3,"OT","",2012-10-19,"NC","Tie","Tie","No","No","No","WCHA","ECAC"
20122013,"Niagara",2,"@","Michigan State",3,"","",2012-10-19,"NC","Win","Loss","No","No","No","CCHA","Atlantic Hockey"
20122013,"Providence",1,"@","Miami",1,"OT","",2012-10-19,"NC","Tie","Tie","No","No","No","CCHA","Hockey East"
20122013,"Minnesota-Duluth",1,"@","Notre Dame",4,"","",2012-10-19,"NC","Win","Loss","No","No","No","CCHA","WCHA"
20122013,"Ohio State",1,"@","Quinnipiac",1,"OT","",2012-10-19,"NC","Tie","Tie","No","No","No","ECAC","CCHA"
20122013,"Alabama-Huntsville",3,"@","St. Cloud State",8,"","",2012-10-19,"NC","Win","Loss","No","No","No","WCHA","Independent"
20122013,"Bentley",3,"@","Michigan",6,"","",2012-10-19,"NC","Win","Loss","No","No","No","CCHA","Atlantic Hockey"
20122013,"Northern Michigan",2,"@","Nebraska-Omaha",5,"","",2012-10-19,"NC","Win","Loss","No","No","No","WCHA","CCHA"
