Season,Away,AwayScore,at,Home,HomeScore,OT,Notes,Date,GameType,HomeWin,AwayWin,Tournament,ConfTournament,NCAA,HomeConference,AwayConference
20142015,Michigan Tech,5,@,Lake Superior,3,,,10/4/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Michigan,3,@,Ferris State,4,,,10/4/2014,NC,Win,Loss,No,No,No,WCHA,Big Ten
20142015,Michigan Tech,5,@,Lake Superior,1,,,10/5/2014,WC,Loss,Win,No,No,No,WCHA,WCHA
20142015,Mercyhurst,1,@,Air Force,5,,,10/10/2014,AH,Win,Loss,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Sacred Heart,1,@,Army,2,,,10/10/2014,AH,Win,Loss,No,No,No,Atlantic Hockey,Atlantic Hockey
20142015,Boston University,8,@,Massachusetts,1,,,10/10/2014,HE,Loss,Win,No,No,No,Hockey East,Hockey East
20142015,Boston College,2,@,Massachusetts-Lowell,5,,,10/10/2014,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20142015,Miami,2,@,Bowling Green,3,,,10/10/2014,NC,Win,Loss,No,No,No,WCHA,NCHC
20142015,Western Michigan,2,@,Canisius,4,,,10/10/2014,NC,Win,Loss,No,No,No,Atlantic Hockey,NCHC
20142015,Alabama-Huntsville,2,@,Colorado College,3,,,10/10/2014,NC,Win,Loss,No,No,No,NCHC,WCHA
20142015,Merrimack,3,@,Holy Cross,2,,,10/10/2014,NC,Loss,Win,No,No,No,Atlantic Hockey,Hockey East
20142015,Clarkson,3,@,Niagara,1,,,10/10/2014,NC,Loss,Win,No,No,No,Atlantic Hockey,ECAC
20142015,Providence,4,@,Ohio State,5,OT,,10/10/2014,NC,Win,Loss,No,No,No,Big Ten,Hockey East
20142015,Connecticut,2,@,Penn State,2,OT,,10/10/2014,NC,Tie,Tie,No,No,No,Big Ten,Hockey East
20142015,St. Lawrence,2,@,RIT,5,,,10/10/2014,NC,Win,Loss,No,No,No,Atlantic Hockey,ECAC
20142015,Lake Superior,1,@,Robert Morris,3,,,10/10/2014,NC,Win,Loss,No,No,No,Atlantic Hockey,WCHA
20142015,Colgate,3,@,St. Cloud State,1,,,10/10/2014,NC,Loss,Win,No,No,No,NCHC,ECAC
20142015,American International,3,@,Union,7,,,10/10/2014,NC,Win,Loss,No,No,No,ECAC,Atlantic Hockey
20142015,Bemidji State,5,@,North Dakota,1,,,10/10/2014,NC,Loss,Win,No,No,No,NCHC,WCHA
20142015,Minnesota State,3,@,Nebraska-Omaha,5,,,10/10/2014,NC,Win,Loss,No,No,No,NCHC,WCHA
20142015,Rensselaer,3,@,Notre Dame,2,,IceBreaker,10/10/2014,NC,Loss,Win,Yes,No,No,Hockey East,ECAC
20142015,Minnesota,4,vs.,Minnesota-Duluth,3,,IceBreaker,10/10/2014,NC,Loss,Win,Yes,No,No,NCHC,Big Ten
20142015,Maine,1,@,Alaska-Anchorage,3,,Kendall Hockey Classic,10/10/2014,NC,Win,Loss,Yes,No,No,WCHA,Hockey East
20142015,Wisconsin,0,vs.,Alaska,1,,Kendall Hockey Classic,10/10/2014,NC,Win,Loss,Yes,No,No,WCHA,Big Ten
20142015,Mercyhurst,4,@,Air Force,2,,,10/11/2014,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
