Season,Away,AwayScore,at,Home,HomeScore,OT,Notes,Date,GameType
20142015,Western Ontario,1,@,Alaska,3,,,10/3/2014,EX
20142015,Michigan Tech,5,@,Lake Superior,3,,,10/4/2014,WC
20142015,(8) Michigan,3,@,(9) Ferris State,4,,,10/4/2014,NC
20142015,New Brunswick,4,@,(4) Boston College,6,,,10/4/2014,EX
20142015,Simon Fraser,2,@,Bowling Green,7,,,10/4/2014,EX
20142015,St. Thomas (NB),1,@,(20) Boston University,12,,,10/4/2014,EX
20142015,Queen's,1,@,(6) Colgate,7,,,10/4/2014,EX
20142015,McGill,2,@,(18) Denver,3,,,10/4/2014,EX
20142015,US Under-18 Team,3,@,(11) Miami,0,,,10/4/2014,EX
20142015,Guelph,1,@,Ohio State,7,,,10/4/2014,EX
20142015,Acadia,4,@,(15) Quinnipiac,1,,,10/4/2014,EX
20142015,Brock,2,@,RIT,5,,,10/4/2014,EX
20142015,Ryerson,1,@,Robert Morris,0,,,10/4/2014,EX
20142015,PEI,2,@,Rensselaer,5,,,10/4/2014,EX
20142015,Trinity Western,0,@,(7) St. Cloud State,8,,,10/4/2014,EX
20142015,Carleton,0,@,St. Lawrence,4,,,10/4/2014,EX
20142015,Western Ontario,0,@,Alaska-Anchorage,8,,,10/4/2014,EX
20142015,Dalhousie,2,@,Massachusetts,5,,,10/4/2014,EX
20142015,No. Alberta IT,0,@,(1) Minnesota,5,,,10/4/2014,EX
20142015,St. Francis Xavier,2,@,(19) New Hampshire,0,,,10/4/2014,EX
20142015,Toronto,2,@,Western Michigan,2,OT,,10/4/2014,EX
20142015,Michigan Tech,5,@,Lake Superior,1,,,10/5/2014,WC
20142015,Toronto,3,@,Canisius,6,,,10/5/2014,EX
20142015,McGill,4,@,Colorado College,4,OT,,10/5/2014,EX
20142015,Queen's,0,@,Clarkson,8,,,10/5/2014,EX
20142015,St. Francis Xavier,2,@,Merrimack,2,OT,,10/5/2014,EX
20142015,New Brunswick,3,@,Maine,8,,,10/5/2014,EX
20142015,Ryerson,1,@,Mercyhurst,6,,,10/5/2014,EX
20142015,Trinity Western,1,@,(13) Minnesota State,12,,,10/5/2014,EX
20142015,Simon Fraser,0,@,(11) Miami,11,,,10/5/2014,EX
20142015,Waterloo,5,@,(12) Notre Dame,4,,,10/5/2014,EX
20142015,Brock,0,@,Niagara,4,,,10/5/2014,EX
20142015,Acadia,3,@,(16) Northeastern,2,,,10/5/2014,EX
20142015,PEI,3,@,(5) Union,6,,,10/5/2014,EX
20142015,Dalhousie,1,@,Connecticut,3,,,10/5/2014,EX
20142015,St. Thomas (NB),3,@,(17) Massachusetts-Lowell,7,,,10/5/2014,EX
20142015,Manitoba,0,@,(2) North Dakota,4,,,10/5/2014,EX
20142015,Royal Military,0,@,Vermont,8,,,10/5/2014,EX
20142015,McGill,3,@,Air Force,5,,,10/6/2014,EX
20142015,US Under-18 Team,4,@,(8) Michigan,7,,,10/6/2014,EX
20142015,Lakehead,2,@,Minnesota-Duluth,4,,,10/6/2014,EX
20142015,No. Alberta IT,4,@,Nebraska-Omaha,0,,,10/6/2014,EX
20142015,Windsor,2,@,Michigan State,2,OT,,10/7/2014,EX
20142015,Wilfrid Laurier,2,@,(8) Michigan,5,,,10/9/2014,EX
20142015,Mercyhurst,1,@,Air Force,5,,,10/10/2014,AH
20142015,Sacred Heart,1,@,Army West Point,2,,,10/10/2014,AH
20142015,(20) Boston University,8,@,Massachusetts,1,,,10/10/2014,HE
20142015,(4) Boston College,2,@,(17) Massachusetts-Lowell,5,,,10/10/2014,HE
20142015,(11) Miami,2,@,Bowling Green,3,,,10/10/2014,NC
20142015,Western Michigan,2,@,Canisius,4,,,10/10/2014,NC
20142015,Alabama-Huntsville,2,@,Colorado College,3,,,10/10/2014,NC
20142015,Merrimack,3,@,Holy Cross,2,,,10/10/2014,NC
20142015,Clarkson,3,@,Niagara,1,,,10/10/2014,NC
20142015,(3) Providence,4,@,Ohio State,5,OT,,10/10/2014,NC
20142015,Connecticut,2,@,Penn State,2,OT,,10/10/2014,NC
20142015,St. Lawrence,2,@,RIT,5,,,10/10/2014,NC
20142015,Lake Superior,1,@,Robert Morris,3,,,10/10/2014,NC
20142015,(6) Colgate,3,@,(7) St. Cloud State,1,,,10/10/2014,NC
20142015,American International,3,@,(5) Union,7,,,10/10/2014,NC
20142015,Bemidji State,5,@,(2) North Dakota,1,,,10/10/2014,NC
20142015,(13) Minnesota State,3,@,Nebraska-Omaha,5,,,10/10/2014,NC
20142015,Rensselaer,3,@,(12) Notre Dame,2,,IceBreaker,10/10/2014,NC
20142015,(1) Minnesota,4,vs.,Minnesota-Duluth,3,,IceBreaker,10/10/2014,NC
20142015,Maine,1,@,Alaska-Anchorage,3,,Kendall Hockey Classic,10/10/2014,NC
20142015,(10) Wisconsin,0,vs.,Alaska,1,,Kendall Hockey Classic,10/10/2014,NC
20142015,Wilfrid Laurier,1,@,(9) Ferris State,4,,,10/10/2014,EX
20142015,Mercyhurst,4,@,Air Force,2,,,10/11/2014,AH
20142015,Vermont,6,@,(16) Northeastern,2,,,10/11/2014,HE
20142015,(2) North Dakota,2,@,Bemidji State,1,,,10/11/2014,NC
20142015,Western Michigan,4,@,Canisius,1,,,10/11/2014,NC
20142015,Alabama-Huntsville,3,@,Colorado College,4,,,10/11/2014,NC
20142015,Holy Cross,1,@,Merrimack,2,,,10/11/2014,NC
20142015,St. Lawrence,10,@,Niagara,2,,,10/11/2014,NC
20142015,(3) Providence,2,@,Ohio State,1,OT,,10/11/2014,NC
20142015,Connecticut,1,@,Penn State,7,,,10/11/2014,NC
20142015,Bentley,3,@,(15) Quinnipiac,5,,,10/11/2014,NC
20142015,Clarkson,3,@,RIT,1,,,10/11/2014,NC
20142015,Lake Superior,0,@,Robert Morris,3,,,10/11/2014,NC
20142015,(6) Colgate,1,@,(7) St. Cloud State,3,,,10/11/2014,NC
20142015,(19) New Hampshire,1,@,(5) Union,3,,,10/11/2014,NC
20142015,(13) Minnesota State,4,@,Nebraska-Omaha,2,,,10/11/2014,NC
20142015,(10) Wisconsin,2,@,Alaska-Anchorage,4,,Kendall Hockey Classic,10/11/2014,NC
20142015,Maine,2,vs.,Alaska,5,,Kendall Hockey Classic,10/11/2014,NC
20142015,Sacred Heart,5,@,Army West Point,1,,,10/12/2014,AH
20142015,Bowling Green,2,@,(11) Miami,3,,,10/12/2014,NC
20142015,Minnesota-Duluth,3,@,(12) Notre Dame,0,,IceBreaker,10/12/2014,NC
20142015,Rensselaer,0,vs.,(1) Minnesota,3,,IceBreaker,10/12/2014,NC
20142015,US Under-18 Team,3,@,(5) Providence,3,OT,,10/16/2014,EX
20142015,Canisius,6,@,Army West Point,4,,,10/17/2014,AH
20142015,American International,2,@,Holy Cross,2,OT,,10/17/2014,AH
20142015,Niagara,2,@,Robert Morris,5,,,10/17/2014,AH
20142015,Bentley,4,@,Sacred Heart,1,,,10/17/2014,AH
20142015,(3) North Dakota,3,@,Colorado College,1,,,10/17/2014,NT
20142015,Nebraska-Omaha,5,@,Western Michigan,2,,,10/17/2014,NT
20142015,Bowling Green,5,@,Alabama-Huntsville,0,,,10/17/2014,WC
20142015,Northeastern,0,@,(6) Colgate,3,,,10/17/2014,NC
20142015,Rensselaer,0,@,(16) Denver,3,,,10/17/2014,NC
20142015,(2) Union,3,@,Maine,0,,,10/17/2014,NC
20142015,Massachusetts,3,@,Michigan State,5,,,10/17/2014,NC
20142015,Lake Superior,3,@,Notre Dame,5,,,10/17/2014,NC
20142015,(18) Wisconsin,0,vs.,Northern Michigan,2,,,10/17/2014,NC
20142015,(11) Miami,5,@,(17) Ohio State,1,,,10/17/2014,NC
20142015,(4) Ferris State,3,@,St. Lawrence,2,OT,,10/17/2014,NC
20142015,New Hampshire,5,@,(10) Michigan,1,,,10/17/2014,NC
20142015,(12) Minnesota State,5,@,(20) Minnesota-Duluth,4,OT,,10/17/2014,NC
20142015,(13) Quinnipiac,3,@,(9) Massachusetts-Lowell,6,,,10/17/2014,NC
20142015,Clarkson,1,@,Vermont,2,,,10/17/2014,NC
20142015,Penn State,3,vs.,Alaska-Anchorage,3,OT,Alaska Goal Rush,10/17/2014,NC
20142015,Air Force,3,@,(19) Alaska,4,,Alaska Goal Rush,10/17/2014,NC
20142015,Canisius,0,@,Army West Point,3,,,10/18/2014,AH
20142015,Sacred Heart,6,@,Bentley,3,,,10/18/2014,AH
20142015,American International,2,@,Holy Cross,3,,,10/18/2014,AH
20142015,Robert Morris,4,@,Niagara,1,,,10/18/2014,AH
20142015,Connecticut,1,@,Merrimack,2,OT,,10/18/2014,HE
20142015,(3) North Dakota,7,@,Colorado College,2,,,10/18/2014,NT
20142015,Nebraska-Omaha,3,@,Western Michigan,0,,,10/18/2014,NT
20142015,Bowling Green,4,@,Alabama-Huntsville,1,,,10/18/2014,WC
20142015,Vermont,3,@,Clarkson,0,,,10/18/2014,NC
20142015,Northeastern,0,@,(6) Colgate,3,,,10/18/2014,NC
20142015,Rensselaer,1,@,(16) Denver,4,,,10/18/2014,NC
20142015,(2) Union,5,@,Maine,2,,,10/18/2014,NC
20142015,(20) Minnesota-Duluth,6,@,(12) Minnesota State,2,,,10/18/2014,NC
20142015,Massachusetts,4,@,Michigan State,3,,,10/18/2014,NC
20142015,(17) Ohio State,1,@,(11) Miami,2,,,10/18/2014,NC
20142015,Lake Superior,1,@,Notre Dame,5,,,10/18/2014,NC
20142015,(18) Wisconsin,1,vs.,Northern Michigan,4,,,10/18/2014,NC
20142015,(9) Massachusetts-Lowell,3,@,(13) Quinnipiac,3,OT,,10/18/2014,NC
20142015,(7) Boston College,6,@,RIT,2,,,10/18/2014,NC
20142015,(4) Ferris State,0,@,St. Lawrence,2,,,10/18/2014,NC
20142015,New Hampshire,1,@,(10) Michigan,2,,,10/18/2014,NC
20142015,Air Force,1,vs.,Alaska-Anchorage,4,,Alaska Goal Rush,10/18/2014,NC
20142015,Penn State,3,@,(19) Alaska,4,,Alaska Goal Rush,10/18/2014,NC
20142015,US Under-18 Team,4,@,(14) Boston University,6,,,10/18/2014,EX
20142015,Connecticut,4,@,(15) Quinnipiac,1,,,10/21/2014,NC
20142015,RIT,5,@,Air Force,1,,,10/24/2014,AH
20142015,Canisius,3,@,American International,1,,,10/24/2014,AH
20142015,Robert Morris,3,@,Army West Point,0,,,10/24/2014,AH
20142015,Massachusetts,3,@,Northeastern,2,,,10/24/2014,HE
20142015,(11) Denver,3,@,(19) Minnesota-Duluth,1,,,10/24/2014,NT
20142015,Michigan Tech,1,@,(8) Ferris State,0,,,10/24/2014,WC
20142015,Northern Michigan,4,@,Lake Superior,2,,,10/24/2014,WC
20142015,Alabama-Huntsville,1,@,(13) Minnesota State,3,,,10/24/2014,WC
20142015,Colorado College,2,@,(6) Boston College,6,,,10/24/2014,NC
20142015,Michigan State,0,@,(12) Boston University,1,,,10/24/2014,NC
20142015,Bowling Green,2,@,Clarkson,2,OT,,10/24/2014,NC
20142015,(20) Alaska-Anchorage,1,@,Maine,3,,,10/24/2014,NC
20142015,Merrimack,5,@,Mercyhurst,4,OT,,10/24/2014,NC
20142015,St. Lawrence,5,@,(10) Miami,4,,,10/24/2014,NC
20142015,Niagara,3,@,Notre Dame,6,,,10/24/2014,NC
20142015,Holy Cross,1,@,Penn State,3,,,10/24/2014,NC
20142015,Bentley,5,@,Rensselaer,2,,,10/24/2014,NC
20142015,(4) Colgate,5,@,Sacred Heart,2,,,10/24/2014,NC
20142015,(9) St. Cloud State,1,@,(2) Union,5,,,10/24/2014,NC
20142015,(14) Michigan,8,@,(7) Massachusetts-Lowell,4,,,10/24/2014,NC
20142015,Bemidji State,2,@,(1) Minnesota,5,,,10/24/2014,NC
20142015,(5) Providence,1,@,(3) North Dakota,6,,,10/24/2014,NC
20142015,(16) Alaska,1,@,Western Michigan,0,,,10/24/2014,NC
20142015,US Under-18 Team,2,@,(18) Cornell,3,,,10/24/2014,EX
20142015,Alberta,3,@,Yale,0,,,10/24/2014,EX
20142015,RIT,3,@,Air Force,4,OT,,10/25/2014,AH
20142015,Canisius,4,@,American International,2,,,10/25/2014,AH
