"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType"
"20152016","Mt. Royal",1,"@","Alaska-Anchorage",0,"","","10/2/2015","EX"
"20152016","(20) Colgate",5,"@","Mercyhurst",2,"","","10/3/2015","NC"
"20152016","Arizona",1,"@","Arizona State",8,"","","10/3/2015","EX"
"20152016","New Brunswick",5,"@","(1) Boston College",2,"","","10/3/2015","EX"
"20152016","Toronto",3,"@","(16) Bowling Green",4,"","","10/3/2015","EX"
"20152016","Acadia",2,"@","(3) Boston University",4,"","","10/3/2015","EX"
"20152016","Calgary",2,"@","Colorado College",6,"","","10/3/2015","EX"
"20152016","McGill",3,"@","Clarkson",4,"","","10/3/2015","EX"
"20152016","St. Francis Xavier",1,"@","Merrimack",4,"","","10/3/2015","EX"
"20152016","Western Ontario",1,"@","(11) Miami",6,"","","10/3/2015","EX"
"20152016","Wilfrid Laurier",3,"@","Niagara",5,"","","10/3/2015","EX"
"20152016","US Under-18 Team",0,"@","Northern Michigan",4,"","","10/3/2015","EX"
"20152016","Brock",0,"@","Ohio State",4,"","","10/3/2015","EX"
"20152016","Simon Fraser",1,"@","(7) Providence",9,"","","10/3/2015","EX"
"20152016","Ontario IT",1,"@","RIT",9,"","","10/3/2015","EX"
"20152016","St. Thomas (NB)",3,"@","Rensselaer",2,"OT","","10/3/2015","EX"
"20152016","Alberta",2,"@","(17) St. Cloud State",6,"","","10/3/2015","EX"
"20152016","Carleton",3,"@","(19) St. Lawrence",5,"","","10/3/2015","EX"
"20152016","Queens",1,"@","Connecticut",3,"","","10/3/2015","EX"
"20152016","Dalhousie",0,"@","Massachusetts",4,"","","10/3/2015","EX"
"20152016","Manitoba",3,"@","(4) North Dakota",8,"","","10/3/2015","EX"
"20152016","Lethbridge",4,"@","Western Michigan",3,"","","10/3/2015","EX"
"20152016","(20) Colgate",7,"@","Mercyhurst",9,"","","10/4/2015","NC"
"20152016","Manitoba",1,"@","Bemidji State",6,"","","10/4/2015","EX"
"20152016","Ontario IT",4,"@","Canisius",2,"","","10/4/2015","EX"
"20152016","Calgary",0,"@","(5) Denver",4,"","","10/4/2015","EX"
"20152016","Lethbridge",2,"@","Ferris State",4,"","","10/4/2015","EX"
"20152016","US Under-18 Team",2,"@","Lake Superior",1,"OT","","10/4/2015","EX"
"20152016","Alberta",3,"@","(6) Minnesota State",2,"","","10/4/2015","EX"
"20152016","Western Ontario",1,"@","Michigan State",2,"","","10/4/2015","EX"
"20152016","Simon Fraser",2,"@","Northeastern",10,"","","10/4/2015","EX"
"20152016","Windsor",2,"@","Penn State",5,"","","10/4/2015","EX"
"20152016","St. Thomas (NB)",1,"@","(18) Quinnipiac",3,"","","10/4/2015","EX"
"20152016","Dalhousie",5,"@","Sacred Heart",3,"","","10/4/2015","EX"
"20152016","Mt. Royal",0,"@","Alaska",4,"","","10/4/2015","EX"
"20152016","Toronto",1,"@","(13) Michigan",8,"","","10/4/2015","EX"
"20152016","Lakehead",1,"@","(2) Minnesota-Duluth",6,"","","10/4/2015","EX"
"20152016","New Brunswick",2,"@","(14) Massachusetts-Lowell",3,"","","10/4/2015","EX"
"20152016","St. Francis Xavier",4,"@","New Hampshire",6,"","","10/4/2015","EX"
"20152016","Acadia",2,"@","Vermont",1,"","","10/4/2015","EX"
"20152016","Calgary",0,"@","Air Force",5,"","","10/5/2015","EX"
"20152016","Mercyhurst",3,"@","Bentley",1,"","","10/9/2015","AH"
"20152016","(5) Denver",4,"@","Air Force",5,"OT","","10/9/2015","NC"
"20152016","(1) Boston College",5,"@","Army West Point",1,"","","10/9/2015","NC"
"20152016","Massachusetts",6,"@","Colorado College",3,"","","10/9/2015","NC"
"20152016","RIT",0,"@","Clarkson",6,"","","10/9/2015","NC"
"20152016","(18) Quinnipiac",5,"@","Holy Cross",3,"","","10/9/2015","NC"
"20152016","(10) Nebraska-Omaha",3,"@","(6) Minnesota State",2,"","","10/9/2015","NC"
"20152016","(7) Providence",7,"@","(11) Miami",3,"","","10/9/2015","NC"
"20152016","(16) Bowling Green",6,"@","Ohio State",3,"","","10/9/2015","NC"
"20152016","Niagara",2,"@","(19) St. Lawrence",5,"","","10/9/2015","NC"
"20152016","Connecticut",5,"@","Alabama-Huntsville",2,"","","10/9/2015","NC"
"20152016","Sacred Heart",1,"@","Union",1,"OT","","10/9/2015","NC"
"20152016","Rensselaer",0,"@","(14) Massachusetts-Lowell",3,"","","10/9/2015","NC"
"20152016","Northern Michigan",2,"@","Wisconsin",2,"OT","","10/9/2015","NC"
"20152016","Ferris State",2,"@","Western Michigan",3,"","","10/9/2015","NC"
"20152016","Michigan State",3,"vs.","Maine",3,"OT","IceBreaker","10/9/2015","NC"
"20152016","Lake Superior",2,"vs.","(4) North Dakota",5,"","IceBreaker","10/9/2015","NC"
"20152016","Arizona State",2,"@","Alaska-Anchorage",3,"OT","Kendall Hockey Classic","10/9/2015","NC"
"20152016","(17) St. Cloud State",3,"vs.","Alaska",0,"","Kendall Hockey Classic","10/9/2015","NC"
"20152016","Laurentian",1,"@","(15) Michigan Tech",5,"","","10/9/2015","EX"
"20152016","Guelph",5,"@","Notre Dame",7,"","","10/9/2015","EX"
"20152016","Mercyhurst",3,"@","Bentley",2,"","","10/10/2015","AH"
"20152016","Ohio State",0,"@","(16) Bowling Green",2,"","","10/10/2015","NC"
"20152016","(2) Minnesota-Duluth",2,"@","Bemidji State",3,"","","10/10/2015","NC"
"20152016","Penn State",6,"@","Canisius",1,"","","10/10/2015","NC"
"20152016","Massachusetts",4,"@","Colorado College",3,"","","10/10/2015","NC"
"20152016","Niagara",1,"@","Clarkson",4,"","","10/10/2015","NC"
"20152016","Air Force",1,"@","(5) Denver",3,"","","10/10/2015","NC"
"20152016","Western Michigan",1,"@","Ferris State",1,"OT","","10/10/2015","NC"
"20152016","(10) Nebraska-Omaha",2,"@","(6) Minnesota State",0,"","","10/10/2015","NC"
"20152016","(7) Providence",2,"@","(11) Miami",2,"OT","","10/10/2015","NC"
"20152016","(20) Colgate",1,"@","Northeastern",2,"","","10/10/2015","NC"
"20152016","Holy Cross",2,"@","(18) Quinnipiac",4,"","","10/10/2015","NC"
"20152016","RIT",1,"@","(19) St. Lawrence",5,"","","10/10/2015","NC"
"20152016","Connecticut",2,"@","Alabama-Huntsville",5,"","","10/10/2015","NC"
"20152016","(3) Boston University",3,"@","Union",5,"","","10/10/2015","NC"
"20152016","Vermont",3,"@","(9) Minnesota",0,"","","10/10/2015","NC"
"20152016","American International",3,"@","New Hampshire",7,"","","10/10/2015","NC"
"20152016","Northern Michigan",3,"@","Wisconsin",3,"OT","","10/10/2015","NC"
"20152016","Michigan State",4,"vs.","Lake Superior",1,"","IceBreaker","10/10/2015","NC"
"20152016","(4) North Dakota",1,"vs.","Maine",1,"OT","IceBreaker","10/10/2015","NC"
"20152016","(17) St. Cloud State",6,"@","Alaska-Anchorage",2,"","Kendall Hockey Classic","10/10/2015","NC"
"20152016","Arizona State",2,"vs.","Alaska",1,"","Kendall Hockey Classic","10/10/2015","NC"
"20152016","Laurentian",0,"@","(15) Michigan Tech",5,"","","10/10/2015","EX"
"20152016","(1) Boston College",1,"@","Rensselaer",2,"","","10/11/2015","NC"
"20152016","Guelph",3,"@","Robert Morris",5,"","","10/11/2015","EX"
"20152016","Notre Dame",2,"@","US Under-18 Team",2,"OT","","10/11/2015","EX"
"20152016","(10) Bowling Green",1,"@","Western Michigan",4,"","","10/13/2015","NC"
"20152016","Arizona State",0,"@","(17) Quinnipiac",5,"","","10/15/2015","NC"
"20152016","Air Force",1,"@","Robert Morris",5,"","","10/16/2015","AH"
"20152016","(16) Michigan Tech",5,"@","Ferris State",1,"","","10/16/2015","WC"
"20152016","Wisconsin",0,"@","(4) Boston College",6,"","","10/16/2015","NC"
"20152016","(1) North Dakota",4,"@","Bemidji State",4,"OT","","10/16/2015","NC"
"20152016","(10) Bowling Green",4,"@","Canisius",2,"","","10/16/2015","NC"
"20152016","Michigan State",2,"@","(5) Denver",4,"","","10/16/2015","NC"
"20152016","Clarkson",1,"@","Merrimack",7,"","","10/16/2015","NC"
"20152016","Lake Superior",3,"@","Northern Michigan",6,"","","10/16/2015","NC"
"20152016","Bentley",3,"@","Northeastern",2,"","","10/16/2015","NC"
"20152016","(18) Miami",3,"@","Ohio State",2,"","","10/16/2015","NC"
"20152016","Holy Cross",1,"@","(2) Providence",4,"","","10/16/2015","NC"
"20152016","Notre Dame",7,"@","Penn State",4,"","","10/16/2015","NC"
"20152016","(14) Minnesota State",0,"@","(12) St. Cloud State",4,"","","10/16/2015","NC"
"20152016","Maine",1,"@","Union",1,"OT","","10/16/2015","NC"
"20152016","Arizona State",1,"@","Connecticut",5,"","","10/16/2015","NC"
"20152016","Mercyhurst",4,"@","(11) Michigan",6,"","","10/16/2015","NC"
"20152016","Sacred Heart",2,"@","Massachusetts",5,"","","10/16/2015","NC"
"20152016","Colorado College",2,"@","(9) Massachusetts-Lowell",3,"","","10/16/2015","NC"
"20152016","(7) Minnesota-Duluth",3,"@","(15) Minnesota",1,"","","10/16/2015","NC"
"20152016","(19) St. Lawrence",3,"@","New Hampshire",2,"OT","","10/16/2015","NC"
"20152016","(3) Nebraska-Omaha",4,"@","(20) Vermont",3,"","","10/16/2015","NC"
"20152016","Rensselaer",3,"vs.","Alaska-Anchorage",4,"","Alaska Goal Rush","10/16/2015","NC"
"20152016","American International",2,"@","Alaska",7,"","Alaska Goal Rush","10/16/2015","NC"
"20152016","US Under-18 Team",7,"@","(6) Boston University",4,"","","10/16/2015","EX"
"20152016","Air Force",3,"@","Robert Morris",3,"OT","","10/17/2015","AH"
"20152016","(16) Michigan Tech",2,"@","Ferris State",3,"","","10/17/2015","WC"
"20152016","Northeastern",1,"@","Bentley",4,"","","10/17/2015","NC"
"20152016","Wisconsin",1,"@","(6) Boston University",4,"","","10/17/2015","NC"
"20152016","Michigan State",0,"@","(5) Denver",3,"","","10/17/2015","NC"
"20152016","Northern Michigan",0,"@","Lake Superior",4,"","","10/17/2015","NC"
"20152016","(19) St. Lawrence",1,"@","Merrimack",3,"","","10/17/2015","NC"
"20152016","Ohio State",1,"@","(18) Miami",3,"","","10/17/2015","NC"
"20152016","Notre Dame",3,"@","Penn State",5,"","","10/17/2015","NC"
"20152016","(10) Bowling Green",2,"@","RIT",2,"OT","","10/17/2015","NC"
"20152016","(14) Minnesota State",0,"@","(12) St. Cloud State",3,"","","10/17/2015","NC"
"20152016","Arizona State",0,"@","Sacred Heart",3,"","","10/17/2015","NC"
