"Team","RPI","Season"
"",0.42,"20052006"
"Air Force",0.431,"20052006"
"Alabama-Huntsville",0.493,"20052006"
"Alaska",0.525,"20052006"
"Alaska-Anchorage",0.443,"20052006"
"American International",0.415,"20052006"
"Army",0.455,"20052006"
"Bemidji State",0.507,"20052006"
"Bentley",0.466,"20052006"
"Boston College",0.544,"20052006"
"Boston University",0.562,"20052006"
"Bowling Green",0.476,"20052006"
"Brown",0.444,"20052006"
"Canisius",0.424,"20052006"
"Clarkson",0.501,"20052006"
"Colgate",0.523,"20052006"
"Colorado College",0.54,"20052006"
"Connecticut",0.432,"20052006"
"Cornell",0.553,"20052006"
"Dartmouth",0.532,"20052006"
"Denver",0.531,"20052006"
"Ferris State",0.52,"20052006"
"Harvard",0.548,"20052006"
"Holy Cross",0.534,"20052006"
"Lake Superior",0.512,"20052006"
"Maine",0.548,"20052006"
"Massachusetts",0.478,"20052006"
"Massachusetts-Lowell",0.483,"20052006"
"Mercyhurst",0.506,"20052006"
"Merrimack",0.435,"20052006"
"Miami",0.57,"20052006"
"Michigan",0.541,"20052006"
"Michigan State",0.558,"20052006"
"Michigan Tech",0.458,"20052006"
"Minnesota",0.574,"20052006"
"Minnesota-Duluth",0.469,"20052006"
"Minnesota State",0.507,"20052006"
"Nebraska-Omaha",0.533,"20052006"
"New Hampshire",0.535,"20052006"
"Niagara",0.497,"20052006"
"North Dakota",0.551,"20052006"
"Northeastern",0.432,"20052006"
"Northern Michigan",0.53,"20052006"
"Notre Dame",0.492,"20052006"
"Ohio State",0.501,"20052006"
"Princeton",0.467,"20052006"
"Providence",0.508,"20052006"
"Quinnipiac",0.498,"20052006"
"Rensselaer",0.487,"20052006"
"RIT",0.389,"20052006"
"Robert Morris",0.443,"20052006"
"Sacred Heart",0.505,"20052006"
"St. Cloud State",0.53,"20052006"
"St. Lawrence",0.513,"20052006"
"Union",0.489,"20052006"
"Vermont",0.515,"20052006"
"Western Michigan",0.469,"20052006"
"Wisconsin",0.568,"20052006"
"Yale",0.463,"20052006"
