"Team","Conference","Season"
"Air Force","Atlantic Hockey","20062007"
"Alabama-Huntsville","College Hockey America","20062007"
"Alaska","CCHA","20062007"
"Alaska-Anchorage","WCHA","20062007"
"American International","Atlantic Hockey","20062007"
"Army","Atlantic Hockey","20062007"
"Bemidji State","College Hockey America","20062007"
"Bentley","Atlantic Hockey","20062007"
"Boston College","Hockey East","20062007"
"Boston University","Hockey East","20062007"
"Bowling Green","CCHA","20062007"
"Brown","ECAC","20062007"
"Canisius","Atlantic Hockey","20062007"
"Clarkson","ECAC","20062007"
"Colgate","ECAC","20062007"
"Colorado College","WCHA","20062007"
"Connecticut","Atlantic Hockey","20062007"
"Cornell","ECAC","20062007"
"Dartmouth","ECAC","20062007"
"Denver","WCHA","20062007"
"Ferris State","CCHA","20062007"
"Harvard","ECAC","20062007"
"Holy Cross","Atlantic Hockey","20062007"
"Lake Superior","CCHA","20062007"
"Maine","Hockey East","20062007"
"Massachusetts","Hockey East","20062007"
"Massachusetts-Lowell","Hockey East","20062007"
"Mercyhurst","Atlantic Hockey","20062007"
"Merrimack","Hockey East","20062007"
"Miami","CCHA","20062007"
"Michigan","CCHA","20062007"
"Michigan State","CCHA","20062007"
"Michigan Tech","WCHA","20062007"
"Minnesota","WCHA","20062007"
"Minnesota-Duluth","WCHA","20062007"
"Minnesota State","WCHA","20062007"
"Nebraska-Omaha","CCHA","20062007"
"New Hampshire","Hockey East","20062007"
"Niagara","College Hockey America","20062007"
"North Dakota","WCHA","20062007"
"Northeastern","Hockey East","20062007"
"Northern Michigan","CCHA","20062007"
"Notre Dame","CCHA","20062007"
"Ohio State","CCHA","20062007"
"Princeton","ECAC","20062007"
"Providence","Hockey East","20062007"
"Quinnipiac","ECAC","20062007"
"Rensselaer","ECAC","20062007"
"RIT","Atlantic Hockey","20062007"
"Robert Morris","College Hockey America","20062007"
"Sacred Heart","Atlantic Hockey","20062007"
"St. Cloud State","WCHA","20062007"
"St. Lawrence","ECAC","20062007"
"Union","ECAC","20062007"
"Vermont","Hockey East","20062007"
"Wayne State","College Hockey America","20062007"
"Western Michigan","CCHA","20062007"
"Wisconsin","WCHA","20062007"
"Yale","ECAC","20062007"
