"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","Season"
"Air Force","37","120","92","1253","9.6","1066",".914","18.2","82.9","4","5","","25.9",71.8,"181.8","20122013"
"Alabama-Huntsville","22","25","96","499","5.0","864",".889","10.3","78.3","0","1","","25.10",71.9,"190.4","20122013"
"Alaska","37","95","97","1259","7.5","940",".897","14.4","89.9","6","5","","25.5",71.7,"188.8","20122013"
"Alaska-Anchorage","36","67","133","767","8.7","1103",".879","14.4","74.5","4","1","","26.0",72.1,"190.4","20122013"
"American International","35","88","112","1063","8.3","1347",".917","22.0","79.3","3","3","","26.2",72,"186.0","20122013"
"Army","34","73","121","1007","7.2","1166",".896","12.0","76.7","2","2","","25.4",71.8,"188.6","20122013"
"Bemidji State","36","74","110","857","8.6","1172",".906","18.6","80.2","1","0","","26.1",71.3,"183.7","20122013"
"Bentley","35","108","116","1075","10.0","1262",".908","16.3","83.7","5","5","","25.6",71.9,"181.0","20122013"
"Boston College","38","128","107","1150","11.1","1138",".906","21.1","83.8","1","7","","24.1",71.8,"185.6","20122013"
"Boston University","39","120","110","1216","9.9","1302",".916","17.5","83.7","7","6","","24.7",72.2,"188.0","20122013"
"Bowling Green","41","100","105","1142","8.8","1137",".908","13.7","76.4","2","7","","25.8",72.4,"189.3","20122013"
"Brown","36","90","85","1106","8.1","1164",".927","16.0","78.0","4","3","","25.2",71.7,"184.6","20122013"
"Canisius","43","113","104","1280","8.8","1457",".929","18.5","90.1","5","3","","25.4",73.1,"192.2","20122013"
"Clarkson","36","89","113","1055","8.4","1061",".893","16.3","77.5","4","3","","25.1",72.1,"188.1","20122013"
"Colgate","36","109","102","1038","10.5","1029",".901","22.7","80.9","5","1","","25.1",71.5,"182.8","20122013"
"Colorado College","42","133","141","1152","11.5","1410",".900","17.1","80.0","8","2","","24.9",72.3,"190.2","20122013"
"Connecticut","37","102","94","1161","8.8","1181",".920","18.6","85.8","1","5","","25.7",71.9,"184.4","20122013"
"Cornell","34","83","91","936","8.9","995",".909","14.7","79.2","2","0","","24.6",72.7,"191.3","20122013"
