Team,Conference,Season
Air Force,Atlantic Hockey,20162017
Alabama-Huntsville,WCHA,20162017
Alaska,WCHA,20162017
Alaska-Anchorage,WCHA,20162017
American International,Atlantic Hockey,20162017
Arizona State,Independent,20162017
Army,Atlantic Hockey,20162017
Bemidji State,WCHA,20162017
Bentley,Atlantic Hockey,20162017
Boston College,Hockey East,20162017
Boston University,Hockey East,20162017
Bowling Green,WCHA,20162017
Brown,ECAC,20162017
Canisius,Atlantic Hockey,20162017
Clarkson,ECAC,20162017
Colgate,ECAC,20162017
Colorado College,NCHC,20162017
Connecticut,Hockey East,20162017
Cornell,ECAC,20162017
Dartmouth,ECAC,20162017
Denver,NCHC,20162017
Ferris State,WCHA,20162017
Harvard,ECAC,20162017
Holy Cross,Atlantic Hockey,20162017
Lake Superior,WCHA,20162017
Maine,Hockey East,20162017
Massachusetts,Hockey East,20162017
Massachusetts-Lowell,Hockey East,20162017
Mercyhurst,Atlantic Hockey,20162017
Merrimack,Hockey East,20162017
Miami,NCHC,20162017
Michigan,Big Ten,20162017
Michigan State,Big Ten,20162017
Michigan Tech,WCHA,20162017
Minnesota,Big Ten,20162017
Minnesota-Duluth,NCHC,20162017
Minnesota State,WCHA,20162017
Nebraska-Omaha,NCHC,20162017
New Hampshire,Hockey East,20162017
Niagara,Atlantic Hockey,20162017
North Dakota,NCHC,20162017
Northeastern,Hockey East,20162017
Northern Michigan,WCHA,20162017
Notre Dame,Hockey East,20162017
Ohio State,Big Ten,20162017
Penn State,Big Ten,20162017
Princeton,ECAC,20162017
Providence,Hockey East,20162017
Quinnipiac,ECAC,20162017
Rensselaer,ECAC,20162017
RIT,Atlantic Hockey,20162017
Robert Morris,Atlantic Hockey,20162017
Sacred Heart,Atlantic Hockey,20162017
St. Cloud State,NCHC,20162017
St. Lawrence,ECAC,20162017
Union,ECAC,20162017
Vermont,Hockey East,20162017
Western Michigan,NCHC,20162017
Wisconsin,Big Ten,20162017
Yale,ECAC,20162017
