"Team","GP","G","GA","Sh","Sh%","ShA","SV%","PP%","PK%","SHG","SHGA","FO%","Age","Ht","Wt","SAT","SATA","CF%","USAT","USATA","FF%","ESSAT","ESSATA","ESCF%","ESUSAT","ESUSATA","ESFF%","PPSAT","PPSATA","PPCF%","PPUSAT","PPUSATA","PPFF%","CloseSAT","CloseSATA","CloseCF%","CloseUSAT","CloseUSATA","CloseFF%","Season"
"Air Force","43","115","94","1209","9.5","1141",".918","14.0","84.1","2","6","51.9","22.6",71.7,"181.7","2448","2133","53.4","1843","1594","53.6","1938","1646","54.1","1467","1241","54.2","420","410","50.6","301","283","51.5","1248","973","56.2","942","759","55.4","20172018"
"Alabama-Huntsville","37","84","121","859","9.8","1189",".898","15.2","77.7","5","8","45.1","22.11",71,"180.6","1608","2244","41.7","1219","1703","41.7","1142","1617","41.4","873","1244","41.2","409","557","42.3","293","399","42.3","647","955","40.4","504","738","40.6","20172018"
"Alaska","36","97","118","1005","9.7","1031",".886","13.0","80.8","0","2","52.4","22.6",71.3,"192.7","1701","1867","47.7","1378","1411","49.4","1233","1364","47.5","1014","1030","49.6","423","435","49.3","323","329","49.5","710","876","44.8","579","659","46.8","20172018"
"Alaska-Anchorage","34","65","124","742","8.8","1202",".897","11.7","76.1","2","3","43.6","22.9",71.4,"183.5","1100","1921","36.4","860","1496","36.5","832","1418","37.0","651","1108","37.0","229","447","33.9","181","336","35.0","440","806","35.3","334","616","35.2","20172018"
"American International","39","88","116","1140","7.7","1051",".890","16.1","77.6","2","5","49.6","22.9",72.4,"187.8","2059","1884","52.2","1587","1475","51.8","1626","1468","52.6","1242","1150","51.9","378","351","51.9","295","265","52.7","896","812","52.5","700","639","52.3","20172018"
"Arizona State","34","77","123","903","8.5","1292",".905","13.1","81.9","3","1","47.2","22.5",73.1,"195.5","1775","2271","43.9","1303","1788","42.2","1348","1723","43.9","992","1344","42.5","383","481","44.3","272","384","41.5","809","1038","43.8","587","810","42.0","20172018"
"Army","36","93","91","942","9.9","1124",".919","18.5","88.1","3","4","48.8","22.11",71.8,"184.3","1735","2079","45.5","1335","1598","45.5","1309","1556","45.7","1014","1184","46.1","369","482","43.4","270","376","41.8","857","1053","44.9","663","804","45.2","20172018"
"Bemidji State","38","103","95","1175","8.8","958",".901","21.5","86.6","3","5","48.9","23.0",71,"187.8","2236","1763","55.9","1717","1378","55.5","1710","1386","55.2","1330","1090","55.0","450","316","58.7","321","236","57.6","1084","931","53.8","840","734","53.4","20172018"
"Bentley","37","96","114","1056","9.1","1161",".902","22.0","77.9","3","4","46.7","22.5",71.4,"186.5","1941","2111","47.9","1493","1669","47.2","1440","1577","47.7","1114","1258","47.0","449","456","49.6","331","339","49.4","890","970","47.8","687","770","47.2","20172018"
"Boston College","37","108","99","1117","9.7","1100",".910","18.2","81.1","7","3","52.0","20.9",72.2,"186.1","1995","1760","53.1","1599","1452","52.4","1507","1371","52.4","1214","1125","51.9","411","330","55.5","317","271","53.9","970","882","52.4","772","726","51.5","20172018"
"Boston University","40","124","105","1355","9.2","1179",".911","21.4","78.4","4","1","47.3","20.8",72.3,"185.5","2486","2279","52.2","1905","1738","52.3","1950","1770","52.4","1489","1360","52.3","469","448","51.1","362","328","52.5","1193","1110","51.8","897","852","51.3","20172018"
"Bowling Green","41","122","100","1208","10.1","1099",".909","21.2","82.5","4","1","50.6","21.11",72.6,"189.9","2242","2013","52.7","1723","1553","52.6","1668","1484","52.9","1282","1156","52.6","473","488","49.2","354","363","49.4","1052","868","54.8","804","680","54.2","20172018"
"Brown","31","67","104","927","7.2","996",".896","16.9","74.5","1","3","47.7","22.0",72.1,"187.0","1780","1830","49.3","1351","1444","48.3","1393","1361","50.6","1056","1065","49.8","335","426","44.0","247","342","41.9","756","824","47.8","575","657","46.7","20172018"
"Canisius","38","117","108","1033","11.3","1257",".914","21.7","82.1","7","3","50.2","22.9",72.3,"188.6","1925","2358","44.9","1487","1875","44.2","1437","1745","45.2","1118","1395","44.5","420","548","43.4","307","429","41.7","847","1071","44.2","655","850","43.5","20172018"
