Team,Code
Air Force,afam
Alabama-Huntsville,alhm
Alaska,akfm
Alaska-Anchorage,akam
American International,aicm
Arizona State,asum
Army,armm
Bemidji State,bmjm
Bentley,benm
Boston College,bc_m
Boston University,bu_m
Bowling Green,bgsm
Brown,brnm
Canisius,cnsm
Clarkson,clkm
Colgate,clgm
Colorado College,cc_m
Connecticut,conm
Cornell,corm
Dartmouth,darm
Denver,denm
Ferris State,fsum
Harvard,harm
Holy Cross,hcrm
Lake Superior State,lssm
Maine,mnem
Massachusetts,umam
Massachusetts-Lowell,umlm
Mercyhurst,mrcm
Merrimack,merm
Miami,miam
Michigan,micm
Michigan State,msum
Michigan Tech,mtum
Minnesota,minm
Minnesota State,mnsm
Minnesota-Duluth,mndm
Nebraska-Omaha,unom
New Hampshire,unhm
Niagara,niam
North Dakota,ndkm
Northeastern,noem
Northern Michigan,nmum
Notre Dame,ndmm
Ohio State,osum
Penn State,psum
Princeton,prnm
Providence,prvm
Quinnipiac,quim
Rensselaer,renm
RIT,ritm
Robert Morris,rmum
Sacred Heart,sacm
St. Cloud State,stcm
St. Lawrence,stlm
Union,unim
Vermont,verm
Western Michigan,wmum
Wisconsin,wism
Yale,yalm
