"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label","Lon","Lat","Season"
2,"Kyle Mackey","JR","D","Derby, New York","Air Force","derby new york","Air Force: 02 Kyle Mackey - Derby, New York (JR-D)",-78.9797271,42.6864471,20162017
3,"Johnny Hrabovsky","SR","D","Humelstown, Pennsylvania","Air Force","humelstown pennsylvania","Air Force: 03 Johnny Hrabovsky - Humelstown, Pennsylvania (SR-D)",-76.7083033,40.2653681,20162017
4,"Phil Boje","JR","D","Shoreview, Minnesota","Air Force","shoreview minnesota","Air Force: 04 Phil Boje - Shoreview, Minnesota (JR-D)",-93.1471667,45.0791325,20162017
6,"Mathew Buchill","FR","D","Marshfield, Massachusetts","Air Force","marshfield massachusetts","Air Force: 06 Mathew Buchill - Marshfield, Massachusetts (FR-D)",-70.7055871,42.0917453,20162017
7,"Matt Koch","SO","D","Hastings, Minnesota","Air Force","hastings minnesota","Air Force: 07 Matt Koch - Hastings, Minnesota (SO-D)",-92.8513706,44.7443293,20162017
9,"Trevor Stone","FR","F","Pleasant Plains, Illinois","Air Force","pleasant plains illinois","Air Force: 09 Trevor Stone - Pleasant Plains, Illinois (FR-F)",-89.9212211,39.8728269,20162017
10,"Jordan Himley","JR","F","Mundelein, Illinois","Air Force","mundelein illinois","Air Force: 10 Jordan Himley - Mundelein, Illinois (JR-F)",-88.0039653,42.263079,20162017
12,"Matt Serratore","SO","F","Bemidji, Minnesota","Air Force","bemidji minnesota","Air Force: 12 Matt Serratore - Bemidji, Minnesota (SO-F)",-94.8858492,47.4875361,20162017
13,"Tyler Ledford","JR","F","Colorado Springs, Colorado","Air Force","colorado springs colorado","Air Force: 13 Tyler Ledford - Colorado Springs, Colorado (JR-F)",-104.8213634,38.8338816,20162017
14,"Ben Kucera","JR","F","Leawood, Kansas","Air Force","leawood kansas","Air Force: 14 Ben Kucera - Leawood, Kansas (JR-F)",-94.6169012,38.966673,20162017
15,"Evan Giesler","SO","F","Naperville, Illinois","Air Force","naperville illinois","Air Force: 15 Evan Giesler - Naperville, Illinois (SO-F)",-88.1535352,41.7508391,20162017
16,"Kyle Haak","SO","F","Okemos, Michigan","Air Force","okemos michigan","Air Force: 16 Kyle Haak - Okemos, Michigan (SO-F)",-84.4274744,42.722257,20162017
17,"Joe Tyran","FR","D","Wadsworth, Illinois","Air Force","wadsworth illinois","Air Force: 17 Joe Tyran - Wadsworth, Illinois (FR-D)",-87.9239651,42.4286321,20162017
18,"Evan Feno","SO","F","Morrison, Colorado","Air Force","morrison colorado","Air Force: 18 Evan Feno - Morrison, Colorado (SO-F)",-105.1910996,39.6535988,20162017
19,"Doug Gutierrez","FR","F","San Jose, California","Air Force","san jose california","Air Force: 19 Doug Gutierrez - San Jose, California (FR-F)",-121.8863286,37.3382082,20162017
20,"Dan Bailey","SO","D","St. Cloud, Minnesota","Air Force","st cloud minnesota","Air Force: 20 Dan Bailey - St. Cloud, Minnesota (SO-D)",-94.1632404,45.5579451,20162017
21,"Matt Pulver","FR","F","Chippewa Falls, Wisconsin","Air Force","chippewa falls wisconsin","Air Force: 21 Matt Pulver - Chippewa Falls, Wisconsin (FR-F)",-91.3929348,44.9369054,20162017
22,"Pierce Pluemer","FR","F","Phillips, Wisconsin","Air Force","phillips wisconsin","Air Force: 22 Pierce Pluemer - Phillips, Wisconsin (FR-F)",-90.4004296,45.6966257,20162017
23,"Dylan Abood","JR","D","Centennial, Colorado","Air Force","centennial colorado","Air Force: 23 Dylan Abood - Centennial, Colorado (JR-D)",-104.8771726,39.5807452,20162017
24,"A.J. Reid","SR","F","Lakeville, Minnesota","Air Force","lakeville minnesota","Air Force: 24 A.J. Reid - Lakeville, Minnesota (SR-F)",-93.24272,44.6496868,20162017
25,"Tyler Rostenkowski","SR","F","Bloomingdale, Illinois","Air Force","bloomingdale illinois","Air Force: 25 Tyler Rostenkowski - Bloomingdale, Illinois (SR-F)",-88.0809036,41.9575285,20162017
26,"Erich Jaeger","FR","F","Couer d'Alena, Idaho","Air Force","couer dalena idaho","Air Force: 26 Erich Jaeger - Couer dAlena, Idaho (FR-F)",-116.7804664,47.6776832,20162017
27,"Erik Baskin","JR","F","Minnetonka, Minnesota","Air Force","minnetonka minnesota","Air Force: 27 Erik Baskin - Minnetonka, Minnesota (JR-F)",-93.4687489,44.9211836,20162017
28,"Brady Tomlak","FR","F","Oakland, Michigan","Air Force","oakland michigan","Air Force: 28 Brady Tomlak - Oakland, Michigan (FR-F)",-83.1434573,42.7561109,20162017
33,"Mac Wartick","FR","G","Apple Valley, Minnesota","Air Force","apple valley minnesota","Air Force: 33 Mac Wartick - Apple Valley, Minnesota (FR-G)",-93.21772,44.7319094,20162017
40,"Shane Starrett","SO","G","Bellingham, Massachusetts","Air Force","bellingham massachusetts","Air Force: 40 Shane Starrett - Bellingham, Massachusetts (SO-G)",-71.4745881,42.0867608,20162017
44,"Billy Christopoulos","SO","G","Raleigh, North Carolina","Air Force","raleigh north carolina","Air Force: 44 Billy Christopoulos - Raleigh, North Carolina (SO-G)",-78.6381787,35.7795897,20162017
52,"Jonathan Kopacka","JR","D","Lapeer, Michigan","Air Force","lapeer michigan","Air Force: 52 Jonathan Kopacka - Lapeer, Michigan (JR-D)",-83.3188341,43.0514161,20162017
2,"Cam Knight","SO","D","Reading, Massachusetts","Alabama-Huntsville","reading massachusetts","Alabama-Huntsville: 02 Cam Knight - Reading, Massachusetts (SO-D)",-71.0952891,42.5256563,20162017
4,"Connor James","FR","D","Wainwright, Alberta","Alabama-Huntsville","wainwright alberta","Alabama-Huntsville: 04 Connor James - Wainwright, Alberta (FR-D)",-110.8504696,52.83307,20162017
5,"Cody Champagne","JR","D","Brookfield, Connecticut","Alabama-Huntsville","brookfield connecticut","Alabama-Huntsville: 05 Cody Champagne - Brookfield, Connecticut (JR-D)",-73.4095652,41.4825947,20162017
6,"Sean Rappleyea","FR","D","Sayreville, New Jersey","Alabama-Huntsville","sayreville new jersey","Alabama-Huntsville: 06 Sean Rappleyea - Sayreville, New Jersey (FR-D)",-74.360846,40.4594021,20162017
7,"Max McHugh","JR","F","Seattle, Washington","Alabama-Huntsville","seattle washington","Alabama-Huntsville: 07 Max McHugh - Seattle, Washington (JR-F)",-122.3320708,47.6062095,20162017
8,"John Teets","SO","D","Fairbanks, Alaska","Alabama-Huntsville","fairbanks alaska","Alabama-Huntsville: 08 John Teets - Fairbanks, Alaska (SO-D)",-147.7163889,64.8377778,20162017
9,"Hunter Anderson","SO","F","Savage, Minnesota","Alabama-Huntsville","savage minnesota","Alabama-Huntsville: 09 Hunter Anderson - Savage, Minnesota (SO-F)",-93.3591147,44.7647329,20162017
10,"Brent Fletcher","SR","F","New Westminster, British Columbia","Alabama-Huntsville","new westminster british columbia","Alabama-Huntsville: 10 Brent Fletcher - New Westminster, British Columbia (SR-F)",-122.910956,49.2057179,20162017
11,"Jordan Larson","FR","F","Fort Frances, Ontario","Alabama-Huntsville","fort frances ontario","Alabama-Huntsville: 11 Jordan Larson - Fort Frances, Ontario (FR-F)",-93.3955282,48.6099494,20162017
12,"Regan Soquila","SR","F","Maple Ridge, British Columbia","Alabama-Huntsville","maple ridge british columbia","Alabama-Huntsville: 12 Regan Soquila - Maple Ridge, British Columbia (SR-F)",-122.598398,49.2193226,20162017
14,"Madison Dunn","SO","F","Calgary, Alberta","Alabama-Huntsville","calgary alberta","Alabama-Huntsville: 14 Madison Dunn - Calgary, Alberta (SO-F)",-114.0708459,51.0486151,20162017
15,"Hans Gorowsky","SO","F","Lino Lakes, Minnesota","Alabama-Huntsville","lino lakes minnesota","Alabama-Huntsville: 15 Hans Gorowsky - Lino Lakes, Minnesota (SO-F)",-93.0888324,45.1602442,20162017
16,"Jetlan Houcher","SO","F","Paradise Valley, Alberta","Alabama-Huntsville","paradise valley alberta","Alabama-Huntsville: 16 Jetlan Houcher - Paradise Valley, Alberta (SO-F)",-110.294977,53.030644,20162017
18,"Austin Beaulieu","FR","F","Coral Springs, Florida","Alabama-Huntsville","coral springs florida","Alabama-Huntsville: 18 Austin Beaulieu - Coral Springs, Florida (FR-F)",-80.2706044,26.271192,20162017
19,"Brandon Salerno","FR","F","Toronto, Ontario","Alabama-Huntsville","toronto ontario","Alabama-Huntsville: 19 Brandon Salerno - Toronto, Ontario (FR-F)",-79.3831843,43.653226,20162017
20,"Brandon Parker","JR","D","Faribault, Minnesota","Alabama-Huntsville","faribault minnesota","Alabama-Huntsville: 20 Brandon Parker - Faribault, Minnesota (JR-D)",-93.268827,44.2949636,20162017
