Number,Name,Class,Position,Hometown,Team,Simple.Hometown,Label,Season
2,Kyle Mackey,SR,D,"Derby, New York",Air Force,derby new york,"Air Force: 02 Kyle Mackey - Derby, New York (SR-D)",20172018
3,Jake Levin,FR,D,"Mequon, Wisconsin",Air Force,mequon wisconsin,"Air Force: 03 Jake Levin - Mequon, Wisconsin (FR-D)",20172018
4,Phil Boje,SR,D,"Shoreview, Minnesota",Air Force,shoreview minnesota,"Air Force: 04 Phil Boje - Shoreview, Minnesota (SR-D)",20172018
6,Alex Mehnert,FR,D,"Moorhead, Minnesota",Air Force,moorhead minnesota,"Air Force: 06 Alex Mehnert - Moorhead, Minnesota (FR-D)",20172018
7,Matt Koch,JR,D,"Hastings, Minnesota",Air Force,hastings minnesota,"Air Force: 07 Matt Koch - Hastings, Minnesota (JR-D)",20172018
8,Marshall Bowery,FR,F,"Rochester Hills, Michigan",Air Force,rochester hills michigan,"Air Force: 08 Marshall Bowery - Rochester Hills, Michigan (FR-F)",20172018
9,Trevor Stone,SO,F,"Pleasant Plains, Illinois",Air Force,pleasant plains illinois,"Air Force: 09 Trevor Stone - Pleasant Plains, Illinois (SO-F)",20172018
10,Jordan Himley,SR,F,"Mundelein, Illinois",Air Force,mundelein illinois,"Air Force: 10 Jordan Himley - Mundelein, Illinois (SR-F)",20172018
11,Max Harper,FR,F,"Rochester Hills, Minnesota",Air Force,rochester hills minnesota,"Air Force: 11 Max Harper - Rochester Hills, Minnesota (FR-F)",20172018
12,Matt Serratore,JR,F,"Bemidji, Minnesota",Air Force,bemidji minnesota,"Air Force: 12 Matt Serratore - Bemidji, Minnesota (JR-F)",20172018
13,Tyler Ledford,SR,F,"Colorado Springs, Colorado",Air Force,colorado springs colorado,"Air Force: 13 Tyler Ledford - Colorado Springs, Colorado (SR-F)",20172018
14,Ben Kucera,SR,F,"Leawood, Kansas",Air Force,leawood kansas,"Air Force: 14 Ben Kucera - Leawood, Kansas (SR-F)",20172018
15,Evan Giesler,JR,F,"Naperville, Illinois",Air Force,naperville illinois,"Air Force: 15 Evan Giesler - Naperville, Illinois (JR-F)",20172018
16,Kyle Haak,JR,F,"Okemos, Michigan",Air Force,okemos michigan,"Air Force: 16 Kyle Haak - Okemos, Michigan (JR-F)",20172018
17,Joe Tyran,SO,D,"Wadsworth, Illinois",Air Force,wadsworth illinois,"Air Force: 17 Joe Tyran - Wadsworth, Illinois (SO-D)",20172018
18,Evan Feno,JR,F,"Morrison, Colorado",Air Force,morrison colorado,"Air Force: 18 Evan Feno - Morrison, Colorado (JR-F)",20172018
19,Issac Theisen,FR,F,"Monroe, Michigan",Air Force,monroe michigan,"Air Force: 19 Issac Theisen - Monroe, Michigan (FR-F)",20172018
20,Dan Bailey,JR,D,"St. Cloud, Minnesota",Air Force,st cloud minnesota,"Air Force: 20 Dan Bailey - St. Cloud, Minnesota (JR-D)",20172018
21,Matt Pulver,SO,F,"Chippewa Falls, Wisconsin",Air Force,chippewa falls wisconsin,"Air Force: 21 Matt Pulver - Chippewa Falls, Wisconsin (SO-F)",20172018
22,Pierce Pluemer,SO,F,"Phillips, Wisconsin",Air Force,phillips wisconsin,"Air Force: 22 Pierce Pluemer - Phillips, Wisconsin (SO-F)",20172018
23,Dylan Abood,SR,D,"Centennial, Colorado",Air Force,centennial colorado,"Air Force: 23 Dylan Abood - Centennial, Colorado (SR-D)",20172018
25,Alex Falconer,FR,F,"Kohler, Wisconsin",Air Force,kohler wisconsin,"Air Force: 25 Alex Falconer - Kohler, Wisconsin (FR-F)",20172018
26,Erich Jaeger,SO,F,"Couer d'Alena, Idaho",Air Force,couer dalena idaho,"Air Force: 26 Erich Jaeger - Couer d'Alena, Idaho (SO-F)",20172018
27,Erik Baskin,SR,F,"Minnetonka, Minnesota",Air Force,minnetonka minnesota,"Air Force: 27 Erik Baskin - Minnetonka, Minnesota (SR-F)",20172018
28,Brady Tomlak,SO,F,"Oakland, Michigan",Air Force,oakland michigan,"Air Force: 28 Brady Tomlak - Oakland, Michigan (SO-F)",20172018
29,Shawn Knowlton,FR,F,"Slingerlands, New York",Air Force,slingerlands new york,"Air Force: 29 Shawn Knowlton - Slingerlands, New York (FR-F)",20172018
30,Erik Anderson,FR,G,"Chanhassen, Minnesota",Air Force,chanhassen minnesota,"Air Force: 30 Erik Anderson - Chanhassen, Minnesota (FR-G)",20172018
31,Zack LaRocque,FR,G,"Arvada, Colorado",Air Force,arvada colorado,"Air Force: 31 Zack LaRocque - Arvada, Colorado (FR-G)",20172018
38,Will Ulrich,FR,G,"Birmingham, Michigan",Air Force,birmingham michigan,"Air Force: 38 Will Ulrich - Birmingham, Michigan (FR-G)",20172018
42,Walker Sommer,FR,F,"Avon, Ohio",Air Force,avon ohio,"Air Force: 42 Walker Sommer - Avon, Ohio (FR-F)",20172018
44,Billy Christopoulos,JR,G,"Raleigh, North Carolina",Air Force,raleigh north carolina,"Air Force: 44 Billy Christopoulos - Raleigh, North Carolina (JR-G)",20172018
52,Jonathan Kopacka,SR,D,"Lapeer, Michigan",Air Force,lapeer michigan,"Air Force: 52 Jonathan Kopacka - Lapeer, Michigan (SR-D)",20172018
74,Zack Mirageas,FR,D,"Newburyport, Massachusetts",Air Force,newburyport massachusetts,"Air Force: 74 Zack Mirageas - Newburyport, Massachusetts (FR-D)",20172018
2,Cam Knight,JR,D,"North Reading, Massachusetts",Alabama-Huntsville,north reading massachusetts,"Alabama-Huntsville: 02 Cam Knight - North Reading, Massachusetts (JR-D)",20172018
4,Connor James,SO,D,"Wainwright, Alberta",Alabama-Huntsville,wainwright alberta,"Alabama-Huntsville: 04 Connor James - Wainwright, Alberta (SO-D)",20172018
5,Cody Champagne,SR,D,"Brookfield, Connecticut",Alabama-Huntsville,brookfield connecticut,"Alabama-Huntsville: 05 Cody Champagne - Brookfield, Connecticut (SR-D)",20172018
6,Sean Rappleyea,SO,D,"Sayreville, New Jersey",Alabama-Huntsville,sayreville new jersey,"Alabama-Huntsville: 06 Sean Rappleyea - Sayreville, New Jersey (SO-D)",20172018
7,Max McHugh,SR,F,"Seattle, Washington",Alabama-Huntsville,seattle washington,"Alabama-Huntsville: 07 Max McHugh - Seattle, Washington (SR-F)",20172018
8,John Teets,JR,D,"Fairbanks, Alaska",Alabama-Huntsville,fairbanks alaska,"Alabama-Huntsville: 08 John Teets - Fairbanks, Alaska (JR-D)",20172018
9,Christian Rajic,FR,F,"Oakville, Ontario",Alabama-Huntsville,oakville ontario,"Alabama-Huntsville: 09 Christian Rajic - Oakville, Ontario (FR-F)",20172018
10,Andrew Dodson,FR,F,"Milton, Ontario",Alabama-Huntsville,milton ontario,"Alabama-Huntsville: 10 Andrew Dodson - Milton, Ontario (FR-F)",20172018
11,Levi Wunder,FR,F,"Escanaba, Michigan",Alabama-Huntsville,escanaba michigan,"Alabama-Huntsville: 11 Levi Wunder - Escanaba, Michigan (FR-F)",20172018
