## HomeTeam: the team playing at home;
## AwayTeam: the opponent visiting team;
## ScoreHome: the score of the home team;
## ScoreAway: the score of the visiting team;
## Date: the day in which the match was played.
HomeTeam	AwayTeam	ScoreHome	ScoreAway	Date
Utah 	 Phoenix 	86	100	2010-04-15
Portland 	 GoldenState	116	122	2010-04-15
L.A.Clippers  	 L.A.Lakers 	107	91	2010-04-15
Miami 	 NewJersey	94	86	2010-04-15
Atlanta 	 Cleveland	99	83	2010-04-15
Toronto 	 NewYork	131	113	2010-04-15
Houston 	 NewOrleans	115	123	2010-04-15
Orlando 	 Philadelphia	125	111	2010-04-15
Dallas 	 SanAntonio	96	89	2010-04-15
Oklahoma 	 Memphis	114	105	2010-04-15
Charlotte 	 Chicago	89	98	2010-04-15
Minnesota 	 Detroit	98	103	2010-04-15
Boston 	 Milwaukee	95	106	2010-04-15
Washington 	 Indiana	98	97	2010-04-15
Phoenix  	 Denver	123	101	2010-04-14
L.A.Lakers 	 Sacramento	106	100	2010-04-14
GoldenState 	 Utah	94	103	2010-04-14
Chicago 	 Boston	101	93	2010-04-14
L.A.Clippers  	 Dallas	94	117	2010-04-13
Sacramento 	 Houston	107	117	2010-04-13
Portland 	 Oklahoma	103	95	2010-04-13
Denver 	 Memphis	123	101	2010-04-13
SanAntonio 	 Minnesota	133	111	2010-04-13
Milwaukee 	 Atlanta	96	104	2010-04-13
NewYork 	 Washington	114	103	2010-04-13
NewJersey 	 Charlotte	95	105	2010-04-13
Detroit 	 Toronto	97	111	2010-04-13
Philadelphia 	 Miami	105	107	2010-04-13
Indiana 	 Orlando	98	118	2010-04-13
Phoenix  	 Houston	116	106	2010-04-12
GoldenState 	 Oklahoma	120	117	2010-04-12
NewOrleans 	 Minnesota	114	86	2010-04-12
NewYork 	 Miami	98	111	2010-04-12
Toronto 	 Chicago	88	104	2010-04-12
L.A.Lakers 	 Portland	88	91	2010-04-11
Cleveland 	 Orlando	92	98	2010-04-11
L.A.Clippers  	 GoldenState	107	104	2010-04-11
Sacramento 	 Dallas	108	126	2010-04-11
Denver 	 SanAntonio	85	104	2010-04-11
Milwaukee 	 Boston	90	105	2010-04-11
Memphis 	 Philadelphia	101	120	2010-04-11
Washington 	 Atlanta	95	105	2010-04-11
Indiana 	 NewJersey	115	102	2010-04-11
Charlotte 	 Detroit	99	95	2010-04-11
Portland 	 Dallas	77	83	2010-04-10
SanAntonio 	 Memphis	99	107	2010-04-10
Houston 	 Charlotte	97	90	2010-04-10
NewJersey 	 Chicago	127	116	2010-04-10
Minnesota 	 L.A.Lakers 	88	97	2010-04-10
Oklahoma 	 Phoenix 	96	91	2010-04-10
NewOrleans 	 Utah	103	114	2010-04-10
Atlanta 	 Toronto	107	101	2010-04-10
Miami 	 Detroit	99	106	2010-04-10
Cleveland 	 Indiana	113	116	2010-04-10
Boston 	 Washington	96	106	2010-04-10
Philadelphia 	 Milwaukee	90	95	2010-04-10
Orlando 	 NewYork	118	103	2010-04-10
Denver 	 L.A.Lakers 	98	96	2010-04-09
Sacramento 	 L.A.Clippers 	116	94	2010-04-09
Chicago 	 Cleveland	109	108	2010-04-09
Phoenix  	 SanAntonio	112	101	2010-04-08
L.A.Clippers  	 Portland	85	93	2010-04-08
Dallas 	 Memphis	110	84	2010-04-08
Milwaukee 	 NewJersey	108	89	2010-04-08
Oklahoma 	 Denver	94	98	2010-04-08
NewOrleans 	 Charlotte	103	104	2010-04-08
Houston 	 Utah	113	96	2010-04-08
Minnesota 	 GoldenState	107	116	2010-04-08
Miami 	 Philadelphia	99	95	2010-04-08
Detroit 	 Atlanta	90	88	2010-04-08
Indiana 	 NewYork	113	105	2010-04-08
Orlando 	 Washington	121	94	2010-04-08
