"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label"
2,"Kyle Mackey","JR","D","Derby, New York","Air Force","derby new york","Air Force: 02 Kyle Mackey - Derby, New York (JR-D)"
3,"Johnny Hrabovsky","SR","D","Humelstown, Pennsylvania","Air Force","humelstown pennsylvania","Air Force: 03 Johnny Hrabovsky - Humelstown, Pennsylvania (SR-D)"
4,"Phil Boje","JR","D","Shoreview, Minnesota","Air Force","shoreview minnesota","Air Force: 04 Phil Boje - Shoreview, Minnesota (JR-D)"
6,"Mathew Buchill","FR","D","Marshfield, Massachusetts","Air Force","marshfield massachusetts","Air Force: 06 Mathew Buchill - Marshfield, Massachusetts (FR-D)"
7,"Matt Koch","SO","D","Hastings, Minnesota","Air Force","hastings minnesota","Air Force: 07 Matt Koch - Hastings, Minnesota (SO-D)"
9,"Trevor Stone","FR","F","Pleasant Plains, Illinois","Air Force","pleasant plains illinois","Air Force: 09 Trevor Stone - Pleasant Plains, Illinois (FR-F)"
10,"Jordan Himley","JR","F","Mundelein, Illinois","Air Force","mundelein illinois","Air Force: 10 Jordan Himley - Mundelein, Illinois (JR-F)"
12,"Matt Serratore","SO","F","Bemidji, Minnesota","Air Force","bemidji minnesota","Air Force: 12 Matt Serratore - Bemidji, Minnesota (SO-F)"
13,"Tyler Ledford","JR","F","Colorado Springs, Colorado","Air Force","colorado springs colorado","Air Force: 13 Tyler Ledford - Colorado Springs, Colorado (JR-F)"
14,"Ben Kucera","JR","F","Leawood, Kansas","Air Force","leawood kansas","Air Force: 14 Ben Kucera - Leawood, Kansas (JR-F)"
15,"Evan Giesler","SO","F","Naperville, Illinois","Air Force","naperville illinois","Air Force: 15 Evan Giesler - Naperville, Illinois (SO-F)"
16,"Kyle Haak","SO","F","Okemos, Michigan","Air Force","okemos michigan","Air Force: 16 Kyle Haak - Okemos, Michigan (SO-F)"
17,"Joe Tyran","FR","D","Wadsworth, Illinois","Air Force","wadsworth illinois","Air Force: 17 Joe Tyran - Wadsworth, Illinois (FR-D)"
18,"Evan Feno","SO","F","Morrison, Colorado","Air Force","morrison colorado","Air Force: 18 Evan Feno - Morrison, Colorado (SO-F)"
19,"Doug Gutierrez","FR","F","San Jose, California","Air Force","san jose california","Air Force: 19 Doug Gutierrez - San Jose, California (FR-F)"
20,"Dan Bailey","SO","D","St. Cloud, Minnesota","Air Force","st cloud minnesota","Air Force: 20 Dan Bailey - St. Cloud, Minnesota (SO-D)"
21,"Matt Pulver","FR","F","Chippewa Falls, Wisconsin","Air Force","chippewa falls wisconsin","Air Force: 21 Matt Pulver - Chippewa Falls, Wisconsin (FR-F)"
22,"Pierce Pluemer","FR","F","Phillips, Wisconsin","Air Force","phillips wisconsin","Air Force: 22 Pierce Pluemer - Phillips, Wisconsin (FR-F)"
23,"Dylan Abood","JR","D","Centennial, Colorado","Air Force","centennial colorado","Air Force: 23 Dylan Abood - Centennial, Colorado (JR-D)"
24,"A.J. Reid","SR","F","Lakeville, Minnesota","Air Force","lakeville minnesota","Air Force: 24 A.J. Reid - Lakeville, Minnesota (SR-F)"
25,"Tyler Rostenkowski","SR","F","Bloomingdale, Illinois","Air Force","bloomingdale illinois","Air Force: 25 Tyler Rostenkowski - Bloomingdale, Illinois (SR-F)"
26,"Erich Jaeger","FR","F","Couer d'Alena, Idaho","Air Force","couer dalena idaho","Air Force: 26 Erich Jaeger - Couer d'Alena, Idaho (FR-F)"
27,"Erik Baskin","JR","F","Minnetonka, Minnesota","Air Force","minnetonka minnesota","Air Force: 27 Erik Baskin - Minnetonka, Minnesota (JR-F)"
28,"Brady Tomlak","FR","F","Oakland, Michigan","Air Force","oakland michigan","Air Force: 28 Brady Tomlak - Oakland, Michigan (FR-F)"
33,"Mac Wartick","FR","G","Apple Valley, Minnesota","Air Force","apple valley minnesota","Air Force: 33 Mac Wartick - Apple Valley, Minnesota (FR-G)"
40,"Shane Starrett","SO","G","Bellingham, Massachusetts","Air Force","bellingham massachusetts","Air Force: 40 Shane Starrett - Bellingham, Massachusetts (SO-G)"
44,"Billy Christopoulos","SO","G","Raleigh, North Carolina","Air Force","raleigh north carolina","Air Force: 44 Billy Christopoulos - Raleigh, North Carolina (SO-G)"
52,"Jonathan Kopacka","JR","D","Lapeer, Michigan","Air Force","lapeer michigan","Air Force: 52 Jonathan Kopacka - Lapeer, Michigan (JR-D)"
2,"Cam Knight","SO","D","Reading, Massachusetts","Alabama-Huntsville","reading massachusetts","Alabama-Huntsville: 02 Cam Knight - Reading, Massachusetts (SO-D)"
