"Day","Blank","Date","Time","Away","AwayScore","at","Home","HomeScore","OT","Notes","GameType","Box","Recap","TV"
"Fri.",NA,"9/30/2016","7:07 AT","Simon Fraser",1,"@","Alaska-Anchorage",6,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","5:07 ET","Alabama-Huntsville",2,"@","(20) Ferris State",1,"","","WC","Box","",""
"Sat.",NA,"10/1/2016","7:05 ET","Army West Point",2,"@","Colgate",2,"OT","","NC","Box","",""
"Sat.",NA,"10/1/2016","7:07 CT","(17) Michigan Tech",0,"@","(6) Minnesota-Duluth",6,"","","NC","Box","",""
"Sat.",NA,"10/1/2016","12:00 ET","Windsor",2,"@","(14) Bowling Green",3,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:05 ET","Prince Edward Island",2,"@","(4) Boston University",10,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:00 ET","Québec à Trois-Rivières",4,"@","Clarkson",3,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:00 ET","QC Trois Rivieres",4,"@","Clarkson",3,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:05 MT","Mount Royal",1,"@","(3) Denver",4,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:00 ET","Carleton",5,"@","Holy Cross",7,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:05 ET","Carleton (ON)",5,"@","Holy Cross",7,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:05 ET","New Brunswick",3,"@","Merrimack",5,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","5:05 ET","Guelph",6,"@","Mercyhurst",2,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:07 CT","Regina",3,"@","(19) Minnesota State",5,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","8:05 ET","Waterloo",1,"@","Miami",8,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","3:00 ET","Western Ontario",2,"@","Niagara",1,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:00 ET","Acadia",1,"@","(15) Northeastern",3,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:30 ET","McGill",1,"@","(2) Quinnipiac",2,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:05 ET","Brock",0,"@","RIT",3,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:05 ET","Queen's",2,"@","Robert Morris",2,"OT","","EX","Box","",""
"Sat.",NA,"10/1/2016","2:05 ET","St. Francis Xavier",4,"@","Connecticut",3,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:00 ET","Dalhousie",5,"@","Massachusetts",7,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:07 CT","Manitoba",1,"@","(1) North Dakota",5,"","","EX","Box","","MidcoSN"
"Sat.",NA,"10/1/2016","7:05 ET","Concordia (QC)",3,"@","Vermont",2,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:07 CT","Victoria",1,"@","Wisconsin",10,"","","EX","Box","",""
"Sat.",NA,"10/1/2016","7:05 ET","Toronto",4,"@","Western Michigan",3,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","3:07 ET","Alabama-Huntsville",4,"@","(20) Ferris State",3,"","","WC","Box","Recap",""
"Sun.",NA,"10/2/2016","4:07 CT","(17) Michigan Tech",3,"@","(6) Minnesota-Duluth",4,"","","NC","Box","Recap",""
"Sun.",NA,"10/2/2016","2:30 ET","Carleton",3,"@","(5) Boston College",4,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","2:30 ET","Carleton (ON)",3,"@","(5) Boston College",4,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","5:05 ET","Guelph",6,"@","Canisius",2,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","6:07 MT","Mount Royal",0,"@","Colorado College",3,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","5:00 ET","Laurentian",3,"@","Lake Superior",3,"OT","","EX","Box","",""
"Sun.",NA,"10/2/2016","4:00 ET","St. Francis Xavier",6,"@","Maine",5,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","4:05 ET","Toronto",2,"@","Michigan State",2,"OT","","EX","Box","",""
"Sun.",NA,"10/2/2016","5:05 ET","USA Under-18 Team",1,"@","(9) Notre Dame",5,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","7:07 ET","Victoria",1,"@","Northern Michigan",10,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","4:05 ET","Wilfrid Laurier",2,"@","Ohio State",9,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","4:05 ET","Acadia",0,"@","(10) Providence",3,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","1:00 ET","Queen's",0,"@","Penn State",8,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","4:00 ET","McGill",0,"@","Rensselaer",3,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","7:07 CT","Regina",2,"@","(7) St. Cloud State",6,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","12:00 ET","Ryerson",4,"@","Sacred Heart",7,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","4:00 ET","QC Trois Rivieres",1,"@","(16) St. Lawrence",4,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","4:00 ET","Québec à Trois-Rivières",1,"@","(16) St. Lawrence",4,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","3:07 AT","Simon Fraser",0,"@","Alaska",2,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","3:05 ET","Windsor",0,"@","(11) Michigan",2,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","4:00 ET","Prince Edward Island",0,"@","(8) Massachusetts-Lowell",7,"","","EX","Box","",""
"Sun.",NA,"10/2/2016","4:00 ET","New Brunswick",1,"@","New Hampshire",3,"","","EX","Box","",""
"Mon.",NA,"10/3/2016","6:05 MT","Mount Royal",1,"@","Air Force",5,"","","EX","Box","",""
"Thu.",NA,"10/6/2016","7:07 ET","Western Michigan",5,"@","(20) Ferris State",3,"","","NC","Box","",""
"Thu.",NA,"10/6/2016","7:00 ET","(16) St. Lawrence",2,"@","Penn State",4,"","","NC","Box","",""
"Thu.",NA,"10/6/2016","7:05 ET","USA Under-18 Team",2,"@","(4) Boston University",8,"","","EX","Box","",""
"Fri.",NA,"10/7/2016","7:05 ET","Sacred Heart",0,"@","Army West Point",4,"","","AH","Box","",""
"Fri.",NA,"10/7/2016","7:05 ET","Holy Cross",8,"@","Niagara",2,"","","AH","Box","",""
"Fri.",NA,"10/7/2016","7:05 ET","Robert Morris",3,"@","RIT",6,"","","AH","Box","","TWCS"
"Fri.",NA,"10/7/2016","7:07 CT","(14) Bowling Green",1,"@","Bemidji State",2,"","","WC","Box","","LPTV"
"Fri.",NA,"10/7/2016","7:07 CT","(17) Michigan Tech",1,"@","(19) Minnesota State",3,"","","WC","Box","","CharMank"
"Fri.",NA,"10/7/2016","4:35 MT","Air Force",2,"vs.","(5) Boston College",1,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:00 ET","Vermont",5,"@","Clarkson",2,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:35 MT","Ohio State",3,"@","(3) Denver",2,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:00 ET","Rensselaer",1,"@","Maine",5,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:35 ET","Arizona State",2,"@","(9) Notre Dame",9,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:07 CT","Wisconsin",2,"vs.","Northern Michigan",3,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:05 ET","Miami",3,"@","(10) Providence",4,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:00 ET","(16) St. Lawrence",6,"@","Penn State",3,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:00 ET","(15) Northeastern",2,"@","(2) Quinnipiac",2,"OT","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:07 AT","(13) Minnesota",6,"@","Alaska-Anchorage",0,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:05 ET","Alabama-Huntsville",0,"@","Connecticut",6,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:35 ET","Union",4,"@","(11) Michigan",3,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:00 ET","Colorado College",0,"@","Massachusetts",3,"","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:15 ET","(6) Minnesota-Duluth",4,"@","(8) Massachusetts-Lowell",4,"OT","","NC","Box","",""
"Fri.",NA,"10/7/2016","7:37 CT","Canisius",0,"@","(1) North Dakota",6,"","","NC","Box","","MidcoSN"
"Fri.",NA,"10/7/2016","7:05 ET","(20) Ferris State",1,"@","Western Michigan",2,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:05 ET","Holy Cross",4,"@","Niagara",4,"OT","","AH","Box","",""
"Sat.",NA,"10/8/2016","7:05 ET","Robert Morris",6,"@","RIT",5,"","","AH","Box","","TWCS"
"Sat.",NA,"10/8/2016","7:07 CT","(14) Bowling Green",1,"@","Bemidji State",4,"","","WC","Box","","LPTV"
"Sat.",NA,"10/8/2016","7:07 CT","(17) Michigan Tech",0,"@","(19) Minnesota State",4,"","","WC","Box","","CharMank"
"Sat.",NA,"10/8/2016","6:05 ET","(4) Boston University",6,"@","Colgate",1,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:00 ET","Rensselaer",2,"@","Maine",4,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:05 ET","Arizona State",2,"@","(9) Notre Dame",4,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:07 CT","Wisconsin",6,"vs.","Northern Michigan",5,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:05 ET","Miami",2,"@","(10) Providence",1,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:00 ET","(15) Northeastern",2,"@","(2) Quinnipiac",5,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:07 AT","Alaska",4,"@","Alaska-Anchorage",1,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","4:05 ET","Alabama-Huntsville",0,"@","Connecticut",4,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","5:05 ET","Union",0,"@","(11) Michigan",4,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:00 ET","Colorado College",7,"@","Massachusetts",4,"","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:00 ET","(6) Minnesota-Duluth",1,"@","(8) Massachusetts-Lowell",1,"OT","","NC","Box","",""
"Sat.",NA,"10/8/2016","7:07 CT","Canisius",1,"@","(1) North Dakota",4,"","","NC","Box","","MidcoSN"
