"Team","Wins","Losses","Ties","HomeWins","HomeLosses","HomeTies","AwayWins","AwayLosses","AwayTies","NeutralWins","NeutralLosses","NeutralTies","Pct","AdjPct","OppWinPct","OppOppWinPct","SOS","RPI"
"Denver",33,7,4,16,3,2,12,3,2,5,1,0,0.795454545454545,0.791666666666667,0.526985142170208,0.543630512159476,0.538969808562481,0.602144023088527
"Minnesota-Duluth",28,7,7,11,4,4,10,2,3,7,1,0,0.75,0.739336492890995,0.568122825784943,0.538027626633703,0.54645428239605,0.594674835019786
"Harvard",28,6,2,13,0,2,9,5,0,6,1,0,0.805555555555556,0.818713450292398,0.517730325045178,0.507322878615506,0.510236963615814,0.58735608528496
"Massachusetts-Lowell",27,11,3,11,5,2,12,5,1,4,1,0,0.695121951219512,0.694174757281553,0.49752208982536,0.519178203904556,0.513114491962381,0.558379558292174
"Boston University",24,12,3,13,3,2,8,6,1,3,3,0,0.653846153846154,0.6524064171123,0.550775285606819,0.513145477147274,0.523681823515946,0.555862971915035
"Western Michigan",22,13,5,14,4,3,6,6,2,2,3,0,0.6125,0.6,0.54880635539014,0.533448923657649,0.537749004542746,0.55331175340706
"Minnesota",23,12,3,11,3,2,10,6,1,2,3,0,0.644736842105263,0.650537634408602,0.528569129199643,0.517516216445413,0.520611032016598,0.553092682614599
"Union",25,10,3,12,3,1,12,5,2,1,2,0,0.697368421052632,0.707446808510638,0.486546939062107,0.501150795653595,0.497061715807978,0.549657988983643
"Penn State",25,12,2,14,5,1,7,5,1,4,2,0,0.666666666666667,0.654255319148936,0.51735717836491,0.511772376518642,0.513336121035597,0.548565920563932
"Air Force",27,10,5,11,4,2,12,5,2,4,1,1,0.702380952380952,0.707142857142857,0.503295728024525,0.48648269082779,0.491190341242876,0.545178470217871
"Notre Dame",23,12,5,14,5,4,7,5,1,2,2,0,0.6375,0.616580310880829,0.556427419679128,0.506100656581892,0.520192150249118,0.544289190407046
"North Dakota",21,16,3,11,8,2,8,6,1,2,2,0,0.5625,0.547738693467337,0.548705579939747,0.539870202418146,0.542344108124194,0.54369275445998
"Cornell",21,9,5,9,4,3,9,2,2,3,3,0,0.671428571428571,0.661016949152542,0.499858999064201,0.50620210545112,0.504426035662783,0.543573764035223
"Providence",22,12,5,13,3,3,9,7,2,0,2,0,0.628205128205128,0.631016042780749,0.49626271610769,0.513436909057537,0.50862813503158,0.539225111968872
"Boston College",21,15,4,10,4,2,9,5,1,2,6,1,0.575,0.573232323232323,0.550387284960412,0.509781174989529,0.521150885781376,0.534171245144113
"Ohio State",21,12,6,7,7,2,13,2,3,1,3,1,0.615384615384615,0.614077669902913,0.481743309043445,0.516053597377829,0.506446716644201,0.533354454958879
