"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType","HomeWin","AwayWin","Tournament","ConfTournament","NCAA","HomeConference","AwayConference"
20162017,"Alabama-Huntsville",2,"@","Ferris State",1,"","","2016-10-01","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Army",2,"@","Colgate",2,"OT","","2016-10-01","NC","Tie","Tie","No","No","No","ECAC","Atlantic Hockey"
20162017,"Michigan Tech",0,"@","Minnesota-Duluth",6,"","","2016-10-01","NC","Win","Loss","No","No","No","NCHC","WCHA"
20162017,"Alabama-Huntsville",4,"@","Ferris State",3,"","","2016-10-02","WC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Michigan Tech",3,"@","Minnesota-Duluth",4,"","","2016-10-02","NC","Win","Loss","No","No","No","NCHC","WCHA"
20162017,"Western Michigan",5,"@","Ferris State",3,"","","2016-10-06","NC","Loss","Win","No","No","No","WCHA","NCHC"
20162017,"St. Lawrence",2,"@","Penn State",4,"","","2016-10-06","NC","Win","Loss","No","No","No","Big Ten","ECAC"
20162017,"Sacred Heart",0,"@","Army",4,"","","2016-10-07","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Holy Cross",8,"@","Niagara",2,"","","2016-10-07","AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Robert Morris",3,"@","RIT",6,"","","2016-10-07","AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Bowling Green",1,"@","Bemidji State",2,"","","2016-10-07","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Michigan Tech",1,"@","Minnesota State",3,"","","2016-10-07","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Air Force",2,"vs.","Boston College",1,"","","2016-10-07","NC","Loss","Win","No","No","No","Hockey East","Atlantic Hockey"
20162017,"Vermont",5,"@","Clarkson",2,"","","2016-10-07","NC","Loss","Win","No","No","No","ECAC","Hockey East"
20162017,"Ohio State",3,"@","Denver",2,"","","2016-10-07","NC","Loss","Win","No","No","No","NCHC","Big Ten"
20162017,"Rensselaer",1,"@","Maine",5,"","","2016-10-07","NC","Win","Loss","No","No","No","Hockey East","ECAC"
20162017,"Arizona State",2,"@","Notre Dame",9,"","","2016-10-07","NC","Win","Loss","No","No","No","Hockey East","Independent"
20162017,"Wisconsin",2,"vs.","Northern Michigan",3,"","","2016-10-07","NC","Win","Loss","No","No","No","WCHA","Big Ten"
20162017,"Miami",3,"@","Providence",4,"","","2016-10-07","NC","Win","Loss","No","No","No","Hockey East","NCHC"
20162017,"St. Lawrence",6,"@","Penn State",3,"","","2016-10-07","NC","Loss","Win","No","No","No","Big Ten","ECAC"
20162017,"Northeastern",2,"@","Quinnipiac",2,"OT","","2016-10-07","NC","Tie","Tie","No","No","No","ECAC","Hockey East"
20162017,"Minnesota",6,"@","Alaska-Anchorage",0,"","","2016-10-07","NC","Loss","Win","No","No","No","WCHA","Big Ten"
20162017,"Alabama-Huntsville",0,"@","Connecticut",6,"","","2016-10-07","NC","Win","Loss","No","No","No","Hockey East","WCHA"
20162017,"Union",4,"@","Michigan",3,"","","2016-10-07","NC","Loss","Win","No","No","No","Big Ten","ECAC"
20162017,"Colorado College",0,"@","Massachusetts",3,"","","2016-10-07","NC","Win","Loss","No","No","No","Hockey East","NCHC"
20162017,"Minnesota-Duluth",4,"@","Massachusetts-Lowell",4,"OT","","2016-10-07","NC","Tie","Tie","No","No","No","Hockey East","NCHC"
20162017,"Canisius",0,"@","North Dakota",6,"","","2016-10-07","NC","Win","Loss","No","No","No","NCHC","Atlantic Hockey"
20162017,"Ferris State",1,"@","Western Michigan",2,"","","2016-10-07","NC","Win","Loss","No","No","No","NCHC","WCHA"
20162017,"Holy Cross",4,"@","Niagara",4,"OT","","2016-10-08","AH","Tie","Tie","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Robert Morris",6,"@","RIT",5,"","","2016-10-08","AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
20162017,"Bowling Green",1,"@","Bemidji State",4,"","","2016-10-08","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Michigan Tech",0,"@","Minnesota State",4,"","","2016-10-08","WC","Win","Loss","No","No","No","WCHA","WCHA"
20162017,"Boston University",6,"@","Colgate",1,"","","2016-10-08","NC","Loss","Win","No","No","No","ECAC","Hockey East"
20162017,"Rensselaer",2,"@","Maine",4,"","","2016-10-08","NC","Win","Loss","No","No","No","Hockey East","ECAC"
20162017,"Arizona State",2,"@","Notre Dame",4,"","","2016-10-08","NC","Win","Loss","No","No","No","Hockey East","Independent"
20162017,"Wisconsin",6,"vs.","Northern Michigan",5,"","","2016-10-08","NC","Loss","Win","No","No","No","WCHA","Big Ten"
20162017,"Miami",2,"@","Providence",1,"","","2016-10-08","NC","Loss","Win","No","No","No","Hockey East","NCHC"
20162017,"Northeastern",2,"@","Quinnipiac",5,"","","2016-10-08","NC","Win","Loss","No","No","No","ECAC","Hockey East"
20162017,"Alaska",4,"@","Alaska-Anchorage",1,"","","2016-10-08","NC","Loss","Win","No","No","No","WCHA","WCHA"
20162017,"Alabama-Huntsville",0,"@","Connecticut",4,"","","2016-10-08","NC","Win","Loss","No","No","No","Hockey East","WCHA"
20162017,"Union",0,"@","Michigan",4,"","","2016-10-08","NC","Win","Loss","No","No","No","Big Ten","ECAC"
20162017,"Colorado College",7,"@","Massachusetts",4,"","","2016-10-08","NC","Loss","Win","No","No","No","Hockey East","NCHC"
20162017,"Minnesota-Duluth",1,"@","Massachusetts-Lowell",1,"OT","","2016-10-08","NC","Tie","Tie","No","No","No","Hockey East","NCHC"
20162017,"Canisius",1,"@","North Dakota",4,"","","2016-10-08","NC","Win","Loss","No","No","No","NCHC","Atlantic Hockey"
