"Team","Wins","Losses","Ties","HomeWins","HomeLosses","HomeTies","AwayWins","AwayLosses","AwayTies","NeutralWins","NeutralLosses","NeutralTies","Pct","AdjPct","OppWinPct","OppOppWinPct","SOS","RPI"
"Denver",29,7,4,16,3,2,12,3,2,1,1,0,0.775,0.770408163265306,0.516067868116187,0.544412313302296,0.536475868650186,0.594958942303966
"Minnesota-Duluth",25,6,7,11,4,4,10,2,3,4,0,0,0.75,0.738219895287958,0.55647268083525,0.538526742883162,0.543551605509746,0.592218677954299
"Harvard",26,5,2,13,0,2,9,5,0,4,0,0,0.818181818181818,0.833333333333333,0.503793419158367,0.508651589164181,0.507291301562553,0.588801809505249
"Massachusetts-Lowell",26,10,3,11,5,2,12,5,1,3,0,0,0.705128205128205,0.704081632653061,0.490620011559703,0.519039359575994,0.511081942131432,0.55933186476184
"Minnesota",23,11,3,11,3,2,10,6,1,2,2,0,0.662162162162162,0.668508287292818,0.530650587871532,0.517807081030226,0.521403262945792,0.558179519032548
"Boston University",23,11,3,13,3,2,8,6,1,2,2,0,0.662162162162162,0.661016949152542,0.546297779467858,0.510396686163966,0.520448992289056,0.555590981504928
"Western Michigan",22,12,5,14,4,3,6,6,2,2,2,0,0.628205128205128,0.616216216216216,0.544610323848975,0.531756923319074,0.535355875467447,0.555570960654639
"Union",25,9,3,12,3,1,12,5,2,1,1,0,0.716216216216216,0.726775956284153,0.48503120731817,0.503291198004404,0.498178400612259,0.555327789530232
"Penn State",24,11,2,14,5,1,7,5,1,3,1,0,0.675675675675676,0.662921348314607,0.508904736725506,0.514746917172954,0.513111106647668,0.550563667064403
"Cornell",21,8,5,9,4,3,9,2,2,3,2,0,0.691176470588235,0.680232558139535,0.4974938421402,0.508608289031463,0.505496243901909,0.549180322461316
"North Dakota",21,15,3,11,8,2,8,6,1,2,1,0,0.576923076923077,0.561855670103093,0.547117191035854,0.538584163825292,0.540973411444249,0.54619397610896
"Air Force",26,9,5,11,4,2,12,5,2,3,0,1,0.7125,0.7175,0.492693818792164,0.485191643376833,0.487292252493126,0.544844189369844
"Providence",22,11,5,13,3,3,9,7,2,0,1,0,0.644736842105263,0.648351648351648,0.487715784682005,0.513554562881417,0.506319704985582,0.541827690827098
"Notre Dame",21,11,5,14,5,4,7,5,1,0,1,0,0.635135135135135,0.612359550561798,0.545614635564456,0.503578657881128,0.51534873163246,0.539601436364795
"Ohio State",21,11,6,7,7,2,13,2,3,1,2,1,0.631578947368421,0.629353233830846,0.478178569671532,0.517185969772132,0.506263897743964,0.537036231765684
"Boston College",21,15,4,10,4,2,9,5,1,2,6,1,0.575,0.573232323232323,0.553569815545125,0.508895812657627,0.521404533466127,0.534361480907676
"Vermont",20,13,5,13,6,1,5,7,4,2,0,0,0.592105263157895,0.585635359116022,0.519072280355111,0.510986635386054,0.51325061597739,0.531346801762048
"Wisconsin",20,15,1,8,9,1,9,4,0,3,2,0,0.569444444444444,0.553763440860215,0.529775260633159,0.517600066327064,0.521009120732771,0.529197700764632
"Nebraska-Omaha",17,17,5,6,10,2,10,7,3,1,0,0,0.5,0.504950495049505,0.535560680897751,0.532018970697274,0.533010649553407,0.525995610927432
"Quinnipiac",23,15,2,12,5,1,10,7,0,1,3,1,0.6,0.599489795918367,0.484681915446743,0.507466244049394,0.501086632040652,0.525687423010081
"Northeastern",18,15,5,11,4,2,6,10,2,1,1,1,0.539473684210526,0.544692737430168,0.521017698375137,0.512462782662221,0.514858159061837,0.52231680365392
"St. Cloud State",16,19,1,8,7,0,7,10,1,1,2,0,0.458333333333333,0.465909090909091,0.539515975742465,0.53666921557902,0.537466308424784,0.519577004045861
"St. Lawrence",17,13,7,11,5,2,6,8,3,0,0,2,0.554054054054054,0.553672316384181,0.530554144695954,0.498101685321928,0.507188373946655,0.518809359556037
"Clarkson",18,16,5,8,8,2,9,8,2,1,0,1,0.525641025641026,0.528061224489796,0.521970828814673,0.503674290697633,0.508797321370404,0.513613297150252
"Michigan Tech",23,14,7,12,4,4,10,9,3,1,1,0,0.602272727272727,0.610328638497653,0.469644041405395,0.482156591573927,0.478653077526738,0.511571967769467
"Canisius",21,11,7,11,2,5,10,7,2,0,2,0,0.628205128205128,0.634920634920635,0.452042217276535,0.477098755581279,0.470082924855951,0.511292352372122
"Robert Morris",22,12,4,11,6,2,7,5,2,4,1,0,0.631578947368421,0.620320855614973,0.473627805935122,0.47499835700723,0.474614602707039,0.511041165934023
"Minnesota State",22,13,4,13,3,3,9,10,1,0,0,0,0.615384615384615,0.625,0.477256236475386,0.47015419578744,0.472142767180065,0.510357075385049
"Bemidji State",22,16,3,13,8,1,9,6,2,0,2,0,0.573170731707317,0.561576354679803,0.497007326540433,0.478269612883713,0.483516172707594,0.503031218200646
"Merrimack",15,16,6,9,8,3,5,7,3,1,1,0,0.486486486486487,0.472527472527473,0.497935520863705,0.510338417450599,0.506865606406269,0.49828107293657
"Yale",13,15,5,8,7,1,4,8,3,1,0,1,0.46969696969697,0.465625,0.518928496337681,0.501191826637085,0.506158094153252,0.496024820614939
"Princeton",15,16,3,10,5,2,4,11,1,1,0,0,0.485294117647059,0.481012658227848,0.497681336003789,0.501395701563236,0.500355679206591,0.495519923961905
"Miami",9,20,7,6,8,3,3,12,4,0,0,0,0.347222222222222,0.346820809248555,0.578421242515088,0.523892630730005,0.539160642029828,0.49107568383451
"Army",18,14,5,13,5,0,4,7,5,1,2,0,0.554054054054054,0.551724137931034,0.462221916117073,0.473757719869941,0.470527694819138,0.490826805597112
"New Hampshire",15,20,5,7,9,2,8,10,2,0,1,1,0.4375,0.4425,0.497696572222149,0.507487723099778,0.504746200854042,0.489184650640531
"Connecticut",12,16,8,6,6,3,4,9,5,2,1,0,0.444444444444444,0.451428571428571,0.491521594168542,0.503561857943365,0.500190584086415,0.488000080921954
"Bowling Green",21,18,2,10,8,2,11,10,0,0,0,0,0.536585365853659,0.53921568627451,0.459300574871776,0.475408077315198,0.47089797663104,0.487977404041907
"Michigan",13,19,3,9,8,1,3,9,1,1,2,1,0.414285714285714,0.395833333333333,0.530535998202653,0.508153975303399,0.51442094171519,0.484774039619726
"Colorado College",8,24,4,1,13,2,5,11,2,2,0,0,0.277777777777778,0.290322580645161,0.56900191986174,0.529925996563214,0.540867255086801,0.478231086476391
"Holy Cross",14,15,7,9,5,4,5,9,3,0,1,0,0.486111111111111,0.482558139534884,0.458066415955753,0.476557536081512,0.4713800224463,0.474174551718446
"Bentley",13,19,7,5,9,3,7,10,4,1,0,0,0.423076923076923,0.433673469387755,0.503414529449944,0.479088548726878,0.485899823329336,0.472843234843941
"Sacred Heart",13,19,5,4,8,3,9,11,2,0,0,0,0.418918918918919,0.438502673796791,0.486800473197532,0.480489868869858,0.482256838081607,0.471318297010403
"Dartmouth",10,18,3,6,7,2,4,11,1,0,0,0,0.370967741935484,0.369127516778524,0.504047192251895,0.501089486973441,0.501917644451409,0.468720112533187
"Arizona State",8,19,3,3,7,1,5,12,2,0,0,0,0.316666666666667,0.340136054421769,0.508659921243512,0.506446163058134,0.50706601535004,0.465333525117972
"Mercyhurst",15,20,4,7,8,2,7,12,2,1,0,0,0.435897435897436,0.445026178010471,0.469909532854275,0.471616450104164,0.471138513274195,0.464610429458264
"Maine",11,21,4,10,8,0,0,13,4,1,0,0,0.361111111111111,0.345454545454545,0.474467402547898,0.511586878828172,0.501193425469695,0.462258705465908
"Northern Michigan",13,22,4,5,9,2,7,10,2,1,3,0,0.384615384615385,0.392857142857143,0.481969063584835,0.47687045174418,0.478298063059563,0.456937833008958
"Michigan State",7,24,4,2,13,1,5,8,2,0,3,1,0.257142857142857,0.265027322404372,0.557124490550238,0.506409004900997,0.520609340882784,0.456713836263181
"Ferris State",13,19,5,6,9,2,7,9,2,0,1,1,0.418918918918919,0.422043010752688,0.445506097652682,0.476235055142547,0.467630947045385,0.45623396297221
"Colgate",9,22,6,6,7,3,3,13,3,0,2,0,0.324324324324324,0.323863636363636,0.501667237666084,0.499477476164887,0.500090609385222,0.456033866129826
"RIT",14,22,1,6,13,1,8,9,0,0,0,0,0.391891891891892,0.387434554973822,0.470296258685541,0.474882346034094,0.473598241576499,0.45205731992583
"Alaska",12,20,4,5,10,1,7,9,3,0,1,0,0.388888888888889,0.398907103825137,0.46679779305352,0.468095126387996,0.467731873054343,0.450525680747041
"Lake Superior",11,18,7,8,5,3,3,13,4,0,0,0,0.402777777777778,0.407185628742515,0.428349001702295,0.476224437130206,0.462819315210391,0.448910893593422
"American International",8,20,8,3,9,4,5,11,4,0,0,0,0.333333333333333,0.344444444444444,0.441994654372628,0.472949704276522,0.464282290303432,0.434322828838685
"Rensselaer",8,28,1,5,10,1,3,16,0,0,2,0,0.22972972972973,0.225988700564972,0.488920224261036,0.501017879702307,0.497630536178751,0.429720077275306
"Alabama-Huntsville",9,22,3,2,10,2,7,10,1,0,2,0,0.308823529411765,0.325714285714286,0.436002476518564,0.467980178001093,0.459026421585985,0.42569838761806
"Alaska-Anchorage",7,21,6,4,10,2,2,10,4,1,1,0,0.294117647058824,0.291666666666667,0.464102564156133,0.471257940147707,0.469254434870066,0.424857492819216
"Massachusetts",5,29,2,3,13,1,1,14,0,1,2,1,0.166666666666667,0.155367231638418,0.499783025711818,0.507392987295401,0.505262198051998,0.417788456448603
"Brown",4,25,2,2,10,1,2,14,1,0,1,0,0.161290322580645,0.165562913907285,0.502871730417698,0.497822783962701,0.4992364889701,0.415818095204396
"Niagara",5,31,3,2,12,1,3,18,2,0,1,0,0.166666666666667,0.178947368421053,0.464456856227112,0.46954993165671,0.468123870536423,0.39582974500758
