"Team","Wins","Losses","Ties","HomeWins","HomeLosses","HomeTies","AwayWins","AwayLosses","AwayTies","NeutralWins","NeutralLosses","NeutralTies","Pct","AdjPct","OppWinPct","OppOppWinPct","SOS","RPI"
"North Dakota",34,6,4,16,2,1,13,3,1,5,1,2,0.818181818181818,0.819444444444445,0.478912241969356,0.545127965281491,0.526587562754093,0.599801783176681
"St. Cloud State",31,9,1,13,5,0,13,3,1,5,1,0,0.768292682926829,0.763285024154589,0.491038372729901,0.545909049598863,0.530545260075554,0.588730201095313
"Quinnipiac",32,4,7,15,2,4,11,1,3,6,1,0,0.825581395348837,0.816037735849057,0.532043718795709,0.505348286839426,0.512823007787185,0.588626689802653
"Denver",25,10,6,13,2,3,9,6,2,3,2,1,0.682926829268293,0.687817258883249,0.543141355030362,0.536369978994343,0.538265964284428,0.575653787934133
"Boston College",28,8,5,14,2,2,10,2,3,4,4,0,0.74390243902439,0.741293532338309,0.508140116616504,0.519912461406342,0.516616204865187,0.572785536733468
"Providence",27,7,4,15,1,2,11,3,2,1,3,0,0.763157894736842,0.766304347826087,0.492389978544221,0.509483331300272,0.504697192528578,0.570098981352955
"Michigan",25,8,5,12,3,2,7,3,3,6,2,0,0.723684210526316,0.718918918918919,0.52644533377208,0.508731364493453,0.513691275891469,0.564998186648331
"Massachusetts-Lowell",25,10,5,14,2,3,7,5,1,4,3,1,0.6875,0.681578947368421,0.486318585424006,0.512622530676475,0.505257426005784,0.549337806346443
"Harvard",19,11,4,8,3,2,8,3,2,3,5,0,0.617647058823529,0.617647058823529,0.556559478300081,0.511818518538225,0.524345987271545,0.547671255159541
"Boston University",21,13,5,14,2,2,6,9,2,1,2,1,0.602564102564103,0.608333333333333,0.556578726000353,0.508357822428084,0.521859675428319,0.543478089904573
"Notre Dame",19,11,7,11,6,3,7,4,4,1,1,0,0.608108108108108,0.595628415300546,0.53007728309459,0.52239638095001,0.524547033550492,0.542317378988006
"Yale",19,9,4,8,5,1,9,3,2,2,1,1,0.65625,0.653374233128834,0.488473362653958,0.510941022302613,0.50465007760099,0.541831116482951
"Minnesota-Duluth",19,16,5,10,6,2,7,8,3,2,2,0,0.5375,0.538461538461538,0.596886288055614,0.519108814255267,0.540886506919364,0.540280264804908
"Northeastern",22,14,5,10,5,1,8,6,4,4,3,0,0.597560975609756,0.603960396039604,0.534643886755297,0.508059291823852,0.515502978404657,0.537617332813394
"Michigan Tech",23,9,5,11,4,1,10,3,3,2,2,1,0.689189189189189,0.689189189189189,0.476076702828797,0.487173931893651,0.484066707755492,0.535347328113916
"Cornell",16,11,7,9,5,2,6,5,4,1,1,1,0.573529411764706,0.57185628742515,0.530327788398885,0.509480290500842,0.515317589912294,0.529452264290508
"Minnesota",20,17,0,10,9,0,9,5,0,1,3,0,0.540540540540541,0.526595744680851,0.548259083136163,0.51730399679732,0.525971420972196,0.52612750189936
"Nebraska-Omaha",18,17,1,10,8,0,8,9,1,0,0,0,0.513888888888889,0.514124293785311,0.538714338613411,0.525874728136467,0.529469819070012,0.525633437748837
