"Season","Away","AwayScore","at","Home","HomeScore","OT","Notes","Date","GameType","HomeWin","AwayWin","Tournament","ConfTournament","NCAA","HomeConference","AwayConference"
"20152016","Colgate",5,"@","Mercyhurst",2,"","",2015-10-03,"NC","Loss","Win","No","No","No","Atlantic Hockey","ECAC"
"20152016","Colgate",7,"@","Mercyhurst",9,"","",2015-10-04,"NC","Win","Loss","No","No","No","Atlantic Hockey","ECAC"
"20152016","Mercyhurst",3,"@","Bentley",1,"","",2015-10-09,"AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
"20152016","Denver",4,"@","Air Force",5,"OT","",2015-10-09,"NC","Win","Loss","No","No","No","Atlantic Hockey","NCHC"
"20152016","Boston College",5,"@","Army",1,"","",2015-10-09,"NC","Loss","Win","No","No","No","Atlantic Hockey","Hockey East"
"20152016","Massachusetts",6,"@","Colorado College",3,"","",2015-10-09,"NC","Loss","Win","No","No","No","NCHC","Hockey East"
"20152016","RIT",0,"@","Clarkson",6,"","",2015-10-09,"NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
"20152016","Quinnipiac",5,"@","Holy Cross",3,"","",2015-10-09,"NC","Loss","Win","No","No","No","Atlantic Hockey","ECAC"
"20152016","Nebraska-Omaha",3,"@","Minnesota State",2,"","",2015-10-09,"NC","Loss","Win","No","No","No","WCHA","NCHC"
"20152016","Providence",7,"@","Miami",3,"","",2015-10-09,"NC","Loss","Win","No","No","No","NCHC","Hockey East"
"20152016","Bowling Green",6,"@","Ohio State",3,"","",2015-10-09,"NC","Loss","Win","No","No","No","Big Ten","WCHA"
"20152016","Niagara",2,"@","St. Lawrence",5,"","",2015-10-09,"NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
"20152016","Connecticut",5,"@","Alabama-Huntsville",2,"","",2015-10-09,"NC","Loss","Win","No","No","No","WCHA","Hockey East"
"20152016","Sacred Heart",1,"@","Union",1,"OT","",2015-10-09,"NC","Tie","Tie","No","No","No","ECAC","Atlantic Hockey"
"20152016","Rensselaer",0,"@","Massachusetts-Lowell",3,"","",2015-10-09,"NC","Win","Loss","No","No","No","Hockey East","ECAC"
"20152016","Northern Michigan",2,"@","Wisconsin",2,"OT","",2015-10-09,"NC","Tie","Tie","No","No","No","Big Ten","WCHA"
"20152016","Ferris State",2,"@","Western Michigan",3,"","",2015-10-09,"NC","Win","Loss","No","No","No","NCHC","WCHA"
"20152016","Michigan State",3,"vs.","Maine",3,"OT","IceBreaker",2015-10-09,"NC","Tie","Tie","Yes","No","No","Hockey East","Big Ten"
"20152016","Lake Superior",2,"vs.","North Dakota",5,"","IceBreaker",2015-10-09,"NC","Win","Loss","Yes","No","No","NCHC","WCHA"
"20152016","Arizona State",2,"@","Alaska-Anchorage",3,"OT","Kendall Hockey Classic",2015-10-09,"NC","Win","Loss","Yes","No","No","WCHA","Independent"
"20152016","St. Cloud State",3,"vs.","Alaska",0,"","Kendall Hockey Classic",2015-10-09,"NC","Loss","Win","Yes","No","No","WCHA","NCHC"
"20152016","Mercyhurst",3,"@","Bentley",2,"","",2015-10-10,"AH","Loss","Win","No","No","No","Atlantic Hockey","Atlantic Hockey"
"20152016","Ohio State",0,"@","Bowling Green",2,"","",2015-10-10,"NC","Win","Loss","No","No","No","WCHA","Big Ten"
"20152016","Minnesota-Duluth",2,"@","Bemidji State",3,"","",2015-10-10,"NC","Win","Loss","No","No","No","WCHA","NCHC"
"20152016","Penn State",6,"@","Canisius",1,"","",2015-10-10,"NC","Loss","Win","No","No","No","Atlantic Hockey","Big Ten"
"20152016","Massachusetts",4,"@","Colorado College",3,"","",2015-10-10,"NC","Loss","Win","No","No","No","NCHC","Hockey East"
"20152016","Niagara",1,"@","Clarkson",4,"","",2015-10-10,"NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
"20152016","Air Force",1,"@","Denver",3,"","",2015-10-10,"NC","Win","Loss","No","No","No","NCHC","Atlantic Hockey"
"20152016","Western Michigan",1,"@","Ferris State",1,"OT","",2015-10-10,"NC","Tie","Tie","No","No","No","WCHA","NCHC"
"20152016","Nebraska-Omaha",2,"@","Minnesota State",0,"","",2015-10-10,"NC","Loss","Win","No","No","No","WCHA","NCHC"
"20152016","Providence",2,"@","Miami",2,"OT","",2015-10-10,"NC","Tie","Tie","No","No","No","NCHC","Hockey East"
"20152016","Colgate",1,"@","Northeastern",2,"","",2015-10-10,"NC","Win","Loss","No","No","No","Hockey East","ECAC"
"20152016","Holy Cross",2,"@","Quinnipiac",4,"","",2015-10-10,"NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
"20152016","RIT",1,"@","St. Lawrence",5,"","",2015-10-10,"NC","Win","Loss","No","No","No","ECAC","Atlantic Hockey"
"20152016","Connecticut",2,"@","Alabama-Huntsville",5,"","",2015-10-10,"NC","Win","Loss","No","No","No","WCHA","Hockey East"
"20152016","Boston University",3,"@","Union",5,"","",2015-10-10,"NC","Win","Loss","No","No","No","ECAC","Hockey East"
"20152016","Vermont",3,"@","Minnesota",0,"","",2015-10-10,"NC","Loss","Win","No","No","No","Big Ten","Hockey East"
"20152016","American International",3,"@","New Hampshire",7,"","",2015-10-10,"NC","Win","Loss","No","No","No","Hockey East","Atlantic Hockey"
"20152016","Northern Michigan",3,"@","Wisconsin",3,"OT","",2015-10-10,"NC","Tie","Tie","No","No","No","Big Ten","WCHA"
"20152016","Michigan State",4,"vs.","Lake Superior",1,"","IceBreaker",2015-10-10,"NC","Loss","Win","Yes","No","No","WCHA","Big Ten"
"20152016","North Dakota",1,"vs.","Maine",1,"OT","IceBreaker",2015-10-10,"NC","Tie","Tie","Yes","No","No","Hockey East","NCHC"
"20152016","St. Cloud State",6,"@","Alaska-Anchorage",2,"","Kendall Hockey Classic",2015-10-10,"NC","Loss","Win","Yes","No","No","WCHA","NCHC"
"20152016","Arizona State",2,"vs.","Alaska",1,"","Kendall Hockey Classic",2015-10-10,"NC","Loss","Win","Yes","No","No","WCHA","Independent"
"20152016","Boston College",1,"@","Rensselaer",2,"","",2015-10-11,"NC","Win","Loss","No","No","No","ECAC","Hockey East"
"20152016","Bowling Green",1,"@","Western Michigan",4,"","",2015-10-13,"NC","Win","Loss","No","No","No","NCHC","WCHA"
"20152016","Arizona State",0,"@","Quinnipiac",5,"","",2015-10-15,"NC","Win","Loss","No","No","No","ECAC","Independent"
"20152016","Air Force",1,"@","Robert Morris",5,"","",2015-10-16,"AH","Win","Loss","No","No","No","Atlantic Hockey","Atlantic Hockey"
"20152016","Michigan Tech",5,"@","Ferris State",1,"","",2015-10-16,"WC","Loss","Win","No","No","No","WCHA","WCHA"
"20152016","Wisconsin",0,"@","Boston College",6,"","",2015-10-16,"NC","Win","Loss","No","No","No","Hockey East","Big Ten"
"20152016","North Dakota",4,"@","Bemidji State",4,"OT","",2015-10-16,"NC","Tie","Tie","No","No","No","WCHA","NCHC"
"20152016","Bowling Green",4,"@","Canisius",2,"","",2015-10-16,"NC","Loss","Win","No","No","No","Atlantic Hockey","WCHA"
"20152016","Michigan State",2,"@","Denver",4,"","",2015-10-16,"NC","Win","Loss","No","No","No","NCHC","Big Ten"
"20152016","Clarkson",1,"@","Merrimack",7,"","",2015-10-16,"NC","Win","Loss","No","No","No","Hockey East","ECAC"
"20152016","Lake Superior",3,"@","Northern Michigan",6,"","",2015-10-16,"NC","Win","Loss","No","No","No","WCHA","WCHA"
"20152016","Bentley",3,"@","Northeastern",2,"","",2015-10-16,"NC","Loss","Win","No","No","No","Hockey East","Atlantic Hockey"
"20152016","Miami",3,"@","Ohio State",2,"","",2015-10-16,"NC","Loss","Win","No","No","No","Big Ten","NCHC"
"20152016","Holy Cross",1,"@","Providence",4,"","",2015-10-16,"NC","Win","Loss","No","No","No","Hockey East","Atlantic Hockey"
"20152016","Notre Dame",7,"@","Penn State",4,"","",2015-10-16,"NC","Loss","Win","No","No","No","Big Ten","Hockey East"
"20152016","Minnesota State",0,"@","St. Cloud State",4,"","",2015-10-16,"NC","Win","Loss","No","No","No","NCHC","WCHA"
"20152016","Maine",1,"@","Union",1,"OT","",2015-10-16,"NC","Tie","Tie","No","No","No","ECAC","Hockey East"
"20152016","Arizona State",1,"@","Connecticut",5,"","",2015-10-16,"NC","Win","Loss","No","No","No","Hockey East","Independent"
"20152016","Mercyhurst",4,"@","Michigan",6,"","",2015-10-16,"NC","Win","Loss","No","No","No","Big Ten","Atlantic Hockey"
"20152016","Sacred Heart",2,"@","Massachusetts",5,"","",2015-10-16,"NC","Win","Loss","No","No","No","Hockey East","Atlantic Hockey"
"20152016","Colorado College",2,"@","Massachusetts-Lowell",3,"","",2015-10-16,"NC","Win","Loss","No","No","No","Hockey East","NCHC"
