"Team","RPI","AdjustedRPI","QWB","QWBAdjustedRPI","AdjustedWinPct","SOS","PairwiseComparisonsWon","UnadjustedWinPct","GamesDropped","QWBAdjRPIRank","RPIRank","SOSRank","WinRank"
"Air Force",0.5081,".5081",0.0012,0.5093,0.6136,0.473,31,0.6081,FALSE,27,28,48,13
"Alabama-Huntsville",0.4331,".4331",0,0.4331,0.2857,0.4822,4,0.2941,FALSE,54,54,45,52
"Alaska",0.4457,".4457",0,0.4457,0.3352,0.4825,8,0.3333,FALSE,51,50,44,48
"Alaska-Anchorage",0.4473,".4473",0.0011,0.4484,0.3567,0.4775,9,0.3676,FALSE,49,49,46,46
"American International",0.4007,".4007",2e-04,0.4008,0.2234,0.4598,0,0.2179,FALSE,58,58,56,57
"Arizona State",0.4016,".4016",0,0.4016,0.1532,0.4844,1,0.12,FALSE,57,57,43,60
"Army",0.4683,".4683",2e-04,0.4685,0.4767,0.4655,19,0.4868,FALSE,39,38,54,35
"Bemidji State",0.4957,".4957",0.0021,0.4978,0.515,0.4893,30,0.5128,FALSE,29,30,40,31
"Bentley",0.4601,".4601",0.001,0.4611,0.4279,0.4709,13,0.425,FALSE,45,45,49,38
"Boston College",0.5718,".5718",0.0078,0.5796,0.7413,0.5153,56,0.7439,FALSE,4,5,13,5
"Boston University",0.5443,".5443",0.0089,0.5532,0.6083,0.523,51,0.6026,FALSE,8,10,11,14
"Bowling Green",0.5126,".5126",6e-04,0.5132,0.5902,0.4867,33,0.5952,FALSE,25,26,41,19
"Brown",0.4498,".4498",0.0018,0.4516,0.273,0.5087,11,0.2742,FALSE,47,48,21,54
"Canisius",0.4437,".4437",1e-04,0.4438,0.3692,0.4685,5,0.3718,FALSE,53,52,51,44
"Clarkson",0.5161,".5161",0.0032,0.5192,0.5673,0.499,36,0.5658,FALSE,22,24,31,22
"Colgate",0.4671,".4671",0,0.4671,0.3425,0.5086,18,0.3243,FALSE,41,40,22,47
"Colorado College",0.4453,".4453",0.0026,0.4478,0.1761,0.535,8,0.1806,FALSE,50,51,3,59
