"Game","Season","Team","Goals","Conference","Status","Win","Opponent","OpponentGoals","OpponentConference"
1,"20162017","Ferris State",1,"WCHA","Home","Loss","Alabama-Huntsville",2,"WCHA"
1,"20162017","Alabama-Huntsville",2,"WCHA","Away","Win","Ferris State",1,"WCHA"
2,"20162017","Colgate",2,"ECAC","Home","Tie","Army",2,"Atlantic Hockey"
2,"20162017","Army",2,"Atlantic Hockey","Away","Tie","Colgate",2,"ECAC"
3,"20162017","Minnesota-Duluth",6,"NCHC","Home","Win","Michigan Tech",0,"WCHA"
3,"20162017","Michigan Tech",0,"WCHA","Away","Loss","Minnesota-Duluth",6,"NCHC"
4,"20162017","Ferris State",3,"WCHA","Home","Loss","Alabama-Huntsville",4,"WCHA"
4,"20162017","Alabama-Huntsville",4,"WCHA","Away","Win","Ferris State",3,"WCHA"
5,"20162017","Minnesota-Duluth",4,"NCHC","Home","Win","Michigan Tech",3,"WCHA"
5,"20162017","Michigan Tech",3,"WCHA","Away","Loss","Minnesota-Duluth",4,"NCHC"
6,"20162017","Ferris State",3,"WCHA","Home","Loss","Western Michigan",5,"NCHC"
6,"20162017","Western Michigan",5,"NCHC","Away","Win","Ferris State",3,"WCHA"
7,"20162017","Penn State",4,"Big Ten","Home","Win","St. Lawrence",2,"ECAC"
7,"20162017","St. Lawrence",2,"ECAC","Away","Loss","Penn State",4,"Big Ten"
8,"20162017","Army",4,"Atlantic Hockey","Home","Win","Sacred Heart",0,"Atlantic Hockey"
8,"20162017","Sacred Heart",0,"Atlantic Hockey","Away","Loss","Army",4,"Atlantic Hockey"
9,"20162017","Niagara",2,"Atlantic Hockey","Home","Loss","Holy Cross",8,"Atlantic Hockey"
9,"20162017","Holy Cross",8,"Atlantic Hockey","Away","Win","Niagara",2,"Atlantic Hockey"
10,"20162017","RIT",6,"Atlantic Hockey","Home","Win","Robert Morris",3,"Atlantic Hockey"
10,"20162017","Robert Morris",3,"Atlantic Hockey","Away","Loss","RIT",6,"Atlantic Hockey"
11,"20162017","Bemidji State",2,"WCHA","Home","Win","Bowling Green",1,"WCHA"
11,"20162017","Bowling Green",1,"WCHA","Away","Loss","Bemidji State",2,"WCHA"
12,"20162017","Minnesota State",3,"WCHA","Home","Win","Michigan Tech",1,"WCHA"
12,"20162017","Michigan Tech",1,"WCHA","Away","Loss","Minnesota State",3,"WCHA"
13,"20162017","Boston College",1,"Hockey East","Neutral","Loss","Air Force",2,"Atlantic Hockey"
13,"20162017","Air Force",2,"Atlantic Hockey","Neutral","Win","Boston College",1,"Hockey East"
14,"20162017","Clarkson",2,"ECAC","Home","Loss","Vermont",5,"Hockey East"
14,"20162017","Vermont",5,"Hockey East","Away","Win","Clarkson",2,"ECAC"
15,"20162017","Denver",2,"NCHC","Home","Loss","Ohio State",3,"Big Ten"
15,"20162017","Ohio State",3,"Big Ten","Away","Win","Denver",2,"NCHC"
16,"20162017","Maine",5,"Hockey East","Home","Win","Rensselaer",1,"ECAC"
16,"20162017","Rensselaer",1,"ECAC","Away","Loss","Maine",5,"Hockey East"
17,"20162017","Notre Dame",9,"Hockey East","Home","Win","Arizona State",2,"Independent"
17,"20162017","Arizona State",2,"Independent","Away","Loss","Notre Dame",9,"Hockey East"
18,"20162017","Northern Michigan",3,"WCHA","Neutral","Win","Wisconsin",2,"Big Ten"
18,"20162017","Wisconsin",2,"Big Ten","Neutral","Loss","Northern Michigan",3,"WCHA"
19,"20162017","Providence",4,"Hockey East","Home","Win","Miami",3,"NCHC"
19,"20162017","Miami",3,"NCHC","Away","Loss","Providence",4,"Hockey East"
20,"20162017","Penn State",3,"Big Ten","Home","Loss","St. Lawrence",6,"ECAC"
20,"20162017","St. Lawrence",6,"ECAC","Away","Win","Penn State",3,"Big Ten"
21,"20162017","Quinnipiac",2,"ECAC","Home","Tie","Northeastern",2,"Hockey East"
21,"20162017","Northeastern",2,"Hockey East","Away","Tie","Quinnipiac",2,"ECAC"
22,"20162017","Alaska-Anchorage",0,"WCHA","Home","Loss","Minnesota",6,"Big Ten"
22,"20162017","Minnesota",6,"Big Ten","Away","Win","Alaska-Anchorage",0,"WCHA"
23,"20162017","Connecticut",6,"Hockey East","Home","Win","Alabama-Huntsville",0,"WCHA"
23,"20162017","Alabama-Huntsville",0,"WCHA","Away","Loss","Connecticut",6,"Hockey East"
24,"20162017","Michigan",3,"Big Ten","Home","Loss","Union",4,"ECAC"
24,"20162017","Union",4,"ECAC","Away","Win","Michigan",3,"Big Ten"
25,"20162017","Massachusetts",3,"Hockey East","Home","Win","Colorado College",0,"NCHC"
25,"20162017","Colorado College",0,"NCHC","Away","Loss","Massachusetts",3,"Hockey East"
26,"20162017","Massachusetts-Lowell",4,"Hockey East","Home","Tie","Minnesota-Duluth",4,"NCHC"
26,"20162017","Minnesota-Duluth",4,"NCHC","Away","Tie","Massachusetts-Lowell",4,"Hockey East"
27,"20162017","North Dakota",6,"NCHC","Home","Win","Canisius",0,"Atlantic Hockey"
27,"20162017","Canisius",0,"Atlantic Hockey","Away","Loss","North Dakota",6,"NCHC"
28,"20162017","Western Michigan",2,"NCHC","Home","Win","Ferris State",1,"WCHA"
28,"20162017","Ferris State",1,"WCHA","Away","Loss","Western Michigan",2,"NCHC"
29,"20162017","Niagara",4,"Atlantic Hockey","Home","Tie","Holy Cross",4,"Atlantic Hockey"
29,"20162017","Holy Cross",4,"Atlantic Hockey","Away","Tie","Niagara",4,"Atlantic Hockey"
30,"20162017","RIT",5,"Atlantic Hockey","Home","Loss","Robert Morris",6,"Atlantic Hockey"
30,"20162017","Robert Morris",6,"Atlantic Hockey","Away","Win","RIT",5,"Atlantic Hockey"
31,"20162017","Bemidji State",4,"WCHA","Home","Win","Bowling Green",1,"WCHA"
31,"20162017","Bowling Green",1,"WCHA","Away","Loss","Bemidji State",4,"WCHA"
32,"20162017","Minnesota State",4,"WCHA","Home","Win","Michigan Tech",0,"WCHA"
32,"20162017","Michigan Tech",0,"WCHA","Away","Loss","Minnesota State",4,"WCHA"
33,"20162017","Colgate",1,"ECAC","Home","Loss","Boston University",6,"Hockey East"
33,"20162017","Boston University",6,"Hockey East","Away","Win","Colgate",1,"ECAC"
34,"20162017","Maine",4,"Hockey East","Home","Win","Rensselaer",2,"ECAC"
34,"20162017","Rensselaer",2,"ECAC","Away","Loss","Maine",4,"Hockey East"
35,"20162017","Notre Dame",4,"Hockey East","Home","Win","Arizona State",2,"Independent"
35,"20162017","Arizona State",2,"Independent","Away","Loss","Notre Dame",4,"Hockey East"
36,"20162017","Northern Michigan",5,"WCHA","Neutral","Loss","Wisconsin",6,"Big Ten"
36,"20162017","Wisconsin",6,"Big Ten","Neutral","Win","Northern Michigan",5,"WCHA"
37,"20162017","Providence",1,"Hockey East","Home","Loss","Miami",2,"NCHC"
37,"20162017","Miami",2,"NCHC","Away","Win","Providence",1,"Hockey East"
38,"20162017","Quinnipiac",5,"ECAC","Home","Win","Northeastern",2,"Hockey East"
38,"20162017","Northeastern",2,"Hockey East","Away","Loss","Quinnipiac",5,"ECAC"
39,"20162017","Alaska-Anchorage",1,"WCHA","Home","Loss","Alaska",4,"WCHA"
39,"20162017","Alaska",4,"WCHA","Away","Win","Alaska-Anchorage",1,"WCHA"
40,"20162017","Connecticut",4,"Hockey East","Home","Win","Alabama-Huntsville",0,"WCHA"
40,"20162017","Alabama-Huntsville",0,"WCHA","Away","Loss","Connecticut",4,"Hockey East"
41,"20162017","Michigan",4,"Big Ten","Home","Win","Union",0,"ECAC"
41,"20162017","Union",0,"ECAC","Away","Loss","Michigan",4,"Big Ten"
42,"20162017","Massachusetts",4,"Hockey East","Home","Loss","Colorado College",7,"NCHC"
42,"20162017","Colorado College",7,"NCHC","Away","Win","Massachusetts",4,"Hockey East"
43,"20162017","Massachusetts-Lowell",1,"Hockey East","Home","Tie","Minnesota-Duluth",1,"NCHC"
43,"20162017","Minnesota-Duluth",1,"NCHC","Away","Tie","Massachusetts-Lowell",1,"Hockey East"
44,"20162017","North Dakota",4,"NCHC","Home","Win","Canisius",1,"Atlantic Hockey"
44,"20162017","Canisius",1,"Atlantic Hockey","Away","Loss","North Dakota",4,"NCHC"
45,"20162017","New Hampshire",1,"Hockey East","Home","Loss","Bentley",5,"Atlantic Hockey"
45,"20162017","Bentley",5,"Atlantic Hockey","Away","Win","New Hampshire",1,"Hockey East"
46,"20162017","Vermont",2,"Hockey East","Home","Loss","Clarkson",3,"ECAC"
46,"20162017","Clarkson",3,"ECAC","Away","Win","Vermont",2,"Hockey East"
47,"20162017","Air Force",3,"Atlantic Hockey","Neutral","Tie","Ohio State",3,"Big Ten"
47,"20162017","Ohio State",3,"Big Ten","Neutral","Tie","Air Force",3,"Atlantic Hockey"
48,"20162017","Denver",1,"NCHC","Home","Loss","Boston College",3,"Hockey East"
48,"20162017","Boston College",3,"Hockey East","Away","Win","Denver",1,"NCHC"
49,"20162017","Merrimack",1,"Hockey East","Home","Loss","Sacred Heart",2,"Atlantic Hockey"
49,"20162017","Sacred Heart",2,"Atlantic Hockey","Away","Win","Merrimack",1,"Hockey East"
50,"20162017","Alaska",3,"WCHA","Neutral","Loss","Minnesota",6,"Big Ten"
50,"20162017","Minnesota",6,"Big Ten","Neutral","Win","Alaska",3,"WCHA"
51,"20162017","Army",3,"Atlantic Hockey","Home","Win","Sacred Heart",0,"Atlantic Hockey"
51,"20162017","Sacred Heart",0,"Atlantic Hockey","Away","Loss","Army",3,"Atlantic Hockey"
52,"20162017","Michigan Tech",7,"WCHA","Home","Win","Alabama-Huntsville",3,"WCHA"
52,"20162017","Alabama-Huntsville",3,"WCHA","Away","Loss","Michigan Tech",7,"WCHA"
53,"20162017","Northern Michigan",0,"WCHA","Home","Loss","Bemidji State",2,"WCHA"
53,"20162017","Bemidji State",2,"WCHA","Away","Win","Northern Michigan",0,"WCHA"
54,"20162017","American International",4,"Atlantic Hockey","Home","Loss","Union",5,"ECAC"
54,"20162017","Union",5,"ECAC","Away","Win","American International",4,"Atlantic Hockey"
55,"20162017","Arizona State",3,"Independent","Home","Loss","Air Force",4,"Atlantic Hockey"
55,"20162017","Air Force",4,"Atlantic Hockey","Away","Win","Arizona State",3,"Independent"
56,"20162017","Bentley",1,"Atlantic Hockey","Home","Tie","Northeastern",1,"Hockey East"
56,"20162017","Northeastern",1,"Hockey East","Away","Tie","Bentley",1,"Atlantic Hockey"
57,"20162017","Bowling Green",4,"WCHA","Home","Tie","Western Michigan",4,"NCHC"
57,"20162017","Western Michigan",4,"NCHC","Away","Tie","Bowling Green",4,"WCHA"
