Team,Wins,Losses,Ties,HomeWins,HomeLosses,HomeTies,AwayWins,AwayLosses,AwayTies,NeutralWins,NeutralLosses,NeutralTies,Pct,AdjPct,OppWinPct,OppOppWinPct,SOS,RPI,Pairwise
St. Cloud State,25,9,6,16,3,2,8,4,4,1,2,0,0.7,0.6963350785340314,0.5573151315500022,0.5354344903723262,0.5415610699020754,0.5802545720600645,59
Notre Dame,28,10,2,14,6,1,11,2,1,3,2,0,0.725,0.7064676616915422,0.5365651243512279,0.5349521521170689,0.5354037843426335,0.5781697536798607,57
Ohio State,26,10,5,13,4,3,11,5,2,2,1,0,0.6951219512195121,0.6930693069306931,0.5216287920604197,0.532126746958186,0.5291873195868114,0.5701578164227818,56
Cornell,25,6,2,15,2,0,9,2,2,1,2,0,0.7878787878787878,0.7861635220125786,0.476883334874066,0.5020989130071128,0.4950385511298597,0.5678197938505395,56
Denver,23,10,8,13,5,3,7,4,5,3,1,0,0.6585365853658537,0.65,0.5569547279584044,0.5272419718855182,0.5355615435859263,0.5641711576894448,56
Minnesota State,29,10,1,15,5,1,14,4,0,0,1,0,0.7375,0.73,0.5055297854488346,0.4893945690683382,0.4939124296548772,0.5529343222411579,54
Minnesota-Duluth,25,16,3,12,6,2,8,8,1,5,2,0,0.6022727272727273,0.5981308411214955,0.5563719632067147,0.5270603137715532,0.5352675756133984,0.5509833919904227,54
Providence,24,12,4,13,3,0,6,6,4,5,3,0,0.65,0.6578947368421053,0.5046590955762782,0.5048277919419268,0.5047805569595452,0.5430591019301853,52
Michigan,22,15,3,13,5,1,5,8,2,4,2,0,0.5875,0.582010582010582,0.5294642896838615,0.5291959938261322,0.5292711166662964,0.5424559830023679,50
Northeastern,23,10,5,14,4,2,7,4,3,2,2,0,0.6710526315789473,0.6612021857923498,0.4883760650509369,0.49841186593189596,0.4956018416852275,0.537001927712008,50
Minnesota,19,17,2,13,5,1,4,12,1,2,0,0,0.5263157894736842,0.5229885057471264,0.5607860921091828,0.5304165685150991,0.5389200351214425,0.5349371527778635,48
Clarkson,23,11,6,11,3,5,9,6,1,3,2,0,0.65,0.6461538461538462,0.5037282117544752,0.4943832922229478,0.4969998696917755,0.5342883638072932,48
Penn State,18,15,5,11,5,3,7,9,2,0,1,0,0.5394736842105263,0.5384615384615384,0.5408678798616986,0.5267750585050998,0.5307210484849475,0.5326561709790951,48
North Dakota,17,13,10,10,5,6,6,7,4,1,1,0,0.55,0.5412371134020619,0.5136805164725587,0.533193055739789,0.5277295447449646,0.5311064369092389,46
Boston University,22,14,4,8,6,4,10,5,0,4,3,0,0.6,0.5911330049261084,0.5383049894512979,0.49903758066629544,0.5100324551260962,0.5303075925760992,45
Nebraska-Omaha,17,17,2,12,4,2,5,13,0,0,0,0,0.5,0.5000000000000001,0.5488286512285904,0.5233274512999766,0.5304677872799884,0.5228508404599914,43
Boston College,20,14,3,11,5,2,9,5,0,0,4,1,0.581081081081081,0.5710382513661203,0.5311102411214659,0.5022162058915614,0.5103065357559347,0.5254894646584811,42
Bowling Green,23,12,6,11,4,5,10,8,1,2,0,0,0.6341463414634146,0.635,0.4621305382193056,0.4931540742933628,0.4844674841926268,0.5221006131444701,41
Princeton,19,13,4,9,6,3,8,6,1,2,1,0,0.5833333333333334,0.5754189944134079,0.507414024063703,0.4931072694326957,0.4971131607293777,0.5166896191503854,41
Northern Michigan,25,15,3,17,5,0,7,8,2,1,2,1,0.6162790697674418,0.6113861386138614,0.46757185313715605,0.4907441844969921,0.48425593171623804,0.5160384834406438,41
