Game,Season,Team,Win,Goals,Status,Opponent,OpponentGoals
1,20172018,Boston University,Win,4,Home,Union,1
1,20172018,Union,Loss,1,Away,Boston University,4
2,20172018,Colgate,Win,5,Home,Niagara,1
2,20172018,Niagara,Loss,1,Away,Colgate,5
3,20172018,Wisconsin,Win,3,Home,Michigan Tech,2
3,20172018,Michigan Tech,Loss,2,Away,Wisconsin,3
4,20172018,American International,Loss,1,Home,Army,5
4,20172018,Army,Win,5,Away,American International,1
5,20172018,Niagara,Win,4,Home,Robert Morris,3
5,20172018,Robert Morris,Loss,3,Away,Niagara,4
6,20172018,Wisconsin,Loss,2,Home,Ohio State,3
6,20172018,Ohio State,Win,3,Away,Wisconsin,2
7,20172018,Maine,Win,4,Home,Connecticut,3
7,20172018,Connecticut,Loss,3,Away,Maine,4
8,20172018,Massachusetts-Lowell,Loss,3,Home,New Hampshire,4
8,20172018,New Hampshire,Win,4,Away,Massachusetts-Lowell,3
9,20172018,Arizona State,Win,5,Home,Massachusetts,3
9,20172018,Massachusetts,Loss,3,Away,Arizona State,5
10,20172018,Boston College,Tie,1,Home,Quinnipiac,1
10,20172018,Quinnipiac,Tie,1,Away,Boston College,1
11,20172018,Clarkson,Win,2,Home,Penn State,1
11,20172018,Penn State,Loss,1,Away,Clarkson,2
12,20172018,Colgate,Win,2,Home,Merrimack,1
12,20172018,Merrimack,Loss,1,Away,Colgate,2
13,20172018,Lake Superior,Win,5,Home,Northern Michigan,3
13,20172018,Northern Michigan,Loss,3,Away,Lake Superior,5
14,20172018,Miami,Loss,1,Home,Providence,3
14,20172018,Providence,Win,3,Away,Miami,1
15,20172018,Notre Dame,Win,5,Home,Alabama-Huntsville,3
15,20172018,Alabama-Huntsville,Loss,3,Away,Notre Dame,5
16,20172018,Northeastern,Win,7,Home,Sacred Heart,3
16,20172018,Sacred Heart,Loss,3,Away,Northeastern,7
17,20172018,St. Lawrence,Loss,1,Home,Michigan,3
17,20172018,Michigan,Win,3,Away,St. Lawrence,1
18,20172018,Alaska-Anchorage,Tie,1,Home,North Dakota,1
18,20172018,North Dakota,Tie,1,Away,Alaska-Anchorage,1
19,20172018,Alaska,Loss,2,Home,Air Force,3
19,20172018,Air Force,Win,3,Away,Alaska,2
20,20172018,Vermont,Win,3,Home,Colorado College,0
20,20172018,Colorado College,Loss,0,Away,Vermont,3
21,20172018,Western Michigan,Win,6,Home,Ferris State,1
21,20172018,Ferris State,Loss,1,Away,Western Michigan,6
22,20172018,Michigan Tech,Win,6,Neutral,Union,3
22,20172018,Union,Loss,3,Neutral,Michigan Tech,6
23,20172018,Minnesota-Duluth,Win,4,Home,Minnesota,3
23,20172018,Minnesota,Loss,3,Away,Minnesota-Duluth,4
24,20172018,American International,Loss,1,Home,Army,2
24,20172018,Army,Win,2,Away,American International,1
25,20172018,Wisconsin,Win,3,Home,Ohio State,2
25,20172018,Ohio State,Loss,2,Away,Wisconsin,3
26,20172018,Maine,Loss,1,Home,Connecticut,5
26,20172018,Connecticut,Win,5,Away,Maine,1
27,20172018,New Hampshire,Win,3,Home,Massachusetts-Lowell,1
27,20172018,Massachusetts-Lowell,Loss,1,Away,New Hampshire,3
28,20172018,Arizona State,Loss,2,Home,Massachusetts,4
28,20172018,Massachusetts,Win,4,Away,Arizona State,2
29,20172018,Clarkson,Win,3,Home,Michigan,0
29,20172018,Michigan,Loss,0,Away,Clarkson,3
30,20172018,Colgate,Tie,2,Home,Merrimack,2
30,20172018,Merrimack,Tie,2,Away,Colgate,2
31,20172018,Ferris State,Win,3,Home,Western Michigan,2
31,20172018,Western Michigan,Loss,2,Away,Ferris State,3
32,20172018,Minnesota State,Loss,0,Home,St. Cloud State,4
32,20172018,St. Cloud State,Win,4,Away,Minnesota State,0
33,20172018,Miami,Loss,2,Home,Providence,3
33,20172018,Providence,Win,3,Away,Miami,2
34,20172018,Notre Dame,Win,4,Home,Alabama-Huntsville,0
34,20172018,Alabama-Huntsville,Loss,0,Away,Notre Dame,4
35,20172018,Northern Michigan,Win,4,Home,Lake Superior,1
35,20172018,Lake Superior,Loss,1,Away,Northern Michigan,4
36,20172018,Northeastern,Win,7,Home,Sacred Heart,0
36,20172018,Sacred Heart,Loss,0,Away,Northeastern,7
37,20172018,St. Lawrence,Loss,1,Home,Penn State,4
37,20172018,Penn State,Win,4,Away,St. Lawrence,1
38,20172018,Alaska-Anchorage,Loss,2,Home,North Dakota,3
38,20172018,North Dakota,Win,3,Away,Alaska-Anchorage,2
39,20172018,Alaska,Tie,1,Home,Air Force,1
39,20172018,Air Force,Tie,1,Away,Alaska,1
40,20172018,Vermont,Loss,3,Home,Colorado College,4
40,20172018,Colorado College,Win,4,Away,Vermont,3
41,20172018,Minnesota-Duluth,Loss,3,Home,Michigan Tech,4
41,20172018,Michigan Tech,Win,4,Away,Minnesota-Duluth,3
42,20172018,Minnesota,Win,2,Neutral,Union,0
42,20172018,Union,Loss,0,Neutral,Minnesota,2
43,20172018,Quinnipiac,Loss,2,Home,Boston University,3
43,20172018,Boston University,Win,3,Away,Quinnipiac,2
44,20172018,Bentley,Tie,3,Home,American International,3
44,20172018,American International,Tie,3,Away,Bentley,3
45,20172018,Western Michigan,Win,3,Home,Bowling Green,1
45,20172018,Bowling Green,Loss,1,Away,Western Michigan,3
46,20172018,Canisius,Loss,3,Home,Robert Morris,4
46,20172018,Robert Morris,Win,4,Away,Canisius,3
47,20172018,Holy Cross,Tie,1,Home,Mercyhurst,1
47,20172018,Mercyhurst,Tie,1,Away,Holy Cross,1
48,20172018,Minnesota,Loss,1,Home,Penn State,3
48,20172018,Penn State,Win,3,Away,Minnesota,1
49,20172018,Ferris State,Loss,2,Home,Northern Michigan,3
49,20172018,Northern Michigan,Win,3,Away,Ferris State,2
50,20172018,Lake Superior,Loss,3,Home,Michigan Tech,4
50,20172018,Michigan Tech,Win,4,Away,Lake Superior,3
51,20172018,Air Force,Win,4,Home,Arizona State,3
51,20172018,Arizona State,Loss,3,Away,Air Force,4
52,20172018,American International,Loss,4,Home,Connecticut,6
52,20172018,Connecticut,Win,6,Away,American International,4
53,20172018,Boston College,Loss,2,Home,Wisconsin,5
53,20172018,Wisconsin,Win,5,Away,Boston College,2
54,20172018,Bowling Green,Win,4,Home,Michigan State,1
54,20172018,Michigan State,Loss,1,Away,Bowling Green,4
55,20172018,Bemidji State,Win,5,Home,Minnesota-Duluth,2
55,20172018,Minnesota-Duluth,Loss,2,Away,Bemidji State,5
56,20172018,Boston University,Loss,3,Home,Minnesota State,6
56,20172018,Minnesota State,Win,6,Away,Boston University,3
57,20172018,Colorado College,Win,6,Home,Alaska-Anchorage,1
57,20172018,Alaska-Anchorage,Loss,1,Away,Colorado College,6
58,20172018,Notre Dame,Tie,2,Home,Denver,2
58,20172018,Denver,Tie,2,Away,Notre Dame,2
59,20172018,Ohio State,Tie,1,Home,Rensselaer,1
59,20172018,Rensselaer,Tie,1,Away,Ohio State,1
60,20172018,St. Cloud State,Win,6,Home,Alaska,3
60,20172018,Alaska,Loss,3,Away,St. Cloud State,6
61,20172018,Union,Loss,4,Home,Massachusetts,5
61,20172018,Massachusetts,Win,5,Away,Union,4
62,20172018,Massachusetts-Lowell,Loss,2,Home,Nebraska-Omaha,4
62,20172018,Nebraska-Omaha,Win,4,Away,Massachusetts-Lowell,2
63,20172018,North Dakota,Win,2,Home,St. Lawrence,1
63,20172018,St. Lawrence,Loss,1,Away,North Dakota,2
64,20172018,New Hampshire,Win,5,Home,Colgate,0
64,20172018,Colgate,Loss,0,Away,New Hampshire,5
65,20172018,Western Michigan,Tie,2,Home,Clarkson,2
65,20172018,Clarkson,Tie,2,Away,Western Michigan,2
66,20172018,Canisius,Win,4,Home,Robert Morris,1
66,20172018,Robert Morris,Loss,1,Away,Canisius,4
67,20172018,Holy Cross,Tie,4,Home,Mercyhurst,4
67,20172018,Mercyhurst,Tie,4,Away,Holy Cross,4
68,20172018,Ferris State,Loss,0,Home,Northern Michigan,1
68,20172018,Northern Michigan,Win,1,Away,Ferris State,0
69,20172018,Lake Superior,Tie,2,Home,Michigan Tech,2
69,20172018,Michigan Tech,Tie,2,Away,Lake Superior,2
70,20172018,Air Force,Win,3,Home,Arizona State,2
70,20172018,Arizona State,Loss,2,Away,Air Force,3
71,20172018,Boston University,Loss,0,Home,Minnesota State,3
71,20172018,Minnesota State,Win,3,Away,Boston University,0
72,20172018,Colorado College,Win,3,Home,Alaska-Anchorage,2
72,20172018,Alaska-Anchorage,Loss,2,Away,Colorado College,3
73,20172018,Merrimack,Loss,1,Home,Wisconsin,4
73,20172018,Wisconsin,Win,4,Away,Merrimack,1
74,20172018,Michigan State,Win,3,Home,Bowling Green,2
74,20172018,Bowling Green,Loss,2,Away,Michigan State,3
75,20172018,Notre Dame,Loss,2,Home,Denver,4
75,20172018,Denver,Win,4,Away,Notre Dame,2
76,20172018,Ohio State,Tie,1,Home,Rensselaer,1
76,20172018,Rensselaer,Tie,1,Away,Ohio State,1
77,20172018,Quinnipiac,Win,3,Home,Vermont,2
77,20172018,Vermont,Loss,2,Away,Quinnipiac,3
78,20172018,RIT,Tie,3,Home,Northeastern,3
78,20172018,Northeastern,Tie,3,Away,RIT,3
79,20172018,St. Cloud State,Win,5,Home,Alaska,4
79,20172018,Alaska,Loss,4,Away,St. Cloud State,5
80,20172018,Sacred Heart,Win,3,Home,Connecticut,1
80,20172018,Connecticut,Loss,1,Away,Sacred Heart,3
81,20172018,Massachusetts,Win,3,Home,American International,1
81,20172018,American International,Loss,1,Away,Massachusetts,3
82,20172018,Minnesota-Duluth,Tie,0,Home,Bemidji State,0
82,20172018,Bemidji State,Tie,0,Away,Minnesota-Duluth,0
83,20172018,Massachusetts-Lowell,Win,5,Home,Nebraska-Omaha,2
83,20172018,Nebraska-Omaha,Loss,2,Away,Massachusetts-Lowell,5
84,20172018,North Dakota,Win,6,Home,St. Lawrence,1
84,20172018,St. Lawrence,Loss,1,Away,North Dakota,6
85,20172018,New Hampshire,Win,5,Home,Colgate,3
85,20172018,Colgate,Loss,3,Away,New Hampshire,5
86,20172018,Western Michigan,Loss,2,Home,Clarkson,4
86,20172018,Clarkson,Win,4,Away,Western Michigan,2
87,20172018,Minnesota,Win,6,Home,Penn State,3
87,20172018,Penn State,Loss,3,Away,Minnesota,6
88,20172018,Providence,Loss,3,Home,Boston College,4
88,20172018,Boston College,Win,4,Away,Providence,3
89,20172018,Union,Loss,2,Home,Vermont,3
89,20172018,Vermont,Win,3,Away,Union,2
90,20172018,Notre Dame,Loss,4,Home,Sacred Heart,6
90,20172018,Sacred Heart,Win,6,Away,Notre Dame,4
91,20172018,Penn State,Win,7,Home,American International,5
91,20172018,American International,Loss,5,Away,Penn State,7
92,20172018,Holy Cross,Win,4,Home,Bentley,3
92,20172018,Bentley,Loss,3,Away,Holy Cross,4
93,20172018,Robert Morris,Win,4,Home,Army,2
93,20172018,Army,Loss,2,Away,Robert Morris,4
94,20172018,Boston University,Tie,2,Home,Connecticut,2
94,20172018,Connecticut,Tie,2,Away,Boston University,2
95,20172018,Bowling Green,Loss,1,Home,Minnesota State,4
95,20172018,Minnesota State,Win,4,Away,Bowling Green,1
96,20172018,Michigan Tech,Win,5,Home,Alabama-Huntsville,4
96,20172018,Alabama-Huntsville,Loss,4,Away,Michigan Tech,5
97,20172018,Bemidji State,Win,4,Home,Air Force,1
97,20172018,Air Force,Loss,1,Away,Bemidji State,4
98,20172018,Clarkson,Loss,1,Home,Massachusetts-Lowell,3
98,20172018,Massachusetts-Lowell,Win,3,Away,Clarkson,1
99,20172018,Denver,Tie,3,Home,Lake Superior,3
99,20172018,Lake Superior,Tie,3,Away,Denver,3
100,20172018,Maine,Loss,5,Home,Miami,7
100,20172018,Miami,Win,7,Away,Maine,5
101,20172018,Mercyhurst,Loss,2,Home,Ferris State,3
101,20172018,Ferris State,Win,3,Away,Mercyhurst,2
