Season,Away,AwayScore,at,Home,HomeScore,OT,Notes,Date,GameType,HomeWin,AwayWin,Tournament,ConfTournament,NCAA,HomeConference,AwayConference
20172018,Union,1,@,Boston University,4,NA,NA,2017-09-30,NC,Win,Loss,No,No,No,Hockey East,ECAC
20172018,Niagara,1,@,Colgate,5,NA,NA,2017-09-30,NC,Win,Loss,No,No,No,ECAC,Atlantic Hockey
20172018,Michigan Tech,2,@,Wisconsin,3,NA,NA,2017-10-01,NC,Win,Loss,No,No,No,Big Ten,WCHA
20172018,Army,5,@,American International,1,NA,NA,2017-10-06,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20172018,Robert Morris,3,@,Niagara,4,OT,NA,2017-10-06,AH,Win,Loss,No,No,No,Atlantic Hockey,Atlantic Hockey
20172018,Ohio State,3,@,Wisconsin,2,NA,NA,2017-10-06,B10,Loss,Win,No,No,No,Big Ten,Big Ten
20172018,Connecticut,3,@,Maine,4,OT,NA,2017-10-06,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20172018,New Hampshire,4,@,Massachusetts-Lowell,3,NA,NA,2017-10-06,HE,Loss,Win,No,No,No,Hockey East,Hockey East
20172018,Massachusetts,3,@,Arizona State,5,NA,NA,2017-10-06,NC,Win,Loss,No,No,No,Independent,Hockey East
20172018,Quinnipiac,1,@,Boston College,1,OT,NA,2017-10-06,NC,Tie,Tie,No,No,No,Hockey East,ECAC
20172018,Penn State,1,@,Clarkson,2,NA,NA,2017-10-06,NC,Win,Loss,No,No,No,ECAC,Big Ten
20172018,Merrimack,1,@,Colgate,2,NA,NA,2017-10-06,NC,Win,Loss,No,No,No,ECAC,Hockey East
20172018,Northern Michigan,3,@,Lake Superior,5,NA,NA,2017-10-06,NC,Win,Loss,No,No,No,WCHA,WCHA
20172018,Providence,3,@,Miami,1,NA,NA,2017-10-06,NC,Loss,Win,No,No,No,NCHC,Hockey East
20172018,Alabama-Huntsville,3,@,Notre Dame,5,NA,NA,2017-10-06,NC,Win,Loss,No,No,No,Big Ten,WCHA
20172018,Sacred Heart,3,@,Northeastern,7,NA,NA,2017-10-06,NC,Win,Loss,No,No,No,Hockey East,Atlantic Hockey
20172018,Michigan,3,@,St. Lawrence,1,NA,NA,2017-10-06,NC,Loss,Win,No,No,No,ECAC,Big Ten
20172018,North Dakota,1,@,Alaska-Anchorage,1,OT,NA,2017-10-06,NC,Tie,Tie,No,No,No,WCHA,NCHC
20172018,Air Force,3,@,Alaska,2,NA,NA,2017-10-06,NC,Loss,Win,No,No,No,WCHA,Atlantic Hockey
20172018,Colorado College,0,@,Vermont,3,NA,NA,2017-10-06,NC,Win,Loss,No,No,No,Hockey East,NCHC
20172018,Ferris State,1,@,Western Michigan,6,NA,NA,2017-10-06,NC,Win,Loss,No,No,No,NCHC,WCHA
20172018,Union,3,vs.,Michigan Tech,6,NA,IceBreaker,2017-10-06,NC,Win,Loss,Yes,No,No,WCHA,ECAC
20172018,Minnesota,3,@,Minnesota-Duluth,4,OT,IceBreaker,2017-10-06,NC,Win,Loss,Yes,No,No,NCHC,Big Ten
20172018,Army,2,@,American International,1,NA,NA,2017-10-07,AH,Loss,Win,No,No,No,Atlantic Hockey,Atlantic Hockey
20172018,Ohio State,2,@,Wisconsin,3,NA,NA,2017-10-07,B10,Win,Loss,No,No,No,Big Ten,Big Ten
20172018,Connecticut,5,@,Maine,1,NA,NA,2017-10-07,HE,Loss,Win,No,No,No,Hockey East,Hockey East
20172018,Massachusetts-Lowell,1,@,New Hampshire,3,NA,NA,2017-10-07,HE,Win,Loss,No,No,No,Hockey East,Hockey East
20172018,Massachusetts,4,@,Arizona State,2,NA,NA,2017-10-07,NC,Loss,Win,No,No,No,Independent,Hockey East
20172018,Michigan,0,@,Clarkson,3,NA,NA,2017-10-07,NC,Win,Loss,No,No,No,ECAC,Big Ten
20172018,Merrimack,2,@,Colgate,2,OT,NA,2017-10-07,NC,Tie,Tie,No,No,No,ECAC,Hockey East
20172018,Western Michigan,2,@,Ferris State,3,NA,NA,2017-10-07,NC,Win,Loss,No,No,No,WCHA,NCHC
20172018,St. Cloud State,4,@,Minnesota State,0,NA,NA,2017-10-07,NC,Loss,Win,No,No,No,WCHA,NCHC
