"Team","Wins","Losses","Ties","HomeWins","HomeLosses","HomeTies","AwayWins","AwayLosses","AwayTies","NeutralWins","NeutralLosses","NeutralTies","Pct","AdjPct","OppWinPct","OppOppWinPct","SOS","RPI"
"Union",23,9,3,9,5,1,13,4,1,1,0,1,0.7,0.702777777777778,0.489636569063652,0.512955829755923,0.506426436762087,0.55551427201601
"Harvard",15,7,5,7,3,1,8,4,3,0,0,1,0.648148148148148,0.662962962962963,0.514019117669357,0.515157765666164,0.514838944227058,0.551869948911034
"Ohio State",19,8,7,9,5,3,10,3,4,0,0,0,0.661764705882353,0.658959537572254,0.507472330252258,0.51795887811346,0.515022644712323,0.551006867927306
"Clarkson",17,8,7,10,4,1,6,4,6,1,0,0,0.640625,0.647435897435897,0.521767729749413,0.51238109658159,0.51500935386858,0.54811598976041
"Boston College",17,9,3,7,4,3,8,5,0,2,0,0,0.637931034482759,0.63448275862069,0.511665465841167,0.506634636587824,0.50804326877876,0.539653141239242
"Minnesota State",13,5,6,7,2,2,6,3,4,0,0,0,0.666666666666667,0.677966101694915,0.470586778067053,0.49848683249258,0.490674817253432,0.537497638363803
"Notre Dame",17,10,5,10,5,3,7,5,2,0,0,0,0.609375,0.598726114649682,0.511399019787144,0.518695381104046,0.516652399935314,0.537170828613906
"Quinnipiac",17,11,6,10,5,1,7,6,5,0,0,0,0.588235294117647,0.596385542168675,0.522970916712658,0.508616810923034,0.512635960544129,0.533573355950265
"Minnesota",18,13,3,10,7,2,8,5,1,0,1,0,0.573529411764706,0.558823529411765,0.543428887684106,0.513754257683951,0.522063154083995,0.531253247915937
"Penn State",17,11,6,11,3,3,6,8,3,0,0,0,0.588235294117647,0.59375,0.51682620533868,0.506852869943629,0.509645403854243,0.530671552890682
"Northeastern",16,8,6,11,4,2,5,3,4,0,1,0,0.633333333333333,0.620689655172414,0.501451999384976,0.50024890511152,0.500585771508087,0.530611742424169
"New Hampshire",15,8,8,9,1,6,6,7,1,0,0,1,0.612903225806452,0.613013698630137,0.484099254881169,0.508122027705185,0.501395651314461,0.52930016314338
"Western Michigan",15,10,5,10,6,1,5,4,4,0,0,0,0.583333333333333,0.571428571428571,0.502928845530886,0.513296012573939,0.510393205801885,0.525652047208556
"Canisius",18,10,6,9,3,4,9,7,2,0,0,0,0.617647058823529,0.626506024096386,0.478006791306814,0.484871795808156,0.48294959454778,0.518838701934932
"Bowling Green",12,7,7,4,7,3,8,0,4,0,0,0,0.596153846153846,0.581560283687943,0.521336079864449,0.488399816854805,0.497621970497505,0.518606548795115
"Arizona State",12,9,7,4,4,2,8,5,3,0,0,2,0.553571428571429,0.573426573426573,0.474021196989386,0.508445991476544,0.49880704902014,0.517461930121748
"Cornell",13,11,3,5,6,2,7,5,1,1,0,0,0.537037037037037,0.536231884057971,0.505609506504785,0.512723386570733,0.510731500152267,0.517106596128693
"Colgate",15,13,6,10,4,2,5,9,4,0,0,0,0.529411764705882,0.5375,0.522179757409787,0.503499319996415,0.508729842472159,0.515922381854119
