Simulation,Team,Wins,Losses,Ties,HomeWins,HomeLosses,HomeTies,AwayWins,AwayLosses,AwayTies,NeutralWins,NeutralLosses,NeutralTies,Pct,AdjPct,OppWinPct,OppOppWinPct,SOS,RPI,Pairwise,PWRank
1,St. Cloud State,25,9,6,16,3,2,8,4,4,1,2,0,0.7,0.6963350785340314,0.5573151315500022,0.5352550891784335,0.5414319010424727,0.5801576954153624,59,1
1,Notre Dame,28,10,2,14,6,1,11,2,1,3,2,0,0.725,0.7064676616915422,0.5312346339461107,0.536088596110631,0.5347294867045653,0.5776640304513095,57,2
1,Ohio State,26,10,5,13,4,3,11,5,2,2,1,0,0.6951219512195121,0.6930693069306931,0.5165368542952146,0.5332887372455861,0.528598210019482,0.5697159842472849,56,3
1,Cornell,25,6,2,15,2,0,9,2,2,1,2,0,0.7878787878787878,0.7861635220125786,0.47381722652454306,0.5015634499317676,0.49379450737774466,0.5668867610364532,56,4
1,Denver,23,10,8,13,5,3,7,4,5,3,1,0,0.6585365853658537,0.65,0.557243189496866,0.5272838633349417,0.5356724746602805,0.5642543559952105,56,5
1,Minnesota State,29,10,1,15,5,1,14,4,0,0,1,0,0.7375,0.73,0.5051055281360324,0.48904520213875324,0.49354209341799143,0.5526565700634936,54,6
1,Minnesota-Duluth,25,16,3,12,6,2,8,8,1,5,2,0,0.6022727272727273,0.5981308411214955,0.5563719632067147,0.5267644137197345,0.535054527576089,0.5508236059624406,54,7
1,Providence,24,12,4,13,3,0,6,6,4,5,3,0,0.65,0.6578947368421053,0.5067293225531784,0.5052345147846972,0.505653060959872,0.5437134799304302,52,8
1,Michigan,20,16,4,12,6,1,4,8,3,4,2,0,0.55,0.5421052631578948,0.5609184735693942,0.526726577707046,0.5363003085485035,0.5377515472008514,51,9
1,Northeastern,23,10,5,14,4,2,7,4,3,2,2,0,0.6710526315789473,0.6612021857923498,0.48871891040469423,0.5007201179547593,0.4973597798407411,0.5383203813286432,50,10
1,Minnesota,19,17,2,13,5,1,4,12,1,2,0,0,0.5263157894736842,0.5229885057471264,0.5552301196052857,0.531252904257664,0.537966524554998,0.5342220198530302,48,11
1,Boston University,23,14,4,9,6,4,10,5,0,4,3,0,0.6097560975609756,0.5990338164251208,0.539474394980498,0.501872416034142,0.5124009701391217,0.5340591817106215,48,12
1,Penn State,18,15,5,11,5,3,7,9,2,0,1,0,0.5394736842105263,0.5384615384615384,0.5382171675992166,0.5261824456906038,0.5295521678250154,0.5317795104841461,48,13
1,Clarkson,22,11,6,10,3,5,9,6,1,3,2,0,0.6410256410256411,0.6387434554973822,0.5009369706349583,0.4927468078437409,0.4950400534252818,0.5309659039433069,46,14
1,North Dakota,17,13,10,10,5,6,6,7,4,1,1,0,0.55,0.5412371134020619,0.5139923938008096,0.5325731583374894,0.5273705442672191,0.5308371865509298,45,15
1,Boston College,20,14,3,11,5,2,9,5,0,0,4,1,0.581081081081081,0.5710382513661203,0.5329714975987707,0.503249670528935,0.511571782108489,0.5264383994228968,42,16
1,Nebraska-Omaha,17,17,2,12,4,2,5,13,0,0,0,0,0.5,0.5000000000000001,0.5499719439115173,0.5230776202540897,0.5306080308781694,0.5229560231586271,42,17
1,Bowling Green,24,13,6,11,4,5,11,9,1,2,0,0,0.627906976744186,0.6333333333333334,0.46588042323737255,0.4956258448554347,0.48729712680237736,0.5238061784351163,41,18
1,Princeton,19,13,4,9,6,3,8,6,1,2,1,0,0.5833333333333334,0.5754189944134079,0.5066553961582674,0.49180816979099545,0.4959653931738316,0.5158287934837258,41,19
1,Mercyhurst,21,12,4,12,5,1,9,6,3,0,1,0,0.6216216216216216,0.6243093922651932,0.4604442913671196,0.4862585951182736,0.47903059006795046,0.5153502906172611,40,20
1,Northern Michigan,25,15,3,17,5,0,7,8,2,1,2,1,0.6162790697674418,0.6113861386138614,0.4664619826499575,0.4897640282462752,0.48323945547930625,0.5152761262629451,40,21
1,Union,21,15,2,9,7,1,11,6,1,1,2,0,0.5789473684210527,0.5803108808290155,0.48076791309425976,0.49692587857054427,0.4924016482371846,0.5143789563851424,37,22
1,Air Force,23,15,5,8,7,1,12,6,4,3,2,0,0.5930232558139535,0.6045454545454544,0.4642632706763161,0.4850669224736209,0.4792418999703756,0.5105677886141453,37,23
1,Colorado College,15,17,5,8,6,3,7,11,2,0,0,0,0.47297297297297297,0.48044692737430167,0.4976641867286596,0.532120942455717,0.5224730508521409,0.5119665199826811,36,24
1,Michigan Tech,22,17,5,9,5,2,10,9,3,3,3,0,0.5568181818181818,0.5714285714285715,0.4953013312542648,0.4842983188371693,0.48737916231395595,0.5083915145926099,36,25
1,Western Michigan,15,19,2,10,7,2,5,12,0,0,0,0,0.4444444444444444,0.43529411764705883,0.5347289838645427,0.530628771251292,0.5317768307830022,0.5076561524990164,34,26
1,Maine,18,16,4,8,7,3,9,8,1,1,1,0,0.5263157894736842,0.5263157894736842,0.46908641023068587,0.5112872449399388,0.49947101122134796,0.5061822057844321,33,27
1,Harvard,16,15,4,9,4,1,6,8,3,1,3,0,0.5142857142857142,0.5238095238095238,0.5073484375568882,0.4965218233192967,0.4995532753058222,0.5056173374317476,32,28
1,Wisconsin,14,19,4,7,9,3,5,9,1,2,1,0,0.43243243243243246,0.4207650273224044,0.540549075450548,0.5273873962425909,0.5310726664208189,0.5034957566462153,32,29
1,Miami,12,20,5,8,9,1,4,11,4,0,0,0,0.3918918918918919,0.3910614525139665,0.5806224876173972,0.5225290271721862,0.5387951960968452,0.5018617602011256,31,30
1,Bemidji State,16,14,8,8,8,4,8,6,4,0,0,0,0.5263157894736842,0.5208333333333334,0.4832307092597465,0.485765238005308,0.4850555699565508,0.49400001080074646,29,31
1,Colgate,17,17,6,11,6,2,6,11,4,0,0,0,0.5,0.5052631578947369,0.4545839583457282,0.49703866330713803,0.48515134591794323,0.4901792989121417,28,32
1,Quinnipiac,16,20,4,6,9,1,10,11,3,0,0,0,0.45,0.4702970297029703,0.5107493329306108,0.4909353345275267,0.4964832540803902,0.4899366979860353,27,33
1,Connecticut,15,19,2,8,8,1,7,11,1,0,0,0,0.4444444444444444,0.44886363636363635,0.500484468339538,0.5041007539871764,0.5030881940058376,0.4895320545952873,26,34
1,Canisius,19,17,2,11,7,1,8,9,1,0,1,0,0.5263157894736842,0.5243243243243243,0.47985814913059494,0.4771708160553614,0.4779232693164268,0.48952353306840113,25,35
1,Massachusetts,17,20,2,11,8,0,6,12,2,0,0,0,0.46153846153846156,0.4623655913978494,0.5039396376757806,0.4956674309421196,0.4979836488275447,0.4890791344701209,25,36
1,Michigan State,12,22,2,8,7,1,4,11,1,0,4,0,0.3611111111111111,0.3546511627906977,0.5453662538182806,0.5267640038050309,0.5319726338087408,0.48764226605423006,23,37
1,Yale,15,15,1,9,7,1,5,7,0,1,1,0,0.5,0.48344370860927144,0.46191133119356326,0.4938633642085191,0.48491679496433143,0.4845485233755665,21,38
1,Dartmouth,16,17,2,10,7,1,6,10,1,0,0,0,0.4857142857142857,0.4821428571428571,0.46992271727867846,0.49559047984005533,0.4884035063228698,0.48683834402786663,20,39
1,Massachusetts-Lowell,17,19,0,10,8,0,6,10,0,1,1,0,0.4722222222222222,0.4655172413793104,0.461425908240857,0.501659843766126,0.49039434181905067,0.48417506670911564,19,40
1,Army,15,15,6,6,8,4,9,7,2,0,0,0,0.5,0.5000000000000001,0.4717033684434454,0.48067251341149003,0.4781611528204376,0.48362086461532816,18,41
1,Merrimack,12,21,4,6,7,2,6,14,2,0,0,0,0.3783783783783784,0.3932584269662921,0.517987802721862,0.5006657193246494,0.505515902675869,0.4774515337484747,18,42
1,Robert Morris,18,20,4,8,8,4,8,10,0,2,2,0,0.47619047619047616,0.47115384615384615,0.49355190293927564,0.4808682384954993,0.4844196645397567,0.48110320994327904,17,43
1,American International,15,20,4,9,7,1,6,13,3,0,0,0,0.4358974358974359,0.44623655913978494,0.48085607319294066,0.48029438656938755,0.4804516588239824,0.4718978839029331,16,44
1,Bentley,13,18,6,6,7,2,7,11,4,0,0,0,0.43243243243243246,0.4505494505494506,0.47193129811590306,0.4806750044042479,0.4782267666435113,0.47130743761999616,16,45
1,Holy Cross,13,16,7,8,6,5,5,10,2,0,0,0,0.4583333333333333,0.45086705202312144,0.45627276394557087,0.4823317641197938,0.4750352440710114,0.4689931960590389,16,46
1,RIT,15,20,2,6,13,1,9,7,1,0,0,0,0.43243243243243246,0.42783505154639173,0.48815164392248594,0.47862030006777767,0.48128907634709595,0.46792557014691993,14,47
1,Vermont,10,18,7,3,10,4,7,8,3,0,0,0,0.38571428571428573,0.39226519337016574,0.4777383745000015,0.49724759518240763,0.4917850133913339,0.46690505838604185,12,48
1,Sacred Heart,13,22,4,3,10,3,9,12,1,1,0,0,0.38461538461538464,0.4020100502512563,0.4894083038076029,0.4782111666846986,0.4813463650791118,0.461512286372148,11,49
1,Alabama-Huntsville,12,23,2,6,7,1,6,16,1,0,0,0,0.35135135135135137,0.36931818181818177,0.5121383262780695,0.47684495402447363,0.48672709825548055,0.4573748691461558,10,50
1,Arizona State,8,19,5,4,9,1,2,8,4,2,2,0,0.328125,0.32704402515723274,0.5000608339665504,0.49654050802505345,0.4975261992886726,0.45490565575581265,9,51
1,New Hampshire,10,20,6,6,10,2,4,9,4,0,1,0,0.3611111111111111,0.3575418994413409,0.4820240520622761,0.48913796700103135,0.4871460708181799,0.45474502797397015,8,52
1,Ferris State,13,22,1,9,7,0,4,15,1,0,0,0,0.375,0.37724550898203596,0.47488308433994464,0.4814806214939335,0.4796333110908166,0.4540363605636215,7,53
