"Team","Date","Player","Opponent","InMTL"
"TOR",2014-10-08,"NAZEM KADRI","MTL",FALSE
"TOR",2014-10-08,"TYLER BOZAK","MTL",FALSE
"TOR",2014-10-08,"MORGAN RIELLY","MTL",FALSE
"WSH",2014-10-09,"ANDRE BURAKOVSKY","MTL",FALSE
"PHI",2014-10-11,"MICHAEL RAFFL","MTL",FALSE
"PHI",2014-10-11,"WAYNE SIMMONDS","MTL",FALSE
"PHI",2014-10-11,"WAYNE SIMMONDS","MTL",FALSE
"T.B",2014-10-13,"VICTOR HEDMAN","MTL",FALSE
"T.B",2014-10-13,"STEVEN STAMKOS","MTL",FALSE
"T.B",2014-10-13,"STEVEN STAMKOS","MTL",FALSE
"T.B",2014-10-13,"STEVEN STAMKOS","MTL",FALSE
"T.B",2014-10-13,"RYAN CALLAHAN","MTL",FALSE
"T.B",2014-10-13,"ONDREJ PALAT","MTL",FALSE
"T.B",2014-10-13,"VLADISLAV NAMESTNIKOV","MTL",FALSE
"BOS",2014-10-16,"ZDENO CHARA","MTL",TRUE
"BOS",2014-10-16,"CARL SODERBERG","MTL",TRUE
"BOS",2014-10-16,"LOUI ERIKSSON","MTL",TRUE
"BOS",2014-10-16,"SIMON GAGNE","MTL",TRUE
"COL",2014-10-18,"ALEX TANGUAY","MTL",TRUE
"COL",2014-10-18,"MATT DUCHENE","MTL",TRUE
"DET",2014-10-21,"HENRIK ZETTERBERG","MTL",TRUE
"NYR",2014-10-25,"CARL HAGELIN","MTL",TRUE
"EDM",2014-10-27,"BENOIT POULIOT","MTL",FALSE
"EDM",2014-10-27,"NAIL YAKUPOV","MTL",FALSE
"EDM",2014-10-27,"TAYLOR HALL","MTL",FALSE
"CGY",2014-10-28,"MARK GIORDANO","MTL",FALSE
"VAN",2014-10-30,"NICK BONINO","MTL",FALSE
"VAN",2014-10-30,"BRAD RICHARDSON","MTL",FALSE
"VAN",2014-10-30,"DANIEL SEDIN","MTL",FALSE
"CGY",2014-11-02,"JOSH JOORIS","MTL",TRUE
"CGY",2014-11-02,"MARKUS GRANLUND","MTL",TRUE
